accounts,alive,deaths,peak_live,exceeds_20_live,copies,purchase_cost_usd,ongoing_net_usd,terminal_received_usd,total_net_usd,routing,case,arm,group,start_year,retained_balance_usd,initial_accounts,target_R,replacement_rule,signals_loaded,signals_executed,signal_participation,requested_copies,missed_requested_copies,signals_without_target,signals_different_from_reference,exact_reference_exposure,filled_demand_sha256,planned_contract_hours,ongoing_received_usd,total_received_usd,last_executed_entry,last_death_at,delta_total_vs_reference_usd
20,8,12,20,False,50292,4000.0,108000.0,0.0,108000.0,,2020_retain_30000,routed_20_round_robin,same_resources,2020,30000,20,4,none,12658,12573,0.9932848791278243,50632,340,0,12573,False,c7f9300347f0f8fc75039e7d38a90f813700f8419633323f03b74e2e14bdb3b1,77967.9322,112000.0,112000.0,2026-07-13T21:05:40,2026-03-23T08:32:40,112000.0
60,60,0,60,True,7520,12000.0,-12000.0,0.0,-12000.0,,2020_retain_30000,matched_reference_60,matched_reference,2020,30000,60,,none,12658,376,0.02970453468162427,7520,0,12282,0,True,c5d9588e46e15c5c5c56d46b6d5a5687c181fdfc93659deb7fd689be3c726094,14049.0,0.0,0.0,2020-03-13T02:08:20,,-8000.0
100,20,80,100,True,244240,20000.0,590000.0,0.0,590000.0,,2020_retain_30000,full_target_100,full_target,2020,30000,100,20,none,12658,12212,0.964765365776584,253160,8920,0,11836,False,c2e062853a327b9003e270dd4f90b5f445487980db38c54d32e7d164650041df,381812.3278,610000.0,610000.0,2026-07-13T20:07:40,2026-05-04T23:30:00,594000.0
180,120,60,180,True,253160,36000.0,574000.0,0.0,574000.0,,2020_retain_30000,full_target_180,full_target,2020,30000,180,20,none,12658,12658,1.0,253160,0,0,12282,False,4cf3b3f96b9c472a1298b378220d0e60069d074dbbb7a73b29dd690cd72b24a9,391409.55,610000.0,610000.0,2026-07-13T21:05:40,2026-07-10T22:59:20,578000.0
20,20,0,20,False,138640,4000.0,406000.0,102679.0,508679.0,,2023_retain_31900,unlimited_20,same_resources,2023,31900,20,,none,6932,6932,1.0,138640,0,0,0,True,95eee1d1d15cb2c210da7f06a4b565c1f7807fe635dd5a1fdfad19127eb1c91e,217639.7667,410000.0,512679.0,2026-07-13T21:05:40,,0.0
20,20,0,20,False,101420,4000.0,356000.0,0.0,356000.0,,2023_retain_31900,blocked_20,same_resources,2023,31900,20,,none,6932,5071,0.731534910559723,138640,37220,0,1861,False,aa321229e047a704d7b156f3e0fd701c12955be353c66487ea4ec362991069ec,169892.55,360000.0,360000.0,2026-07-13T20:07:40,,-152679.0
20,20,0,20,False,27728,4000.0,68000.0,0.0,68000.0,,2023_retain_31900,routed_20_max_headroom,same_resources,2023,31900,20,4,none,6932,6932,1.0,27728,0,0,6932,False,8ff5f7a90c41e39eacea0c67db04d2664a64ebf2eeea270d8384f4c947303d31,43527.9533,72000.0,72000.0,2026-07-13T21:05:40,,-440679.0
20,12,8,20,False,27616,4000.0,44000.0,24284.96,68284.96,,2023_retain_31900,routed_20_round_robin,same_resources,2023,31900,20,4,none,6932,6904,0.9959607616849394,27728,112,0,6932,False,25ad0caaf52dda1ac99710174861efd20e8df70d5d1d8b9fa40c7258bf863115,43424.6867,48000.0,72284.96,2026-07-13T21:05:40,2023-10-26T18:15:40,-440394.04
100,100,0,100,True,138640,20000.0,340000.0,0.0,340000.0,,2023_retain_31900,matched_reference_100,matched_reference,2023,31900,100,,none,6932,6932,1.0,138640,0,0,0,True,95eee1d1d15cb2c210da7f06a4b565c1f7807fe635dd5a1fdfad19127eb1c91e,217639.7667,360000.0,360000.0,2026-07-13T21:05:40,,-168679.0
100,100,0,100,True,138640,20000.0,340000.0,0.0,340000.0,,2023_retain_31900,full_target_100,full_target,2023,31900,100,20,none,6932,6932,1.0,138640,0,0,0,True,95eee1d1d15cb2c210da7f06a4b565c1f7807fe635dd5a1fdfad19127eb1c91e,217639.7667,360000.0,360000.0,2026-07-13T21:05:40,,-168679.0
20,0,20,20,False,126160,4000.0,426000.0,0.0,426000.0,,2023_retain_30000,unlimited_20,same_resources,2023,30000,20,,none,6932,6308,0.9099826889786498,126160,0,624,0,True,71372f7f31b40fa7543cdb7149f613c9cf244f34930a2b1f70a5c5d83a730615,197297.3222,430000.0,430000.0,2026-03-19T16:54:40,2026-03-19T18:37:20,0.0
20,0,20,20,False,92460,4000.0,366000.0,0.0,366000.0,,2023_retain_30000,blocked_20,same_resources,2023,30000,20,,none,6932,4623,0.6669070975187537,126400,33940,612,1707,False,9204ada89c61bc23b36de2da0781d50f18e84472872022f26da6f3d0f103c17f,154017.55,370000.0,370000.0,2026-03-23T18:02:40,2026-03-23T18:36:40,-60000.0
20,4,16,20,False,27664,4000.0,78000.0,0.0,78000.0,,2023_retain_30000,routed_20_max_headroom,same_resources,2023,30000,20,4,none,6932,6916,0.9976918638199653,27728,64,0,6916,False,01d59e60011c5e8593dfa0f3c63d6bed14f1a5ad0fd5add896cd334b40059cf9,43423.22,82000.0,82000.0,2026-07-13T20:07:40,2026-06-29T16:30:40,-348000.0
20,8,12,20,False,27516,4000.0,70000.0,7971.36,77971.36,,2023_retain_30000,routed_20_round_robin,same_resources,2023,30000,20,4,none,6932,6879,0.9923542989036354,27728,212,0,6905,False,9a4e6d9f29d309a8b43dde761b40d93c00c85e3164747e0dd1b11ecffa9eb1db,43307.4422,74000.0,81971.36,2026-07-13T21:05:40,2026-03-20T20:05:40,-348028.64
100,100,0,100,True,126160,20000.0,350000.0,0.0,350000.0,,2023_retain_30000,matched_reference_100,matched_reference,2023,30000,100,,none,6932,6308,0.9099826889786498,126160,0,624,0,True,71372f7f31b40fa7543cdb7149f613c9cf244f34930a2b1f70a5c5d83a730615,197297.3222,370000.0,370000.0,2026-03-19T16:54:40,,-76000.0
100,20,80,100,True,138320,20000.0,390000.0,0.0,390000.0,,2023_retain_30000,full_target_100,full_target,2023,30000,100,20,none,6932,6916,0.9976918638199653,138640,320,0,608,False,318e55e40284a2b70e6f7541a650917eb03bac0d569685fd09e2ea99f5506c2f,217116.1,410000.0,410000.0,2026-07-13T20:07:40,2026-06-29T16:30:40,-36000.0
140,140,0,140,True,138640,28000.0,372000.0,0.0,372000.0,,2023_retain_30000,full_target_140,full_target,2023,30000,140,20,none,6932,6932,1.0,138640,0,0,624,False,95eee1d1d15cb2c210da7f06a4b565c1f7807fe635dd5a1fdfad19127eb1c91e,217639.7667,400000.0,400000.0,2026-07-13T21:05:40,,-54000.0
