portfolio,assignment_order,first_sleeve,clean_starts,startup_wipeouts,mature_wipeouts,empty_days,deaths
perm01,0.50/1.50/2.50/3.50,0.50,6,0,0,0.0,192
perm02,0.50/1.50/3.50/2.50,0.50,5,0,1,41.33,196
perm03,0.50/2.50/1.50/3.50,0.50,6,0,0,0.0,185
perm04,0.50/2.50/3.50/1.50,0.50,5,0,1,6.31,206
perm05,0.50/3.50/1.50/2.50,0.50,5,0,1,41.33,202
perm06,0.50/3.50/2.50/1.50,0.50,6,0,0,0.0,194
perm07,1.50/0.50/2.50/3.50,1.50,3,3,1,62.28,226
perm08,1.50/0.50/3.50/2.50,1.50,3,3,1,98.45,208
perm09,1.50/2.50/0.50/3.50,1.50,3,5,2,39.69,222
perm10,1.50/2.50/3.50/0.50,1.50,3,5,2,39.85,207
perm11,1.50/3.50/0.50/2.50,1.50,2,3,2,99.35,204
perm12,1.50/3.50/2.50/0.50,1.50,3,3,1,58.16,205
perm13,2.50/0.50/1.50/3.50,2.50,3,3,1,62.28,220
perm14,2.50/0.50/3.50/1.50,2.50,3,3,1,63.42,228
perm15,2.50/1.50/0.50/3.50,2.50,4,3,0,55.98,207
perm16,2.50/1.50/3.50/0.50,2.50,4,3,0,56.98,192
perm17,2.50/3.50/0.50/1.50,2.50,3,3,1,62.28,216
perm18,2.50/3.50/1.50/0.50,2.50,4,3,0,57.12,187
perm19,3.50/0.50/1.50/2.50,3.50,2,5,2,116.88,199
perm20,3.50/0.50/2.50/1.50,3.50,3,5,1,80.55,199
perm21,3.50/1.50/0.50/2.50,3.50,2,5,2,144.2,197
perm22,3.50/1.50/2.50/0.50,3.50,3,5,1,80.55,201
perm23,3.50/2.50/0.50/1.50,3.50,3,6,1,74.93,193
perm24,3.50/2.50/1.50/0.50,3.50,3,6,0,45.94,194
