policy,retained_balance_usd,headroom_usd,ongoing_pocket_usd,terminal_received_usd,combined_pocket_usd,alive_before_terminal,ongoing_payouts,terminal_payouts,profit_before_terminal_usd,profit_after_terminal_usd,booked_net_trading_usd,firm_split_usd,path_ceiling_usd,unextracted_usd,path_fingerprint,cadence,trading_neutral,earnings_vs_benchmark_usd,book_ceiling_usd,ceiling_capture,delta_ongoing_vs_monthly_usd,delta_combined_vs_monthly_usd
fixed_1500_backlog,31700,6600.0,348321.63,0.0,348321.63,2,440,0,3782.35,3782.35,347091.8,1671.47,353775.45,5453.82,99b7bf193c40031f,daily,False,-114930.4,472299.1,0.737502,-3878.75,-99812.9
fixed_1500_backlog,31800,6700.0,346381.62,0.0,346381.62,2,438,0,3782.35,3782.35,343634.75,1611.48,351775.45,5393.83,7ddfda1025714a69,daily,False,-118387.45,472299.1,0.733395,-3878.76,-101452.91
fixed_1500_backlog,31900,6800.0,354534.02,100254.99,454789.01,21,453,19,110061.7,5682.54,456509.0,6004.75,466476.3,11687.29,9c4cb8df909ffe22,daily,False,-5513.2,472299.1,0.962926,6213.64,7254.48
fixed_1500_backlog,32000,6900.0,352594.02,102094.99,454689.01,21,451,19,111961.7,5682.54,456263.4,6004.75,466376.3,11687.29,29cda50271f80ca4,daily,False,-5758.8,472299.1,0.962714,6213.64,7454.48
fixed_1500_backlog,32100,7000.0,350654.02,103934.99,454589.01,21,451,19,113861.7,5682.54,456223.5,6004.75,466276.3,11687.29,461253d0eb62cc8c,daily,False,-5798.7,472299.1,0.962502,6213.64,7654.48
minimum_monthly,31600,6500.0,241700.0,213278.91,454978.91,22,515,20,230599.1,11315.39,462022.2,6004.8,472299.1,17320.19,e5cd2f8935877ac7,calendar_month,True,0.0,472299.1,0.963328,0.0,0.0
minimum_monthly,31700,6600.0,239200.0,215778.91,454978.91,22,510,20,233099.1,11315.39,462022.2,6004.8,472299.1,17320.19,e5cd2f8935877ac7,calendar_month,True,0.0,472299.1,0.963328,0.0,0.0
minimum_monthly,31800,6700.0,238200.0,216778.91,454978.91,22,508,20,234099.1,11315.39,462022.2,6004.8,472299.1,17320.19,e5cd2f8935877ac7,calendar_month,True,0.0,472299.1,0.963328,0.0,0.0
minimum_monthly,31900,6800.0,237700.0,217278.91,454978.91,22,507,20,234599.1,11315.39,462022.2,6004.8,472299.1,17320.19,e5cd2f8935877ac7,calendar_month,True,0.0,472299.1,0.963328,0.0,0.0
minimum_monthly,32000,6900.0,237700.0,217278.91,454978.91,22,507,20,234599.1,11315.39,462022.2,6004.8,472299.1,17320.19,e5cd2f8935877ac7,calendar_month,True,0.0,472299.1,0.963328,0.0,0.0
minimum_monthly,32100,7000.0,235700.0,218778.91,454478.91,22,503,20,236599.1,11815.39,462022.2,6004.8,472299.1,17820.19,e5cd2f8935877ac7,calendar_month,True,0.0,472299.1,0.962269,0.0,0.0
minimum_monthly,31600,6500.0,349600.0,110911.75,460511.75,22,734,20,121099.1,5782.55,462022.2,6004.8,472299.1,11787.35,e5cd2f8935877ac7,weekly,True,0.0,472299.1,0.975043,107900.0,5532.84
minimum_monthly,31700,6600.0,347150.0,113361.75,460511.75,22,729,20,123599.1,5782.55,462022.2,6004.8,472299.1,11787.35,e5cd2f8935877ac7,weekly,True,0.0,472299.1,0.975043,107950.0,5532.84
minimum_monthly,31800,6700.0,345150.0,115361.75,460511.75,22,725,20,125599.1,5782.55,462022.2,6004.8,472299.1,11787.35,e5cd2f8935877ac7,weekly,True,0.0,472299.1,0.975043,106950.0,5532.84
minimum_monthly,31900,6800.0,344650.0,115861.75,460511.75,22,724,20,126099.1,5782.55,462022.2,6004.8,472299.1,11787.35,e5cd2f8935877ac7,weekly,True,0.0,472299.1,0.975043,106950.0,5532.84
minimum_monthly,32000,6900.0,343250.0,117261.75,460511.75,22,721,20,127599.1,5782.55,462022.2,6004.8,472299.1,11787.35,e5cd2f8935877ac7,weekly,True,0.0,472299.1,0.975043,105550.0,5532.84
minimum_monthly,32100,7000.0,339900.0,120611.75,460511.75,22,714,20,131099.1,5782.55,462022.2,6004.8,472299.1,11787.35,e5cd2f8935877ac7,weekly,True,0.0,472299.1,0.975043,104200.0,6032.84
minimum_monthly,31600,6500.0,355350.0,54114.98,409464.98,13,746,11,61106.1,4882.46,409573.35,3958.66,418306.1,8841.12,a46c605bcb0e7431,daily,False,-52448.85,472299.1,0.866961,113650.0,-45513.93
minimum_monthly,31700,6600.0,355350.0,54114.98,409464.98,13,746,11,61106.1,4882.46,409573.35,3958.66,418306.1,8841.12,a46c605bcb0e7431,daily,False,-52448.85,472299.1,0.866961,116150.0,-45513.93
minimum_monthly,31800,6700.0,357750.0,79998.1,437748.1,18,751,16,88583.6,5382.51,438623.1,5152.99,448283.6,10535.5,3d0cce1914be02b2,daily,False,-23399.1,472299.1,0.926845,119550.0,-17230.81
minimum_monthly,31900,6800.0,357800.0,102711.75,460511.75,22,751,20,112599.1,5782.55,462022.2,6004.8,472299.1,11787.35,e5cd2f8935877ac7,daily,True,0.0,472299.1,0.975043,120100.0,5532.84
minimum_monthly,32000,6900.0,354850.0,105661.75,460511.75,22,745,20,115599.1,5782.55,462022.2,6004.8,472299.1,11787.35,e5cd2f8935877ac7,daily,True,0.0,472299.1,0.975043,117150.0,5532.84
minimum_monthly,32100,7000.0,354350.0,106161.75,460511.75,22,744,20,116099.1,5782.55,462022.2,6004.8,472299.1,11787.35,e5cd2f8935877ac7,daily,True,0.0,472299.1,0.975043,118650.0,6032.84
maximum_excess_monthly,31600,6500.0,354140.38,102345.63,456486.01,22,237,20,116297.35,9808.29,462022.2,6004.8,472299.1,15813.09,e5cd2f8935877ac7,calendar_month,True,0.0,472299.1,0.966519,0.0,0.0
maximum_excess_monthly,31700,6600.0,352200.38,95934.15,448134.53,22,235,20,118297.35,18159.77,462022.2,6004.8,472299.1,24164.57,e5cd2f8935877ac7,calendar_month,True,0.0,472299.1,0.948836,0.0,0.0
maximum_excess_monthly,31800,6700.0,350260.38,97574.15,447834.53,22,235,20,120297.35,18459.77,462022.2,6004.8,472299.1,24464.57,e5cd2f8935877ac7,calendar_month,True,0.0,472299.1,0.948201,0.0,0.0
maximum_excess_monthly,31900,6800.0,348320.38,99214.15,447534.53,22,235,20,122297.35,18759.77,462022.2,6004.8,472299.1,24764.57,e5cd2f8935877ac7,calendar_month,True,0.0,472299.1,0.947566,0.0,0.0
maximum_excess_monthly,32000,6900.0,346380.38,100854.15,447234.53,22,235,20,124297.35,19059.77,462022.2,6004.8,472299.1,25064.57,e5cd2f8935877ac7,calendar_month,True,0.0,472299.1,0.946931,0.0,0.0
maximum_excess_monthly,32100,7000.0,344440.38,102494.15,446934.53,22,235,20,126297.35,19359.77,462022.2,6004.8,472299.1,25364.57,e5cd2f8935877ac7,calendar_month,True,0.0,472299.1,0.946296,0.0,0.0
maximum_excess_monthly,31600,6500.0,369330.03,87940.55,457270.58,22,394,20,100604.35,9023.64,462022.2,6004.88,472299.1,15028.52,e5cd2f8935877ac7,weekly,True,0.0,472299.1,0.96818,15189.65,784.57
maximum_excess_monthly,31700,6600.0,367400.03,89770.55,457170.58,22,393,20,102604.35,9123.64,462022.2,6004.88,472299.1,15128.52,e5cd2f8935877ac7,weekly,True,0.0,472299.1,0.967968,15199.65,9036.05
maximum_excess_monthly,31800,6700.0,365470.02,91600.55,457070.57,22,392,20,104604.35,9223.64,462022.2,6004.89,472299.1,15228.53,e5cd2f8935877ac7,weekly,True,0.0,472299.1,0.967757,15209.64,9236.04
maximum_excess_monthly,31900,6800.0,363540.02,93430.55,456970.57,22,392,20,106604.35,9323.64,462022.2,6004.89,472299.1,15328.53,e5cd2f8935877ac7,weekly,True,0.0,472299.1,0.967545,15219.64,9436.04
maximum_excess_monthly,32000,6900.0,361602.54,95268.04,456870.58,22,390,20,108604.35,9423.64,462022.2,6004.88,472299.1,15428.52,e5cd2f8935877ac7,weekly,True,0.0,472299.1,0.967333,15222.16,9636.05
maximum_excess_monthly,32100,7000.0,359662.54,97108.04,456770.58,22,387,20,110604.35,9523.64,462022.2,6004.88,472299.1,15528.52,e5cd2f8935877ac7,weekly,True,0.0,472299.1,0.967121,15222.16,9836.05
maximum_excess_monthly,31600,6500.0,350261.63,0.0,350261.63,2,440,0,3782.35,3782.35,349610.8,1731.47,355775.45,5513.82,7c677837a7f974dc,daily,False,-112411.4,472299.1,0.74161,-3878.75,-106224.38
maximum_excess_monthly,31700,6600.0,348321.63,0.0,348321.63,2,440,0,3782.35,3782.35,347091.8,1671.47,353775.45,5453.82,99b7bf193c40031f,daily,False,-114930.4,472299.1,0.737502,-3878.75,-99812.9
maximum_excess_monthly,31800,6700.0,346381.62,0.0,346381.62,2,438,0,3782.35,3782.35,343634.75,1611.48,351775.45,5393.83,7ddfda1025714a69,daily,False,-118387.45,472299.1,0.733395,-3878.76,-101452.91
maximum_excess_monthly,31900,6800.0,354534.02,100254.99,454789.01,21,453,19,110061.7,5682.54,456509.0,6004.75,466476.3,11687.29,9c4cb8df909ffe22,daily,False,-5513.2,472299.1,0.962926,6213.64,7254.48
maximum_excess_monthly,32000,6900.0,352594.02,102094.99,454689.01,21,451,19,111961.7,5682.54,456263.4,6004.75,466376.3,11687.29,29cda50271f80ca4,daily,False,-5758.8,472299.1,0.962714,6213.64,7454.48
maximum_excess_monthly,32100,7000.0,350654.02,103934.99,454589.01,21,451,19,113861.7,5682.54,456223.5,6004.75,466276.3,11687.29,461253d0eb62cc8c,daily,False,-5798.7,472299.1,0.962502,6213.64,7654.48
minimum_monthly,30000,4900.0,266200.0,194311.75,460511.75,22,564,20,206099.1,5782.55,462022.2,6004.8,472299.1,11787.35,e5cd2f8935877ac7,calendar_month,True,0.0,472299.1,0.975043,0.0,0.0
minimum_monthly,30000,4900.0,355450.0,4532.84,359982.84,3,746,1,8415.2,3882.36,359199.5,1750.0,365615.2,5632.36,eaee55cfe4eee5e7,weekly,False,-102822.7,472299.1,0.762193,89250.0,-100528.91
minimum_monthly,30000,4900.0,373200.0,0.0,373200.0,2,783,0,3782.35,3782.35,373049.25,2500.0,379482.35,6282.35,93eb20ff11978d74,daily,False,-88972.95,472299.1,0.790177,107000.0,-87311.75
