account_id,died_at,death_trade,equity
41,2026-03-05 08:00:40,RR1.00:6-7:531:2037,82.15
42,2026-03-05 08:00:40,RR1.00:6-7:531:2037,82.15
43,2026-03-05 10:30:40,RR1.00:8-9:597:2124,58.9
44,2026-03-05 10:30:40,RR1.00:8-9:597:2124,58.9
45,2026-03-05 10:30:40,RR1.00:8-9:597:2124,58.9
46,2026-03-05 13:58:40,RR1.00:13-14:568:2098,10.25
47,2026-03-05 13:58:40,RR1.00:13-14:568:2098,10.25
48,2026-03-05 13:58:40,RR1.00:13-14:568:2098,10.25
49,2026-03-05 13:58:40,RR1.00:13-14:568:2098,10.25
50,2026-03-05 13:58:40,RR1.00:13-14:568:2098,10.25
51,2026-03-05 13:58:40,RR1.00:13-14:568:2098,10.25
52,2026-03-05 13:58:40,RR1.00:13-14:568:2098,10.25
53,2026-03-05 13:58:40,RR1.00:13-14:568:2098,10.25
54,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-58.4
55,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-58.4
56,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-58.4
57,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-58.4
58,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-58.4
59,2026-03-05 10:30:40,RR1.00:8-9:597:2124,-2.7
60,2026-03-05 10:30:40,RR1.00:8-9:597:2124,-2.7
61,2026-03-20 20:05:40,RR1.00:18-19:464:1976,-2188.7
62,2026-03-20 20:05:40,RR1.00:18-19:464:1976,-2188.7
63,2026-03-20 20:05:40,RR1.00:18-19:464:1976,-2188.7
