at,count,emergency
2020-01-06T01:36:40,1,True
2020-01-06T04:05:40,1,True
2020-01-13T07:02:40,2,True
2020-01-20T06:02:00,2,True
2020-01-21T15:08:20,3,True
2020-01-27T07:30:40,3,True
2020-02-03T07:00:40,3,True
2020-02-17T07:12:40,6,True
2020-02-26T07:32:40,3,True
2020-03-02T02:04:40,1,True
2020-03-04T09:00:40,2,True
2020-03-11T12:32:40,3,True
2020-06-01T09:07:40,3,True
2020-06-09T07:36:40,3,True
2020-06-09T08:06:40,12,True
2020-09-28T08:00:40,8,True
2022-10-05T09:37:20,1,True
2022-10-12T07:03:40,3,True
2023-03-15T01:00:40,6,True
2023-03-15T02:32:40,8,True
2023-03-17T05:15:40,1,True
2023-03-17T06:08:40,20,True
2023-09-07T22:50:20,20,True
