months,budget,left,right,eligible,left_failed,right_failed,both,left_only,right_only,neither,failed_window_jaccard,right_given_left,left_given_right,continuous_deep_dd_jaccard,both_cases,left_only_cases,right_only_cases
1,1500,0.50,3.25,78,8,12,7,1,5,65,0.5384615384615384,0.875,0.5833333333333334,0.29603399433427763,1m_2022-06-01;1m_2023-10-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,1m_2021-05-01,1m_2022-01-01;1m_2022-03-01;1m_2022-05-01;1m_2024-08-01;1m_2026-03-01
1,1500,0.50,3.50,78,8,14,7,1,7,63,0.4666666666666667,0.875,0.5,0.3064971751412429,1m_2022-06-01;1m_2023-10-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,1m_2021-05-01,1m_2021-12-01;1m_2022-01-01;1m_2022-03-01;1m_2022-05-01;1m_2024-08-01;1m_2025-11-01;1m_2026-03-01
1,1500,0.50,1000,70,8,18,6,2,12,50,0.3,0.75,0.3333333333333333,0.25677267373380447,1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-06-01,1m_2021-05-01;1m_2024-07-01,1m_2020-10-01;1m_2021-09-01;1m_2021-12-01;1m_2022-01-01;1m_2022-03-01;1m_2022-04-01;1m_2022-05-01;1m_2022-09-01;1m_2023-08-01;1m_2024-08-01;1m_2024-09-01;1m_2026-03-01
1,1500,0.75,1.00,78,9,8,7,2,1,68,0.7,0.7777777777777778,0.875,0.7634854771784232,1m_2020-03-01;1m_2022-05-01;1m_2022-06-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01,1m_2024-07-01;1m_2026-06-01,1m_2023-10-01
1,1500,0.75,1.25,78,9,10,8,1,2,67,0.7272727272727273,0.8888888888888888,0.8,0.4619666048237477,1m_2020-03-01;1m_2022-05-01;1m_2022-06-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2024-07-01,1m_2022-03-01;1m_2023-10-01
1,1500,0.75,1.50,78,9,14,9,0,5,64,0.6428571428571429,1.0,0.6428571428571429,0.39037433155080214,1m_2020-03-01;1m_2022-05-01;1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,,1m_2021-12-01;1m_2022-03-01;1m_2022-11-01;1m_2023-10-01;1m_2024-08-01
1,1500,0.75,1.75,78,9,13,8,1,5,64,0.5714285714285714,0.8888888888888888,0.6153846153846154,0.30229007633587784,1m_2022-05-01;1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01,1m_2020-06-01;1m_2022-03-01;1m_2022-11-01;1m_2023-10-01;1m_2025-11-01
1,1500,0.75,2.00,78,9,13,8,1,5,64,0.5714285714285714,0.8888888888888888,0.6153846153846154,0.30694444444444446,1m_2022-05-01;1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01,1m_2020-06-01;1m_2022-03-01;1m_2022-11-01;1m_2023-10-01;1m_2024-08-01
1,1500,0.75,2.25,78,9,12,8,1,4,65,0.6153846153846154,0.8888888888888888,0.6666666666666666,0.3637770897832817,1m_2022-05-01;1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01,1m_2020-06-01;1m_2022-03-01;1m_2022-11-01;1m_2024-08-01
1,1500,0.75,2.50,78,9,13,8,1,5,64,0.5714285714285714,0.8888888888888888,0.6153846153846154,0.3516483516483517,1m_2022-05-01;1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01,1m_2022-01-01;1m_2022-03-01;1m_2022-11-01;1m_2024-08-01;1m_2025-11-01
1,1500,0.75,2.75,78,9,15,8,1,7,62,0.5,0.8888888888888888,0.5333333333333333,0.36447166921898927,1m_2022-05-01;1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01,1m_2021-09-01;1m_2022-01-01;1m_2022-03-01;1m_2022-11-01;1m_2023-10-01;1m_2024-08-01;1m_2025-11-01
1,1500,0.75,3.00,78,9,14,8,1,6,63,0.5333333333333333,0.8888888888888888,0.5714285714285714,0.36085626911314983,1m_2022-05-01;1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01,1m_2021-09-01;1m_2022-03-01;1m_2022-11-01;1m_2023-10-01;1m_2024-08-01;1m_2025-11-01
1,1500,0.75,3.25,78,9,12,8,1,4,65,0.6153846153846154,0.8888888888888888,0.6666666666666666,0.3875838926174497,1m_2022-05-01;1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01,1m_2022-01-01;1m_2022-03-01;1m_2023-10-01;1m_2024-08-01
1,1500,0.75,3.50,78,9,14,8,1,6,63,0.5333333333333333,0.8888888888888888,0.5714285714285714,0.3811881188118812,1m_2022-05-01;1m_2022-06-01;1m_2024-07-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2020-03-01,1m_2021-12-01;1m_2022-01-01;1m_2022-03-01;1m_2023-10-01;1m_2024-08-01;1m_2025-11-01
1,1500,0.75,1000,70,8,18,7,1,11,51,0.3684210526315789,0.875,0.3888888888888889,0.2797385620915033,1m_2022-05-01;1m_2022-06-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2024-07-01,1m_2020-10-01;1m_2021-09-01;1m_2021-12-01;1m_2022-01-01;1m_2022-03-01;1m_2022-04-01;1m_2022-09-01;1m_2023-08-01;1m_2023-10-01;1m_2024-08-01;1m_2024-09-01
1,1500,1.00,1.25,78,8,10,8,0,2,68,0.8,1.0,0.8,0.5648535564853556,1m_2020-03-01;1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01,,1m_2022-03-01;1m_2026-06-01
1,1500,1.00,1.50,78,8,14,8,0,6,64,0.5714285714285714,1.0,0.5714285714285714,0.47410358565737054,1m_2020-03-01;1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01,,1m_2021-12-01;1m_2022-03-01;1m_2022-11-01;1m_2024-07-01;1m_2024-08-01;1m_2026-06-01
1,1500,1.00,1.75,78,8,13,7,1,6,64,0.5,0.875,0.5384615384615384,0.3850085178875639,1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01,1m_2020-03-01,1m_2020-06-01;1m_2022-03-01;1m_2022-11-01;1m_2024-07-01;1m_2025-11-01;1m_2026-06-01
1,1500,1.00,2.00,78,8,13,7,1,6,64,0.5,0.875,0.5384615384615384,0.3630862329803328,1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01,1m_2020-03-01,1m_2020-06-01;1m_2022-03-01;1m_2022-11-01;1m_2024-07-01;1m_2024-08-01;1m_2026-06-01
1,1500,1.00,2.25,78,8,12,6,2,6,64,0.42857142857142855,0.75,0.5,0.4158249158249158,1m_2022-05-01;1m_2022-06-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01,1m_2020-03-01;1m_2023-10-01,1m_2020-06-01;1m_2022-03-01;1m_2022-11-01;1m_2024-07-01;1m_2024-08-01;1m_2026-06-01
1,1500,1.00,2.50,78,8,13,6,2,7,63,0.4,0.75,0.46153846153846156,0.3938879456706282,1m_2022-05-01;1m_2022-06-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01,1m_2020-03-01;1m_2023-10-01,1m_2022-01-01;1m_2022-03-01;1m_2022-11-01;1m_2024-07-01;1m_2024-08-01;1m_2025-11-01;1m_2026-06-01
1,1500,1.00,2.75,78,8,15,7,1,8,62,0.4375,0.875,0.4666666666666667,0.415973377703827,1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01,1m_2020-03-01,1m_2021-09-01;1m_2022-01-01;1m_2022-03-01;1m_2022-11-01;1m_2024-07-01;1m_2024-08-01;1m_2025-11-01;1m_2026-06-01
1,1500,1.00,3.00,78,8,14,7,1,7,63,0.4666666666666667,0.875,0.5,0.41903171953255425,1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01,1m_2020-03-01,1m_2021-09-01;1m_2022-03-01;1m_2022-11-01;1m_2024-07-01;1m_2024-08-01;1m_2025-11-01;1m_2026-06-01
1,1500,1.00,3.25,78,8,12,7,1,5,65,0.5384615384615384,0.875,0.5833333333333334,0.4335154826958106,1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01,1m_2020-03-01,1m_2022-01-01;1m_2022-03-01;1m_2024-07-01;1m_2024-08-01;1m_2026-06-01
1,1500,1.00,3.50,78,8,14,7,1,7,63,0.4666666666666667,0.875,0.5,0.4412296564195298,1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01,1m_2020-03-01,1m_2021-12-01;1m_2022-01-01;1m_2022-03-01;1m_2024-07-01;1m_2024-08-01;1m_2025-11-01;1m_2026-06-01
1,1500,1.00,1000,70,7,18,7,0,11,52,0.3888888888888889,1.0,0.3888888888888889,0.29517241379310344,1m_2022-05-01;1m_2022-06-01;1m_2023-10-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01,,1m_2020-10-01;1m_2021-09-01;1m_2021-12-01;1m_2022-01-01;1m_2022-03-01;1m_2022-04-01;1m_2022-09-01;1m_2023-08-01;1m_2024-08-01;1m_2024-09-01;1m_2026-06-01
