ticket,entry,exit,pnl,candle_range
117,2020-01-20T13:07:40,2020-01-21T03:08:40,-7.0,3.5
303,2020-02-17T01:00:40,2020-02-18T01:00:00,-11.5,5.75
435,2020-02-28T16:32:40,2020-03-02T23:30:00,1097.0,129.75
518,2020-03-10T18:16:20,2020-03-11T20:21:20,-329.0,164.5
521,2020-03-11T21:33:40,2020-03-12T03:05:40,-202.0,101.0
547,2020-03-13T06:17:40,2020-03-16T21:59:40,-91.0,45.5
553,2020-03-17T16:49:40,2020-03-18T19:28:40,-568.5,284.25
557,2020-03-18T20:37:40,2020-03-23T00:00:00,-210.0,105.0
559,2020-03-23T03:38:40,2020-03-30T23:30:00,2271.0,78.0
948,2020-05-25T05:00:20,2020-05-26T18:46:40,-57.0,28.5
1212,2020-06-30T16:30:40,2020-07-01T23:30:00,619.0,16.25
1227,2020-07-03T18:35:40,2020-07-06T23:30:00,517.5,32.75
1734,2020-09-07T10:06:40,2020-09-08T11:45:40,-75.0,37.5
2125,2020-10-26T20:05:40,2020-10-28T15:34:40,-117.0,58.5
2137,2020-10-29T14:36:40,2020-10-30T07:17:40,-147.0,73.5
2357,2020-11-27T07:33:00,2020-11-30T17:37:40,-15.0,7.5
2564,2020-12-24T10:06:40,2020-12-28T23:30:00,342.0,11.0
2705,2021-01-18T05:38:20,2021-01-19T23:30:00,478.5,16.25
2891,2021-02-15T02:03:40,2021-02-16T16:37:40,-23.0,11.5
3145,2021-03-15T10:05:40,2021-03-18T20:34:40,-92.5,46.25
3160,2021-03-19T16:38:40,2021-03-25T16:49:40,-211.5,105.75
3163,2021-03-25T17:30:40,2021-03-29T23:30:00,595.5,65.75
3192,2021-04-02T02:31:40,2021-04-05T01:00:40,-21.0,10.5
3994,2021-07-05T12:24:40,2021-07-06T05:31:40,-22.0,11.0
4507,2021-09-06T04:00:40,2021-09-07T12:23:40,-16.5,8.25
4971,2021-11-01T20:46:40,2021-11-08T23:30:00,992.5,35.5
5111,2021-11-25T02:00:40,2021-11-26T02:04:20,-20.0,10.0
5600,2022-01-17T05:12:20,2022-01-18T05:37:40,-58.0,29.0
6090,2022-03-15T14:20:40,2022-03-28T23:30:00,3741.5,53.75
6684,2022-05-30T02:10:40,2022-05-31T09:49:40,-96.5,48.25
6912,2022-06-20T05:36:40,2022-06-21T23:30:00,506.5,54.5
7020,2022-07-04T08:03:40,2022-07-05T12:11:40,-50.5,25.25
8145,2022-10-31T17:24:40,2022-11-01T16:12:40,-129.5,64.75
8193,2022-11-04T20:18:40,2022-11-07T23:30:00,617.5,36.0
8354,2022-11-24T10:34:40,2022-11-25T10:53:40,-30.5,15.25
8793,2023-01-16T12:44:40,2023-01-17T23:30:00,167.0,27.75
9104,2023-02-20T03:06:40,2023-02-21T02:58:40,-27.5,13.75
9299,2023-03-13T15:48:40,2023-03-27T23:30:00,1716.5,96.5
9420,2023-04-07T15:30:40,2023-04-10T03:25:40,-54.5,27.25
9930,2023-05-29T17:10:40,2023-05-30T20:53:40,-21.5,10.75
10117,2023-06-19T18:56:20,2023-06-20T02:11:40,-29.0,14.5
10256,2023-07-03T19:12:40,2023-07-05T09:48:40,-36.0,18.0
10779,2023-09-04T02:31:40,2023-09-05T03:13:40,-9.0,4.5
11400,2023-10-30T19:24:40,2023-11-06T23:30:00,1696.5,60.75
11546,2023-11-23T02:59:40,2023-11-24T09:05:40,-17.0,8.5
11986,2024-01-15T17:47:40,2024-01-16T01:42:40,-60.0,30.0
12248,2024-02-19T19:31:40,2024-02-20T01:10:40,-31.0,15.5
12430,2024-03-11T16:54:40,2024-03-15T15:28:40,-205.0,102.5
12437,2024-03-15T19:24:40,2024-04-01T23:30:00,855.5,61.75
12896,2024-05-27T03:54:40,2024-05-28T21:36:40,-28.0,14.0
13080,2024-06-19T04:36:40,2024-06-20T16:32:20,-10.0,5.0
13202,2024-07-03T16:30:40,2024-07-05T23:30:00,768.0,21.5
13655,2024-09-02T11:19:40,2024-09-03T06:11:20,-98.0,49.0
14160,2024-10-29T17:41:40,2024-10-30T15:41:40,-76.0,38.0
14197,2024-11-01T04:56:40,2024-11-04T16:34:40,-38.0,19.0
14415,2024-11-28T02:03:40,2024-11-29T15:44:40,-16.0,8.0
14419,2024-11-29T19:34:40,2024-12-02T01:05:40,-49.5,24.75
14604,2024-12-24T03:26:40,2024-12-26T23:30:00,514.0,30.25
14707,2025-01-09T10:29:40,2025-01-10T01:31:40,-74.5,37.25
14775,2025-01-20T02:06:20,2025-01-21T02:53:40,-59.0,29.5
14966,2025-02-17T18:02:40,2025-02-18T16:46:40,-101.0,50.5
15182,2025-03-10T21:26:40,2025-03-11T01:16:40,-276.0,138.0
15186,2025-03-11T04:07:40,2025-03-31T14:29:20,-363.0,181.5
15638,2025-05-26T02:06:20,2025-05-27T23:30:00,530.5,61.25
15836,2025-06-19T19:21:40,2025-06-20T23:30:00,272.5,49.25
15913,2025-07-03T13:54:40,2025-07-07T21:16:40,-51.0,25.5
16370,2025-09-01T09:41:40,2025-09-02T10:40:40,-120.0,60.0
16789,2025-10-27T02:10:40,2025-11-03T23:30:00,744.5,24.5
17032,2025-11-27T18:27:40,2025-12-01T03:10:40,-28.5,14.25
17223,2025-12-24T07:40:40,2025-12-26T23:30:00,138.5,13.0
18454,2026-05-25T10:33:40,2026-05-26T01:42:40,-169.5,84.75
18675,2026-06-19T08:51:40,2026-06-22T02:35:40,-100.0,50.0
18802,2026-07-03T04:03:40,2026-07-06T23:30:00,716.5,79.25
