rr,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change
0.50,22563.7,4323.7,2022-01-21,371,528,True,83,-1529.8999999999996,-1767.3499999999985,-2317.3500000000004
0.75,22039.75,4776.850000000002,2026-03-27,339,478,True,89,-1529.8999999999996,-2064.6,-3342.1500000000015
1.00,27150.55,6378.75,2026-03-27,291,410,True,95,-1529.8999999999996,-2263.25,-4340.799999999999
1.25,29497.65,6358.850000000002,2026-03-27,235,331,True,99,-1735.3500000000022,-2244.25,-4565.75
1.50,33666.3,6535.149999999998,2026-03-27,243,343,True,110,-1735.3499999999985,-2306.949999999999,-4250.049999999999
1.75,35748.9,7234.149999999998,2026-03-27,296,418,True,109,-1735.3500000000022,-2306.9500000000007,-4121.549999999999
2.00,34528.55,5809.699999999997,2026-03-27,350,492,True,105,-1735.3500000000022,-2293.3499999999985,-4068.5
2.25,36012.65,5286.999999999996,2026-03-27,296,416,True,106,-1735.3500000000022,-2293.3499999999985,-3745.9500000000007
2.50,38945.6,5139.950000000001,2026-03-27,297,417,True,104,-1735.3500000000022,-2293.3499999999985,-3519.949999999997
2.75,37255.7,5256.9000000000015,2026-03-27,266,374,True,105,-1735.3500000000022,-2372.2999999999993,-4534.25
3.00,37136.3,5513.550000000003,2026-03-27,253,357,True,103,-1735.3499999999985,-2488.7999999999993,-4225.25
3.25,39746.95,5047.350000000002,2026-03-27,139,199,True,106,-1735.3499999999985,-2499.25,-4238.6500000000015
3.50,38131.5,6180.299999999996,2026-03-27,248,351,True,103,-1735.3499999999985,-2499.25,-4498.75
1000,42394.1,6732.149999999998,2025-04-04,300,423,True,114,-2307.399999999998,-3371.0999999999985,-5165.450000000001
