months,budget,gap,left,right,left_episodes,right_episodes,shared,left_only,right_only,jaccard,reciprocal,shared_ids,left_only_ids,right_only_ids
1,1500,5,0.50,0.75,8,9,6,2,3,0.5454545454545454,True,1m_b1500_g5_e09;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e14;1m_b1500_g5_e16;1m_b1500_g5_e19,1m_b1500_g5_e03;1m_b1500_g5_e11,1m_b1500_g5_e01;1m_b1500_g5_e08;1m_b1500_g5_e17
1,1500,5,0.50,1.00,8,8,5,3,3,0.45454545454545453,True,1m_b1500_g5_e09;1m_b1500_g5_e11;1m_b1500_g5_e13;1m_b1500_g5_e14;1m_b1500_g5_e16,1m_b1500_g5_e03;1m_b1500_g5_e12;1m_b1500_g5_e19,1m_b1500_g5_e01;1m_b1500_g5_e08;1m_b1500_g5_e17
1,1500,5,0.50,1.25,8,10,6,2,4,0.5,True,1m_b1500_g5_e09;1m_b1500_g5_e11;1m_b1500_g5_e13;1m_b1500_g5_e14;1m_b1500_g5_e16;1m_b1500_g5_e19,1m_b1500_g5_e03;1m_b1500_g5_e12,1m_b1500_g5_e01;1m_b1500_g5_e07;1m_b1500_g5_e08;1m_b1500_g5_e17
1,1500,5,0.50,1.50,8,13,6,2,7,0.4,True,1m_b1500_g5_e09;1m_b1500_g5_e11;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e14;1m_b1500_g5_e16,1m_b1500_g5_e03;1m_b1500_g5_e19,1m_b1500_g5_e01;1m_b1500_g5_e05;1m_b1500_g5_e07;1m_b1500_g5_e08;1m_b1500_g5_e10;1m_b1500_g5_e17;1m_b1500_g5_e18
1,1500,5,0.50,1.75,8,13,6,2,7,0.4,True,1m_b1500_g5_e09;1m_b1500_g5_e11;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e14;1m_b1500_g5_e16,1m_b1500_g5_e03;1m_b1500_g5_e19,1m_b1500_g5_e02;1m_b1500_g5_e07;1m_b1500_g5_e08;1m_b1500_g5_e10;1m_b1500_g5_e15;1m_b1500_g5_e17;1m_b1500_g5_e18
1,1500,5,0.50,2.00,8,12,6,2,6,0.42857142857142855,True,1m_b1500_g5_e09;1m_b1500_g5_e11;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e14;1m_b1500_g5_e16,1m_b1500_g5_e03;1m_b1500_g5_e19,1m_b1500_g5_e02;1m_b1500_g5_e07;1m_b1500_g5_e08;1m_b1500_g5_e10;1m_b1500_g5_e17;1m_b1500_g5_e18
1,1500,5,0.50,2.25,8,11,5,3,6,0.35714285714285715,True,1m_b1500_g5_e09;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e14;1m_b1500_g5_e16,1m_b1500_g5_e03;1m_b1500_g5_e11;1m_b1500_g5_e19,1m_b1500_g5_e02;1m_b1500_g5_e07;1m_b1500_g5_e08;1m_b1500_g5_e10;1m_b1500_g5_e17;1m_b1500_g5_e18
1,1500,5,0.50,2.50,8,12,5,3,7,0.3333333333333333,True,1m_b1500_g5_e09;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e14;1m_b1500_g5_e16,1m_b1500_g5_e03;1m_b1500_g5_e11;1m_b1500_g5_e19,1m_b1500_g5_e06;1m_b1500_g5_e07;1m_b1500_g5_e08;1m_b1500_g5_e10;1m_b1500_g5_e15;1m_b1500_g5_e17;1m_b1500_g5_e18
1,1500,5,0.50,2.75,8,14,6,2,8,0.375,True,1m_b1500_g5_e09;1m_b1500_g5_e11;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e14;1m_b1500_g5_e16,1m_b1500_g5_e03;1m_b1500_g5_e19,1m_b1500_g5_e04;1m_b1500_g5_e06;1m_b1500_g5_e07;1m_b1500_g5_e08;1m_b1500_g5_e10;1m_b1500_g5_e15;1m_b1500_g5_e17;1m_b1500_g5_e18
1,1500,5,0.50,3.00,8,13,6,2,7,0.4,True,1m_b1500_g5_e09;1m_b1500_g5_e11;1m_b1500_g5_e12;1m_b1500_g5_e13;1m_b1500_g5_e14;1m_b1500_g5_e16,1m_b1500_g5_e03;1m_b1500_g5_e19,1m_b1500_g5_e04;1m_b1500_g5_e07;1m_b1500_g5_e08;1m_b1500_g5_e10;1m_b1500_g5_e15;1m_b1500_g5_e17;1m_b1500_g5_e18
