episode,months,budget,gap,start,end,rr_count,rrs,events,cases
1m_b1500_g40_e06,1,1500,40,2022-11-09T18:43:40,2022-11-14T23:30:00,7,1.50/1.75/2.00/2.25/2.50/2.75/3.00,7,1m_2022-11-01
1m_b1500_g40_e07,1,1500,40,2023-10-25T22:32:40,2023-10-30T20:00:00,10,0.50/1.00/1.25/1.50/1.75/2.00/2.75/3.00/3.25/3.50,10,1m_2023-10-01
1m_b1500_g40_e08,1,1500,40,2024-07-25T11:52:40,2024-08-08T16:00:00,11,0.50/0.75/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50,19,1m_2024-07-01;1m_2024-08-01
1m_b1500_g40_e09,1,1500,40,2025-03-06T21:48:40,2025-04-07T04:30:00,13,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50,26,1m_2025-03-01;1m_2025-04-01
1m_b1500_g40_e10,1,1500,40,2025-11-21T10:53:40,2025-11-21T21:30:00,5,1.75/2.50/2.75/3.00/3.50,5,1m_2025-11-01
1m_b1500_g40_e11,1,1500,40,2026-02-13T17:28:40,2026-03-23T08:33:40,13,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50,25,1m_2026-02-01;1m_2026-03-01
1m_b1500_g40_e12,1,1500,40,2026-06-04T16:33:40,2026-06-25T23:30:00,12,0.50/0.75/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50,12,1m_2026-06-01
3m_b1500_g5_e01,3,1500,5,2020-03-12T12:58:40,2020-03-18T19:28:40,8,1.00/1.25/1.50/2.50/2.75/3.00/3.25/3.50,8,3m_2020-01-01
3m_b1500_g5_e02,3,1500,5,2021-03-04T21:44:40,2021-03-08T18:50:40,3,0.75/1.00/1.25,3,3m_2021-01-01
3m_b1500_g5_e03,3,1500,5,2021-05-18T22:31:40,2021-05-18T22:53:40,1,0.50,1,3m_2021-04-01
3m_b1500_g5_e04,3,1500,5,2021-05-27T12:52:40,2021-06-03T23:30:00,2,0.75/1.00,2,3m_2021-04-01
