eval_id,started_at,passed_at,funded_or_ended_at,state
90,2026-03-06 00:00:00,2026-05-06 18:30:00,2026-05-07 00:00:00,funded
91,2026-03-06 00:00:00,2026-05-06 18:30:00,2026-05-07 00:00:00,funded
92,2026-03-06 00:00:00,2026-05-06 18:30:00,2026-05-07 00:00:00,funded
93,2026-03-06 00:00:00,2026-05-06 18:30:00,2026-05-07 00:00:00,funded
94,2026-03-06 00:00:00,2026-05-06 18:30:00,2026-05-07 00:00:00,funded
95,2026-03-06 00:00:00,2026-05-06 18:30:00,2026-05-07 00:00:00,funded
96,2026-03-06 00:00:00,2026-05-06 18:30:00,2026-05-07 00:00:00,funded
97,2026-03-06 00:00:00,2026-05-06 18:30:00,2026-05-07 00:00:00,funded
98,2026-03-06 00:00:00,2026-05-06 18:30:00,2026-05-07 00:00:00,funded
99,2026-03-06 00:00:00,2026-05-06 18:30:00,2026-05-07 00:00:00,funded
100,2026-05-07 00:00:00,2026-05-08 17:00:00,2026-05-09 00:00:00,funded
101,2026-05-07 00:00:00,2026-05-08 17:00:00,2026-05-09 00:00:00,funded
102,2026-05-07 00:00:00,2026-05-08 17:00:00,2026-05-09 00:00:00,funded
103,2026-05-07 00:00:00,2026-05-08 17:00:00,2026-05-09 00:00:00,funded
104,2026-05-07 00:00:00,2026-05-08 17:00:00,2026-05-09 00:00:00,funded
105,2026-05-07 00:00:00,2026-05-08 17:00:00,2026-05-09 00:00:00,funded
106,2026-05-07 00:00:00,2026-05-08 17:00:00,2026-05-09 00:00:00,funded
107,2026-05-07 00:00:00,2026-05-08 17:00:00,2026-05-09 00:00:00,funded
108,2026-05-07 00:00:00,2026-05-08 17:00:00,2026-05-09 00:00:00,funded
109,2026-05-07 00:00:00,2026-05-08 17:00:00,2026-05-09 00:00:00,funded
110,2026-06-06 00:00:00,2026-06-08 03:30:00,2026-06-09 00:00:00,funded
111,2026-06-06 00:00:00,2026-06-08 03:30:00,2026-06-09 00:00:00,funded
112,2026-06-06 00:00:00,2026-06-08 03:30:00,2026-06-09 00:00:00,funded
113,2026-06-06 00:00:00,2026-06-08 03:30:00,2026-06-09 00:00:00,funded
114,2026-06-06 00:00:00,2026-06-08 03:30:00,2026-06-09 00:00:00,funded
115,2026-06-06 00:00:00,2026-06-08 03:30:00,2026-06-09 00:00:00,funded
116,2026-06-06 00:00:00,2026-06-08 03:30:00,2026-06-09 00:00:00,funded
117,2026-06-06 00:00:00,2026-06-08 03:30:00,2026-06-09 00:00:00,funded
118,2026-06-06 00:00:00,2026-06-08 03:30:00,2026-06-09 00:00:00,funded
119,2026-06-06 00:00:00,2026-06-08 03:30:00,2026-06-09 00:00:00,funded
120,2026-06-19 00:00:00,2026-06-22 15:30:00,2026-06-23 00:00:00,funded
121,2026-06-19 00:00:00,2026-06-22 15:30:00,2026-06-23 00:00:00,funded
122,2026-06-19 00:00:00,2026-06-22 15:30:00,2026-06-23 00:00:00,funded
123,2026-06-19 00:00:00,2026-06-22 15:30:00,2026-06-23 00:00:00,funded
124,2026-06-19 00:00:00,2026-06-22 15:30:00,2026-06-23 00:00:00,funded
125,2026-06-19 00:00:00,2026-06-22 15:30:00,2026-06-23 00:00:00,funded
126,2026-06-19 00:00:00,2026-06-22 15:30:00,2026-06-23 00:00:00,funded
127,2026-06-19 00:00:00,2026-06-22 15:30:00,2026-06-23 00:00:00,funded
128,2026-06-19 00:00:00,2026-06-22 15:30:00,2026-06-23 00:00:00,funded
129,2026-06-19 00:00:00,2026-06-22 15:30:00,2026-06-23 00:00:00,funded
