account_id,died_at,death_trade,equity
61,2026-03-05 14:37:00,RR1.00:14-15:527:1998,10.65
62,2026-03-05 13:58:40,RR1.00:13-14:568:2098,46.0
63,2026-03-05 10:30:40,RR1.00:8-9:597:2124,58.9
64,2026-03-05 10:30:40,RR1.00:8-9:597:2124,58.9
65,2026-03-05 10:30:40,RR1.00:8-9:597:2124,58.9
66,2026-03-05 10:30:40,RR1.00:8-9:597:2124,58.9
67,2026-03-05 10:30:40,RR1.00:8-9:597:2124,58.9
68,2026-03-05 13:58:40,RR1.00:13-14:568:2098,10.25
69,2026-03-05 13:58:40,RR1.00:13-14:568:2098,10.25
70,2026-03-05 13:58:40,RR1.00:13-14:568:2098,10.25
71,2026-03-05 13:58:40,RR1.00:13-14:568:2098,10.25
72,2026-03-05 13:58:40,RR1.00:13-14:568:2098,10.25
73,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-58.4
74,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-58.4
75,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-58.4
76,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-58.4
77,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-58.4
81,2026-03-05 10:30:40,RR1.00:8-9:597:2124,23.35
82,2026-03-05 13:58:40,RR1.00:13-14:568:2098,45.3
83,2026-03-05 13:58:40,RR1.00:13-14:568:2098,45.3
