portfolio,members,quarters,full_loss_quarters,partial_loss_quarters,no_loss_quarters,mean_failed_fraction,worst_failed_fraction,mean_quarter_pnl,mean_quarter_mdd,worst_quarter_mdd,continuous_pnl,continuous_mdd,full_loss_cases
RR:0.50,RR:0.50,26,5,0,21,0.19230769230769232,1.0,867.8346153846154,1536.746153846154,3093.5,22563.7,4323.7,3m_2021-04-01;3m_2022-04-01;3m_2023-10-01;3m_2024-07-01;3m_2025-04-01
RR:1.00,RR:1.00,26,7,0,19,0.2692307692307692,1.0,1044.251923076923,1790.373076923077,6378.75,27150.55,6378.75,3m_2020-01-01;3m_2021-01-01;3m_2021-04-01;3m_2022-04-01;3m_2023-10-01;3m_2025-04-01;3m_2026-01-01
RR:2.50,RR:2.50,26,6,0,20,0.23076923076923078,1.0,1494.1576923076923,2005.6846153846154,5139.95,38945.6,5139.950000000001,3m_2020-01-01;3m_2022-01-01;3m_2022-04-01;3m_2024-07-01;3m_2025-04-01;3m_2026-01-01
GG:1.25,GG:1.25,26,5,0,21,0.19230769230769232,1.0,1296.8673076923076,2154.0403846153845,5416.9,34035.7,6272.0999999999985,3m_2022-01-01;3m_2022-04-01;3m_2024-07-01;3m_2025-04-01;3m_2026-01-01
rr_pair,RR:0.50;RR:2.50,26,3,5,18,0.21153846153846154,1.0,1180.996153846154,1660.4653846153847,4036.375,30754.65,4036.375,3m_2022-04-01;3m_2024-07-01;3m_2025-04-01
cross_pair,RR:0.50;GG:1.25,26,3,4,19,0.19230769230769232,1.0,1082.3509615384614,1564.7038461538461,4174.85,28299.699999999997,4773.049999999999,3m_2022-04-01;3m_2024-07-01;3m_2025-04-01
rr_triple,RR:0.50;RR:2.50;RR:1.00,26,2,7,17,0.23076923076923075,1.0,1135.4147435897437,1669.8826923076922,4817.166666666666,29553.283333333333,4817.166666666668,3m_2022-04-01;3m_2025-04-01
cross_triple,RR:0.50;GG:1.25;RR:1.00,26,2,7,17,0.21794871794871795,1.0,1069.6512820512821,1553.998076923077,4909.483333333334,27916.649999999998,4909.483333333334,3m_2022-04-01;3m_2025-04-01
