case,portfolio,start_year,permutation,assignment_order,accounts,deaths,alive,net_operating_cash,receipts,acquisition_costs,retained_equity,copies,mean_daily_alive,book_wipeouts,days_empty_after_first_activation,continuous_after_activation,first_activation,prior_ledger_reproduced,tape_first_entry,tape_last_exit
cross_triple__2023__p03,cross_triple,2023,3,GG:1.25;RR:0.50;RR:1.00,45,26,19,143037.0,151500.0,8463.0,135984.9,63569,11.77829457364341,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
cross_triple__2023__p04,cross_triple,2023,4,GG:1.25;RR:1.00;RR:0.50,42,24,18,155511.0,163500.0,7989.0,130914.55,64005,11.906976744186046,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
cross_triple__2023__p05,cross_triple,2023,5,RR:1.00;RR:0.50;GG:1.25,42,24,18,157478.0,165500.0,8022.0,130491.0,65956,12.251937984496124,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
cross_triple__2023__p06,cross_triple,2023,6,RR:1.00;GG:1.25;RR:0.50,46,27,19,156978.0,165500.0,8522.0,136925.05,66161,12.332558139534884,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
cross_triple__2024__p01,cross_triple,2024,1,RR:0.50;GG:1.25;RR:1.00,50,35,15,68313.0,77500.0,9187.0,104907.25,41273,10.67027027027027,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
cross_triple__2024__p02,cross_triple,2024,2,RR:0.50;RR:1.00;GG:1.25,50,33,17,78747.0,88000.0,9253.0,120250.8,43092,11.17081081081081,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
cross_triple__2024__p03,cross_triple,2024,3,GG:1.25;RR:0.50;RR:1.00,46,31,15,61714.0,70500.0,8786.0,103831.9,37989,9.852972972972973,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
cross_triple__2024__p04,cross_triple,2024,4,GG:1.25;RR:1.00;RR:0.50,45,30,15,73372.0,82000.0,8628.0,105039.6,39925,10.385945945945945,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
cross_triple__2024__p05,cross_triple,2024,5,RR:1.00;RR:0.50;GG:1.25,40,24,16,71327.0,79000.0,7673.0,108694.6,38003,9.886486486486486,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
cross_triple__2024__p06,cross_triple,2024,6,RR:1.00;GG:1.25;RR:0.50,49,30,19,75136.0,84000.0,8864.0,126540.2,41379,10.79027027027027,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
cross_triple__2025__p01,cross_triple,2025,1,RR:0.50;GG:1.25;RR:1.00,19,12,7,-1558.0,2500.0,4058.0,39624.6,8712,3.6815742397137745,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
cross_triple__2025__p02,cross_triple,2025,2,RR:0.50;RR:1.00;GG:1.25,26,18,8,-2664.0,2500.0,5164.0,44094.75,8805,3.7459749552772807,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
cross_triple__2025__p03,cross_triple,2025,3,GG:1.25;RR:0.50;RR:1.00,21,15,6,-2473.0,2000.0,4473.0,35010.1,8891,3.7799642218246867,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
cross_triple__2025__p04,cross_triple,2025,4,GG:1.25;RR:1.00;RR:0.50,21,15,6,-3506.0,1000.0,4506.0,32686.6,8536,3.6529516994633275,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
cross_triple__2025__p05,cross_triple,2025,5,RR:1.00;RR:0.50;GG:1.25,23,18,5,-3289.0,1500.0,4789.0,28562.75,8695,3.7137745974955276,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
cross_triple__2025__p06,cross_triple,2025,6,RR:1.00;GG:1.25;RR:0.50,23,18,5,-4256.0,500.0,4756.0,25287.55,8360,3.584973166368515,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
