case,portfolio,start_year,permutation,assignment_order,accounts,deaths,alive,net_operating_cash,receipts,acquisition_costs,retained_equity,copies,mean_daily_alive,book_wipeouts,days_empty_after_first_activation,continuous_after_activation,first_activation,prior_ledger_reproduced,tape_first_entry,tape_last_exit
RR_1.00__2024__p01,RR:1.00,2024,1,RR:1.00,41,25,16,89136.0,97000.0,7864.0,101463.65,37585,10.348108108108109,0,0.0,True,2024-02-01T00:00:00,True,2024-01-02T03:01:40,2026-07-13T22:13:20
RR_1.00__2025__p01,RR:1.00,2025,1,RR:1.00,25,20,5,-5171.0,0.0,5171.0,25570.4,7375,3.322003577817531,1,12.1627,False,2025-05-01T00:00:00,True,2025-01-02T03:01:40,2026-07-13T22:13:20
RR_2.50__2020__p01,RR:2.50,2020,1,RR:2.50,76,56,20,437322.0,452300.0,14978.0,186517.55,103326,13.787091366303438,2,0.4664,False,2020-03-01T00:00:00,True,2020-01-02T02:30:40,2026-07-13T22:13:20
RR_2.50__2021__p01,RR:2.50,2021,1,RR:2.50,90,70,20,260074.0,277000.0,16926.0,169928.05,57962,9.126732673267327,6,54.1889,False,2021-02-01T00:00:00,True,2021-01-04T04:31:40,2026-07-13T22:13:20
RR_2.50__2022__p01,RR:2.50,2022,1,RR:2.50,46,26,20,360549.0,369500.0,8951.0,184645.8,66699,12.870090634441087,4,34.0921,False,2022-02-01T00:00:00,True,2022-01-03T02:00:40,2026-07-13T22:13:20
RR_2.50__2023__p01,RR:2.50,2023,1,RR:2.50,37,17,20,263867.0,271000.0,7133.0,169320.05,48332,11.97906976744186,0,0.0,True,2023-04-01T00:00:00,True,2023-01-03T04:04:40,2026-07-13T22:13:20
RR_2.50__2024__p01,RR:2.50,2024,1,RR:2.50,37,22,15,131669.0,139000.0,7331.0,113847.15,25721,8.876756756756757,0,0.0,True,2024-02-01T00:00:00,True,2024-01-02T03:01:40,2026-07-13T22:13:20
RR_2.50__2025__p01,RR:2.50,2025,1,RR:2.50,17,10,7,6258.0,10000.0,3742.0,41912.4,6663,3.7066189624329158,0,0.0,True,2025-05-01T00:00:00,True,2025-01-02T03:01:40,2026-07-13T22:13:20
GG_1.25__2020__p01,GG:1.25,2020,1,GG:1.25,77,57,20,341980.0,357050.0,15070.0,135888.75,133393,13.268650461022633,1,0.0856,False,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
GG_1.25__2021__p01,GG:1.25,2021,1,GG:1.25,83,64,19,241416.0,257500.0,16084.0,132473.3,95764,11.318316831683168,6,96.3657,False,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
GG_1.25__2022__p01,GG:1.25,2022,1,GG:1.25,64,46,18,178078.0,190500.0,12422.0,123782.5,78014,11.290030211480362,3,61.4539,False,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
GG_1.25__2023__p01,GG:1.25,2023,1,GG:1.25,53,37,16,102547.0,113000.0,10453.0,111620.3,56906,10.634108527131783,0,0.0,True,2023-04-01T00:00:00,False,2023-01-03T04:04:40,2026-07-13T22:13:20
GG_1.25__2024__p01,GG:1.25,2024,1,GG:1.25,49,38,11,26641.0,36000.0,9359.0,78156.8,30706,8.05081081081081,0,0.0,True,2024-02-01T00:00:00,False,2024-01-02T03:01:40,2026-07-13T22:13:20
GG_1.25__2025__p01,GG:1.25,2025,1,GG:1.25,23,18,5,-4256.0,500.0,4756.0,28580.85,8249,3.5670840787119857,0,0.0,True,2025-05-01T00:00:00,False,2025-01-02T03:01:40,2026-07-13T22:13:20
rr_pair__2020__p01,rr_pair,2020,1,RR:0.50;RR:2.50,84,64,20,338025.0,354300.0,16275.0,168406.6,120412,13.341994970662196,0,0.0,True,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
rr_pair__2020__p02,rr_pair,2020,2,RR:2.50;RR:0.50,87,67,20,337385.0,354200.0,16815.0,168706.15,117554,13.11441743503772,2,0.4664,False,2020-03-01T00:00:00,False,2020-01-02T02:30:40,2026-07-13T22:13:20
rr_pair__2021__p01,rr_pair,2021,1,RR:0.50;RR:2.50,87,67,20,267015.0,283500.0,16485.0,165217.8,90043,11.718316831683168,1,22.0208,False,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
rr_pair__2021__p02,rr_pair,2021,2,RR:2.50;RR:0.50,93,73,20,222605.0,240500.0,17895.0,161405.55,79497,10.451980198019802,1,5.3081,False,2021-02-01T00:00:00,False,2021-01-04T04:31:40,2026-07-13T22:13:20
rr_pair__2022__p01,rr_pair,2022,1,RR:0.50;RR:2.50,47,27,20,289056.0,298000.0,8944.0,167427.9,80519,12.81570996978852,0,0.0,True,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
rr_pair__2022__p02,rr_pair,2022,2,RR:2.50;RR:0.50,53,33,20,283778.0,294000.0,10222.0,166833.9,78597,12.61570996978852,1,55.51,False,2022-02-01T00:00:00,False,2022-01-03T02:00:40,2026-07-13T22:13:20
