portfolio,start_year,permutations,continuous_orders,book_wipeouts_min,book_wipeouts_mean,book_wipeouts_max,days_empty_after_first_activation_min,days_empty_after_first_activation_mean,days_empty_after_first_activation_max,deaths_min,deaths_mean,deaths_max,net_operating_cash_min,net_operating_cash_mean,net_operating_cash_max,retained_equity_min,retained_equity_mean,retained_equity_max
RR:2.50,2024,1,1,0,0,0,0.0,0.0,0.0,22,22,22,131669.0,131669.0,131669.0,113847.15,113847.15,113847.15
RR:2.50,2025,1,1,0,0,0,0.0,0.0,0.0,10,10,10,6258.0,6258.0,6258.0,41912.4,41912.4,41912.4
GG:1.25,2020,1,0,1,1,1,0.0856,0.0856,0.0856,57,57,57,341980.0,341980.0,341980.0,135888.75,135888.75,135888.75
GG:1.25,2021,1,0,6,6,6,96.3657,96.3657,96.3657,64,64,64,241416.0,241416.0,241416.0,132473.3,132473.3,132473.3
GG:1.25,2022,1,0,3,3,3,61.4539,61.4539,61.4539,46,46,46,178078.0,178078.0,178078.0,123782.5,123782.5,123782.5
GG:1.25,2023,1,1,0,0,0,0.0,0.0,0.0,37,37,37,102547.0,102547.0,102547.0,111620.3,111620.3,111620.3
GG:1.25,2024,1,1,0,0,0,0.0,0.0,0.0,38,38,38,26641.0,26641.0,26641.0,78156.8,78156.8,78156.8
GG:1.25,2025,1,1,0,0,0,0.0,0.0,0.0,18,18,18,-4256.0,-4256.0,-4256.0,28580.85,28580.85,28580.85
rr_pair,2020,2,1,0,1,2,0.0,0.2332,0.4664,64,65.5,67,337385.0,337705.0,338025.0,168406.6,168556.375,168706.15
rr_pair,2021,2,0,1,1,1,5.3081,13.66445,22.0208,67,70,73,222605.0,244810.0,267015.0,161405.55,163311.675,165217.8
rr_pair,2022,2,1,0,0.5,1,0.0,27.755,55.51,27,30,33,283778.0,286417.0,289056.0,166833.9,167130.9,167427.9
rr_pair,2023,2,2,0,0,0,0.0,0.0,0.0,17,17,17,214301.0,221133.5,227966.0,159468.65,160794.2,162119.75
rr_pair,2024,2,2,0,0,0,0.0,0.0,0.0,19,19.5,20,100985.0,114067.5,127150.0,112997.8,122236.45000000001,131475.1
rr_pair,2025,2,2,0,0,0,0.0,0.0,0.0,7,7.5,8,2607.0,3860.5,5114.0,46013.65,47067.8,48121.95
cross_pair,2020,2,1,0,0.5,1,0.0,0.0428,0.0856,70,70,70,297738.0,299264.0,300790.0,144182.05,144514.075,144846.1
cross_pair,2021,2,0,1,2,3,49.0461,54.887150000000005,60.7282,46,56.5,67,254470.0,259781.0,265092.0,137530.9,140946.15,144361.4
cross_pair,2022,2,1,0,1,2,0.0,31.20325,62.4065,36,37,38,211219.0,217156.5,223094.0,139815.65,141480.5,143145.35
cross_pair,2023,2,2,0,0,0,0.0,0.0,0.0,23,23,23,137511.0,142011.0,146511.0,136968.9,138082.59999999998,139196.3
cross_pair,2024,2,2,0,0,0,0.0,0.0,0.0,29,29,29,48471.0,55941.5,63412.0,107891.3,111389.525,114887.75
cross_pair,2025,2,2,0,0,0,0.0,0.0,0.0,12,14,16,-2124.0,-1841.0,-1558.0,36958.2,38043.55,39128.9
rr_triple,2020,6,2,0,1.3333333333333333,2,0.0,0.2584,0.4664,56,63.5,69,325766.0,338796.5,351578.0,157758.2,159283.875,160691.95
rr_triple,2021,6,1,0,1.6666666666666667,3,0.0,14.837183333333334,28.6403,48,52.5,57,286576.0,298159.6666666667,311781.0,156208.9,157723.53333333333,159274.2
rr_triple,2022,6,2,0,1.1666666666666667,3,0.0,27.92021666666667,55.51,23,27.5,33,278726.0,283566.6666666667,294629.0,156520.1,157901.78333333333,159250.95
rr_triple,2023,6,6,0,0,0,0.0,0.0,0.0,17,18.833333333333332,20,197011.0,208783.66666666666,217091.0,143854.75,149459.03333333333,153842.65
rr_triple,2024,6,6,0,0,0,0.0,0.0,0.0,17,20.666666666666668,25,87110.0,107507.0,117676.0,103149.7,117029.33333333333,124766.95
rr_triple,2025,6,6,0,0,0,0.0,0.0,0.0,9,11.5,14,-25.0,885.0,1909.0,33334.65,38056.38333333333,41433.95
cross_triple,2020,6,2,0,1,2,0.0,0.13146666666666668,0.3088,64,67.5,73,299951.0,308983.6666666667,319528.0,142573.2,143128.35,143908.55
cross_triple,2021,6,2,0,1.3333333333333333,3,0.0,33.253883333333334,60.7282,46,50,54,275559.0,284394.0,294717.0,141297.95,142511.78333333333,143227.0
cross_triple,2022,6,2,0,1,2,0.0,38.011316666666666,61.4065,26,31.166666666666668,38,247186.0,250420.5,252280.0,134782.05,137899.25833333333,142239.6
cross_triple,2023,6,6,0,0,0,0.0,0.0,0.0,24,25.166666666666668,27,143037.0,156090.83333333334,163030.0,129319.4,132501.07499999998,136925.05
cross_triple,2024,6,6,0,0,0,0.0,0.0,0.0,24,30.5,35,61714.0,71434.83333333333,78747.0,103831.9,111544.05833333333,126540.2
cross_triple,2025,6,6,0,0,0,0.0,0.0,0.0,12,16,18,-4256.0,-2957.6666666666665,-1558.0,25287.55,34211.058333333334,44094.75
