case,arm,breached,trade_key,interval_start,exit,accepted,open_at_end
3m_2023-07-01,RR:2.50,False,,,,308,0
3m_2023-07-01,GG:1.25,False,,,,413,0
3m_2023-10-01,RR:0.50,True,RR0.50:19-20:293:1208,2023-10-30T19:24:40,2023-10-30T20:00:00,407,0
3m_2023-10-01,RR:1.00,True,RR1.00:17-18:222:1147,2023-10-30T17:59:40,2023-10-30T18:43:40,347,0
3m_2023-10-01,RR:2.50,False,,,,283,0
3m_2023-10-01,GG:1.25,False,,,,390,0
3m_2024-01-01,RR:0.50,False,,,,385,0
3m_2024-01-01,RR:1.00,False,,,,336,0
3m_2024-01-01,RR:2.50,False,,,,260,1
3m_2024-01-01,GG:1.25,False,,,,361,1
3m_2024-04-01,RR:0.50,False,,,,416,0
3m_2024-04-01,RR:1.00,False,,,,371,0
3m_2024-04-01,RR:2.50,False,,,,295,0
3m_2024-04-01,GG:1.25,False,,,,383,0
3m_2024-07-01,RR:0.50,True,RR0.50:17-18:272:1385,2024-07-26T17:01:20,2024-07-26T17:08:40,418,0
3m_2024-07-01,RR:1.00,False,,,,358,0
3m_2024-07-01,RR:2.50,True,RR2.50:20-21:366:1376,2024-07-25T20:02:40,2024-07-25T20:18:40,290,0
3m_2024-07-01,GG:1.25,True,GG1.25:17-18:685:1625,2024-07-25T17:31:20,2024-07-25T23:30:00,402,0
3m_2024-10-01,RR:0.50,False,,,,379,0
3m_2024-10-01,RR:1.00,False,,,,339,0
3m_2024-10-01,RR:2.50,False,,,,268,0
3m_2024-10-01,GG:1.25,False,,,,389,0
3m_2025-01-01,RR:0.50,False,,,,393,0
3m_2025-01-01,RR:1.00,False,,,,345,0
3m_2025-01-01,RR:2.50,False,,,,260,0
3m_2025-01-01,GG:1.25,False,,,,332,0
3m_2025-04-01,RR:0.50,True,RR0.50:2-3:472:1797,2025-04-07T02:34:40,2025-04-07T04:30:00,405,0
3m_2025-04-01,RR:1.00,True,RR1.00:22-23:448:1655,2025-04-04T22:11:40,2025-04-04T22:55:40,361,0
3m_2025-04-01,RR:2.50,True,RR2.50:20-21:414:1578,2025-04-04T20:38:20,2025-04-04T21:36:40,281,0
3m_2025-04-01,GG:1.25,True,GG1.25:8-9:801:1854,2025-04-04T08:32:40,2025-04-04T13:10:40,377,0
3m_2025-07-01,RR:0.50,False,,,,424,0
3m_2025-07-01,RR:1.00,False,,,,367,0
3m_2025-07-01,RR:2.50,False,,,,303,0
3m_2025-07-01,GG:1.25,False,,,,412,0
3m_2025-10-01,RR:0.50,False,,,,407,0
3m_2025-10-01,RR:1.00,False,,,,358,0
3m_2025-10-01,RR:2.50,False,,,,282,0
3m_2025-10-01,GG:1.25,False,,,,366,0
3m_2026-01-01,RR:0.50,False,,,,406,0
3m_2026-01-01,RR:1.00,True,RR1.00:14-15:527:1998,2026-03-05T14:21:40,2026-03-05T14:37:00,367,0
3m_2026-01-01,RR:2.50,True,RR2.50:17-18:368:1879,2026-03-24T17:51:40,2026-03-24T20:10:40,316,0
3m_2026-01-01,GG:1.25,True,GG1.25:13-14:894:2154,2026-02-17T13:30:40,2026-02-17T15:04:40,369,0
3m_2026-04-01,RR:0.50,False,,,,408,0
3m_2026-04-01,RR:1.00,False,,,,363,0
3m_2026-04-01,RR:2.50,False,,,,275,0
3m_2026-04-01,GG:1.25,False,,,,387,0
