portfolio,starts,cases,continuous_cases,starts_continuous_all_orders,starts_continuous_any_order,book_wipeouts_mean,book_wipeouts_worst_order_mean,days_empty_after_first_activation_mean,days_empty_after_first_activation_worst_order_mean,deaths_mean,deaths_worst_order_mean,net_operating_cash_mean,net_operating_cash_worst_order_mean,retained_equity_mean,retained_equity_worst_order_mean
RR:0.50,6,6,3,3,3,0.5,0.5,21.292333333333335,21.292333333333335,36.5,36.5,122091.83333333333,122091.83333333333,121674.60833333334,121674.60833333334
RR:1.00,6,6,1,1,1,1.3333333333333333,1.3333333333333333,16.920716666666667,16.920716666666667,31,31,196779.33333333334,196779.33333333334,112021.94166666667,112021.94166666667
RR:2.50,6,6,3,3,3,2,2,14.791233333333333,14.791233333333333,33.5,33.5,243289.83333333334,243289.83333333334,144361.8333333333,144361.8333333333
GG:1.25,6,6,3,3,3,1.6666666666666667,1.6666666666666667,26.317533333333333,26.317533333333333,43.333333333333336,43.333333333333336,147734.33333333334,147734.33333333334,101750.41666666667,101750.41666666667
rr_pair,6,12,8,3,5,0.4166666666666667,0.6666666666666666,6.9421083333333335,12.999533333333334,34.916666666666664,36.333333333333336,201332.25,193610.16666666666,138182.9,135854.35833333334
cross_pair,6,12,8,3,5,0.5833333333333334,1,14.355533333333334,20.536716666666667,38.25,40.5,162052.16666666666,157880.83333333334,119076.06666666667,117224.5
rr_triple,6,36,23,3,6,0.6944444444444444,1.3333333333333333,7.169300000000001,14.102783333333333,32.416666666666664,36.333333333333336,206283.08333333334,195860.66666666666,129908.99027777778,125137.71666666667
cross_triple,6,36,24,3,6,0.5555555555555556,1.1666666666666667,11.899444444444445,20.40725,36.72222222222222,40.833333333333336,178061.02777777778,170531.83333333334,116965.93055555555,112848.675
