case,portfolio,members,groups,failed_groups,failed_fraction,full_loss,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change
3m_2020-07-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,0,0.0,False,1736.8833333333334,889.2666666666669,2020-09-21,18,26,True,7,-508.2833333333333,-713.8833333333334,-541.6000000000001
3m_2020-07-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,0,0.0,False,1407.2666666666667,809.2,2020-09-23,20,28,True,10,-517.8166666666666,-589.2833333333333,-681.1666666666667
3m_2020-10-01,RR:0.50,RR:0.50,1,0,0.0,False,-668.9,1406.4499999999998,2020-12-31,40,57,True,4,-525.3,-715.05,-930.3000000000001
3m_2020-10-01,RR:1.00,RR:1.00,1,0,0.0,False,845.15,856.0,2020-10-06,30,45,True,5,-490.54999999999995,-739.7,-306.70000000000005
3m_2020-10-01,RR:2.50,RR:2.50,1,0,0.0,False,1139.15,1175.75,2020-11-23,40,57,True,2,-558.25,-694.0,-621.55
3m_2020-10-01,GG:1.25,GG:1.25,1,0,0.0,False,1849.0,1428.8500000000001,2020-11-18,38,55,True,2,-930.7500000000002,-1119.65,-937.1500000000001
3m_2020-10-01,rr_pair,RR:0.50;RR:2.50,2,0,0.0,False,235.12500000000006,1167.5,2020-12-14,40,57,True,2,-541.775,-704.525,-738.5999999999999
3m_2020-10-01,cross_pair,RR:0.50;GG:1.25,2,0,0.0,False,590.05,1203.375,2020-11-18,38,55,True,5,-728.0250000000002,-849.075,-897.95
3m_2020-10-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,0,0.0,False,438.4666666666667,828.2166666666667,2020-11-18,40,57,True,3,-521.95,-559.4666666666667,-506.91666666666663
3m_2020-10-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,0,0.0,False,675.0833333333334,876.6333333333334,2020-11-18,38,55,True,5,-646.1166666666669,-560.3166666666665,-627.2833333333335
3m_2021-01-01,RR:0.50,RR:0.50,1,0,0.0,False,-30.2,1582.25,2021-03-08,58,82,True,0,-676.0,-840.75,-820.8499999999999
3m_2021-01-01,RR:1.00,RR:1.00,1,1,1.0,True,-610.95,2773.75,2021-03-08,58,82,True,0,-1017.5,-1083.6000000000001,-1744.3500000000001
3m_2021-01-01,RR:2.50,RR:2.50,1,0,0.0,False,1509.75,1121.3500000000001,2021-03-08,22,30,True,4,-698.8,-976.4000000000001,-932.25
3m_2021-01-01,GG:1.25,GG:1.25,1,0,0.0,False,-525.0,2221.9,2021-03-30,33,47,True,5,-848.3499999999999,-1374.7,-1933.35
3m_2021-01-01,rr_pair,RR:0.50;RR:2.50,2,0,0.0,False,739.775,1294.25,2021-03-08,46,64,True,1,-522.425,-908.575,-876.55
3m_2021-01-01,cross_pair,RR:0.50;GG:1.25,2,0,0.0,False,-277.6,1526.85,2021-03-08,46,64,True,2,-580.55,-750.4499999999999,-1188.5749999999998
3m_2021-01-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,1,0.3333333333333333,False,289.5333333333333,1767.4166666666665,2021-03-08,58,82,True,0,-687.45,-966.9166666666667,-1165.8166666666666
3m_2021-01-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,1,0.3333333333333333,False,-388.7166666666667,1909.8166666666666,2021-03-08,46,64,True,2,-719.1333333333333,-861.5,-1373.8333333333333
3m_2021-04-01,RR:0.50,RR:0.50,1,1,1.0,True,-2305.4,3093.5,2021-06-18,56,78,True,1,-381.85,-1020.65,-2006.05
3m_2021-04-01,RR:1.00,RR:1.00,1,1,1.0,True,-1779.8,2547.25,2021-06-18,53,75,True,2,-406.85,-728.1,-1522.95
3m_2021-04-01,RR:2.50,RR:2.50,1,0,0.0,False,-621.75,1989.65,2021-06-18,53,75,True,1,-505.75,-815.75,-1230.7
3m_2021-04-01,GG:1.25,GG:1.25,1,0,0.0,False,499.8,1875.5,2021-05-13,56,78,True,2,-394.8,-850.1,-1720.6999999999998
3m_2021-04-01,rr_pair,RR:0.50;RR:2.50,2,1,0.5,False,-1463.575,2513.325,2021-06-18,53,75,True,2,-443.8,-787.225,-1532.725
3m_2021-04-01,cross_pair,RR:0.50;GG:1.25,2,1,0.5,False,-902.8000000000001,2120.15,2021-06-18,56,78,True,2,-318.09999999999997,-804.4,-1711.4250000000002
3m_2021-04-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,2,0.6666666666666666,False,-1568.9833333333333,2524.633333333333,2021-06-18,53,75,True,2,-431.48333333333335,-758.45,-1529.4666666666665
3m_2021-04-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,2,0.6666666666666666,False,-1195.1333333333334,2223.9833333333336,2021-06-18,56,78,True,1,-347.68333333333334,-747.7166666666667,-1598.6
3m_2021-07-01,RR:0.50,RR:0.50,1,0,0.0,False,-167.75,772.6,2021-09-30,44,62,True,4,-386.3,-772.6,-317.40000000000003
3m_2021-07-01,RR:1.00,RR:1.00,1,0,0.0,False,340.9,754.85,2021-09-30,26,38,True,6,-376.79999999999995,-715.1,-348.65
3m_2021-07-01,RR:2.50,RR:2.50,1,0,0.0,False,-659.55,1732.25,2021-09-30,28,40,True,6,-494.8,-897.9,-1600.6999999999998
3m_2021-07-01,GG:1.25,GG:1.25,1,0,0.0,False,113.35,1316.6000000000001,2021-09-30,22,30,True,8,-671.45,-1024.65,-1185.25
3m_2021-07-01,rr_pair,RR:0.50;RR:2.50,2,0,0.0,False,-413.65,1153.525,2021-09-30,29,41,True,7,-440.54999999999995,-835.25,-952.65
3m_2021-07-01,cross_pair,RR:0.50;GG:1.25,2,0,0.0,False,-27.200000000000003,993.925,2021-09-30,11,15,True,10,-528.875,-898.625,-744.925
3m_2021-07-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,0,0.0,False,-162.13333333333333,992.8833333333333,2021-09-30,29,41,True,6,-419.3,-795.2,-751.3166666666666
3m_2021-07-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,0,0.0,False,95.49999999999999,861.4833333333333,2021-09-30,15,21,True,10,-478.18333333333334,-837.45,-612.8333333333333
3m_2021-10-01,RR:0.50,RR:0.50,1,0,0.0,False,587.75,1297.45,2021-12-03,40,57,True,7,-318.45,-530.5,-1252.15
3m_2021-10-01,RR:1.00,RR:1.00,1,0,0.0,False,1105.9,1560.25,2021-12-20,40,57,True,5,-318.45000000000005,-765.7,-1347.6
3m_2021-10-01,RR:2.50,RR:2.50,1,0,0.0,False,1831.0,1872.4,2021-12-20,39,56,True,4,-571.9499999999998,-982.8,-1763.6999999999998
3m_2021-10-01,GG:1.25,GG:1.25,1,0,0.0,False,2578.65,1261.6,2021-12-03,32,46,True,7,-725.7,-979.3499999999999,-1261.6
3m_2021-10-01,rr_pair,RR:0.50;RR:2.50,2,0,0.0,False,1209.375,1547.4500000000003,2021-12-20,39,56,True,5,-401.9749999999999,-689.1999999999998,-1380.3750000000002
3m_2021-10-01,cross_pair,RR:0.50;GG:1.25,2,0,0.0,False,1583.2,1261.125,2021-12-03,36,53,True,5,-513.2500000000001,-687.475,-1256.875
3m_2021-10-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,0,0.0,False,1174.8833333333334,1540.4499999999998,2021-12-20,39,56,True,5,-351.1333333333332,-657.7833333333333,-1348.5499999999997
3m_2021-10-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,0,0.0,False,1424.1000000000001,1256.5166666666667,2021-12-03,40,57,True,3,-426.9166666666665,-656.6333333333334,-1242.4166666666667
3m_2022-01-01,RR:0.50,RR:0.50,1,0,0.0,False,2891.55,1126.5500000000002,2022-03-14,15,21,True,9,-662.0,-1056.15,13.3
3m_2022-01-01,RR:1.00,RR:1.00,1,0,0.0,False,2094.5,1306.9,2022-03-14,20,27,True,6,-684.4499999999998,-1032.1,-441.3499999999999
3m_2022-01-01,RR:2.50,RR:2.50,1,1,1.0,True,2775.8,1957.9,2022-03-08,20,28,True,8,-910.9,-1713.65,-356.94999999999993
3m_2022-01-01,GG:1.25,GG:1.25,1,1,1.0,True,-439.9,2939.6,2022-02-21,62,86,True,0,-909.3500000000001,-1787.05,-1921.55
3m_2022-01-01,rr_pair,RR:0.50;RR:2.50,2,1,0.5,False,2833.675,1455.0750000000003,2022-03-08,16,22,True,8,-786.4499999999999,-1224.275,42.475
3m_2022-01-01,cross_pair,RR:0.50;GG:1.25,2,1,0.5,False,1225.825,1599.675,2022-01-25,37,51,True,3,-785.6750000000002,-972.5500000000001,-954.125
3m_2022-01-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,1,0.3333333333333333,False,2587.2833333333333,1354.1666666666665,2022-03-08,16,22,True,7,-644.6333333333333,-1160.2166666666667,-84.7833333333333
3m_2022-01-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,1,0.3333333333333333,False,1515.3833333333334,1281.0666666666666,2022-01-21,24,34,True,6,-691.7499999999999,-979.0333333333333,-603.8666666666667
3m_2022-04-01,RR:0.50,RR:0.50,1,1,1.0,True,-1790.8,2710.3,2022-06-30,50,70,True,2,-800.35,-1360.5500000000002,-1867.3
3m_2022-04-01,RR:1.00,RR:1.00,1,1,1.0,True,-2885.5,4276.85,2022-06-30,48,66,True,3,-1034.3,-2095.55,-3261.35
3m_2022-04-01,RR:2.50,RR:2.50,1,1,1.0,True,-3702.05,4395.85,2022-06-30,53,73,True,2,-908.75,-2156.8,-2905.8500000000004
3m_2022-04-01,GG:1.25,GG:1.25,1,1,1.0,True,-3466.0,5035.55,2022-05-12,62,87,True,1,-784.8000000000002,-2338.45,-3516.9
3m_2022-04-01,rr_pair,RR:0.50;RR:2.50,2,2,1.0,True,-2746.425,3448.525,2022-06-30,51,71,True,3,-854.5500000000001,-1709.525,-2265.8
3m_2022-04-01,cross_pair,RR:0.50;GG:1.25,2,2,1.0,True,-2628.4,3329.9,2022-05-12,62,87,True,1,-664.0500000000002,-1800.35,-2537.025
3m_2022-04-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,3,1.0,True,-2792.7833333333333,3700.6833333333334,2022-06-30,50,70,True,3,-914.4666666666667,-1838.2,-2597.65
3m_2022-04-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,3,1.0,True,-2714.1,3192.583333333333,2022-06-30,62,87,True,1,-787.4666666666667,-1898.7500000000002,-2535.716666666667
3m_2022-07-01,RR:0.50,RR:0.50,1,0,0.0,False,2494.85,1100.8999999999996,2022-09-06,26,36,True,8,-467.3000000000002,-763.6500000000001,-917.75
3m_2022-07-01,RR:1.00,RR:1.00,1,0,0.0,False,3446.6,910.75,2022-09-06,29,41,True,8,-475.75,-671.8999999999996,-449.8499999999999
3m_2022-07-01,RR:2.50,RR:2.50,1,0,0.0,False,1979.65,1518.7999999999997,2022-09-06,31,43,True,7,-502.8499999999999,-848.6500000000001,-1032.15
3m_2022-07-01,GG:1.25,GG:1.25,1,0,0.0,False,-53.55,2506.55,2022-09-30,34,46,True,4,-609.4499999999999,-1053.65,-1594.0499999999997
3m_2022-07-01,rr_pair,RR:0.50;RR:2.50,2,0,0.0,False,2237.25,1185.325,2022-09-06,31,43,True,6,-413.4749999999999,-779.3499999999997,-931.1500000000005
3m_2022-07-01,cross_pair,RR:0.50;GG:1.25,2,0,0.0,False,1220.6499999999999,1421.125,2022-09-27,31,43,True,6,-417.89999999999986,-830.4249999999997,-1074.175
3m_2022-07-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,0,0.0,False,2640.366666666667,1093.7999999999997,2022-09-06,31,43,True,7,-434.2333333333336,-737.3499999999999,-770.7166666666667
3m_2022-07-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,0,0.0,False,1962.6333333333332,1219.6833333333332,2022-09-06,31,43,True,6,-428.23333333333335,-771.3999999999999,-866.0666666666666
3m_2022-10-01,RR:0.50,RR:0.50,1,0,0.0,False,-752.55,1882.5,2022-11-11,49,70,True,1,-443.90000000000003,-1180.7,-1367.5500000000002
3m_2022-10-01,RR:1.00,RR:1.00,1,0,0.0,False,-914.8,1628.9499999999998,2022-11-04,49,70,True,2,-469.79999999999995,-1174.1,-1256.4499999999998
3m_2022-10-01,RR:2.50,RR:2.50,1,0,0.0,False,-1153.05,2718.3,2022-12-28,49,70,True,1,-503.75,-1292.75,-2007.35
3m_2022-10-01,GG:1.25,GG:1.25,1,0,0.0,False,3050.75,1063.85,2022-12-27,12,17,True,9,-519.3499999999999,-829.5,-495.5500000000002
3m_2022-10-01,rr_pair,RR:0.50;RR:2.50,2,0,0.0,False,-952.8,2263.35,2022-12-28,49,70,True,1,-417.375,-1153.925,-1683.025
3m_2022-10-01,cross_pair,RR:0.50;GG:1.25,2,0,0.0,False,1149.1,891.5499999999998,2022-11-04,28,40,True,4,-390.82499999999993,-648.975,-485.17499999999995
3m_2022-10-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,0,0.0,False,-940.1333333333333,2037.6,2022-12-28,49,70,True,1,-429.29999999999995,-1160.65,-1475.7833333333333
3m_2022-10-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,0,0.0,False,461.1333333333334,1137.3499999999997,2022-11-04,49,70,True,2,-363.29999999999995,-824.0166666666668,-658.6833333333332
3m_2023-01-01,RR:0.50,RR:0.50,1,0,0.0,False,134.4,1421.6,2023-03-01,34,46,True,3,-447.34999999999997,-719.1,-1315.05
3m_2023-01-01,RR:1.00,RR:1.00,1,0,0.0,False,2221.4,709.3999999999999,2023-03-01,23,31,False,7,-379.85,-574.25,-657.2499999999999
3m_2023-01-01,RR:2.50,RR:2.50,1,0,0.0,False,2831.5,884.2499999999998,2023-03-01,21,29,False,12,-379.85,-590.0499999999997,-550.0999999999999
3m_2023-01-01,GG:1.25,GG:1.25,1,0,0.0,False,3616.95,928.5,2023-03-13,27,37,False,10,-537.8499999999999,-907.8499999999999,-813.25
3m_2023-01-01,rr_pair,RR:0.50;RR:2.50,2,0,0.0,False,1482.95,1059.9750000000001,2023-03-01,34,46,False,7,-413.6,-651.4499999999998,-929.5250000000002
3m_2023-01-01,cross_pair,RR:0.50;GG:1.25,2,0,0.0,False,1875.675,1064.15,2023-03-13,28,38,False,8,-463.6249999999999,-709.5,-1064.15
3m_2023-01-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,0,0.0,False,1729.1000000000001,943.1166666666666,2023-03-01,27,37,False,7,-402.35,-605.3499999999999,-838.7666666666667
3m_2023-01-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,0,0.0,False,1990.9166666666667,940.9166666666665,2023-03-01,26,36,False,7,-406.70000000000005,-664.4166666666666,-928.5166666666667
3m_2023-04-01,RR:0.50,RR:0.50,1,0,0.0,False,219.2,738.1,2023-05-16,55,77,True,2,-256.5,-415.54999999999995,-718.2
3m_2023-04-01,RR:1.00,RR:1.00,1,0,0.0,False,887.7,808.75,2023-05-12,20,28,True,5,-283.9,-528.5,-620.65
3m_2023-04-01,RR:2.50,RR:2.50,1,0,0.0,False,789.2,1010.5,2023-05-12,20,28,True,8,-281.79999999999995,-630.1,-756.5
3m_2023-04-01,GG:1.25,GG:1.25,1,0,0.0,False,2046.6,677.5,2023-05-04,20,28,False,10,-430.3,-508.95,-258.74999999999994
3m_2023-04-01,rr_pair,RR:0.50;RR:2.50,2,0,0.0,False,504.20000000000005,852.325,2023-05-12,20,28,True,6,-236.32500000000002,-486.225,-737.35
3m_2023-04-01,cross_pair,RR:0.50;GG:1.25,2,0,0.0,False,1132.8999999999999,567.5999999999999,2023-05-04,29,39,True,5,-230.39999999999986,-438.05,-459.15
3m_2023-04-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,0,0.0,False,632.0333333333333,837.8,2023-05-12,20,28,True,6,-240.8166666666667,-486.06666666666666,-698.45
3m_2023-04-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,0,0.0,False,1051.1666666666667,543.25,2023-05-12,20,28,True,6,-213.36666666666667,-453.95000000000005,-512.9833333333333
3m_2023-07-01,RR:0.50,RR:0.50,1,0,0.0,False,-222.25,1040.65,2023-09-29,27,37,True,4,-315.35,-626.8000000000001,-863.95
3m_2023-07-01,RR:1.00,RR:1.00,1,0,0.0,False,764.45,817.6500000000001,2023-08-16,28,38,True,5,-315.35,-499.6500000000001,-727.3
3m_2023-07-01,RR:2.50,RR:2.50,1,0,0.0,False,1519.1,1053.0499999999997,2023-09-27,14,18,True,8,-319.70000000000005,-774.2999999999997,-718.9499999999998
3m_2023-07-01,GG:1.25,GG:1.25,1,0,0.0,False,-393.15,2272.7,2023-08-22,53,73,True,2,-477.0,-1068.5,-1737.4
3m_2023-07-01,rr_pair,RR:0.50;RR:2.50,2,0,0.0,False,648.425,860.625,2023-09-28,19,26,True,5,-273.5749999999998,-700.5499999999998,-721.2250000000001
3m_2023-07-01,cross_pair,RR:0.50;GG:1.25,2,0,0.0,False,-307.7,1400.75,2023-08-18,53,73,True,1,-265.57500000000005,-511.375,-1217.45
3m_2023-07-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,0,0.0,False,687.1,737.8499999999999,2023-09-27,26,36,True,5,-287.5,-633.5833333333334,-549.65
3m_2023-07-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,0,0.0,False,49.68333333333336,1177.4,2023-08-18,53,73,True,1,-274.46666666666664,-507.4666666666667,-1054.0666666666666
3m_2023-10-01,RR:0.50,RR:0.50,1,1,1.0,True,-462.85,1415.4499999999998,2023-10-26,59,84,True,1,-548.5,-901.35,-1316.0
3m_2023-10-01,RR:1.00,RR:1.00,1,1,1.0,True,-303.35,1618.45,2023-10-31,56,79,True,2,-571.95,-1037.5500000000002,-1473.15
3m_2023-10-01,RR:2.50,RR:2.50,1,0,0.0,False,569.35,1475.65,2023-10-30,41,57,True,6,-571.95,-910.9000000000001,-1372.15
3m_2023-10-01,GG:1.25,GG:1.25,1,0,0.0,False,3320.0,1177.05,2023-10-20,17,23,True,9,-527.9,-909.75,-230.95
3m_2023-10-01,rr_pair,RR:0.50;RR:2.50,2,1,0.5,False,53.25,1392.2250000000001,2023-10-30,48,68,True,4,-560.2250000000001,-898.3000000000001,-1344.075
3m_2023-10-01,cross_pair,RR:0.50;GG:1.25,2,1,0.5,False,1428.575,1221.85,2023-10-26,40,56,True,6,-509.425,-741.5249999999999,-773.4749999999999
3m_2023-10-01,rr_triple,RR:0.50;RR:2.50;RR:1.00,3,2,0.6666666666666666,False,-65.61666666666667,1438.35,2023-10-30,53,76,True,3,-564.1333333333333,-944.7166666666667,-1387.1
3m_2023-10-01,cross_triple,RR:0.50;GG:1.25;RR:1.00,3,2,0.6666666666666666,False,851.2666666666667,1322.3666666666666,2023-10-30,43,61,True,6,-530.2666666666667,-838.8499999999999,-1006.6999999999999
3m_2024-01-01,RR:0.50,RR:0.50,1,0,0.0,False,1735.25,574.6000000000001,2024-02-28,17,25,True,10,-268.85,-483.4000000000001,-131.95000000000005
3m_2024-01-01,RR:1.00,RR:1.00,1,0,0.0,False,2521.2,495.0,2024-02-28,19,27,True,11,-332.35000000000014,-250.1500000000001,-88.09999999999991
3m_2024-01-01,RR:2.50,RR:2.50,1,0,0.0,False,1693.55,977.25,2024-03-15,19,27,True,5,-306.35,-580.0,-581.0
3m_2024-01-01,GG:1.25,GG:1.25,1,0,0.0,False,553.0,1051.8,2024-01-05,29,41,False,4,-560.9000000000001,-893.3499999999999,-749.55
