product,initial_cash,monthly_funding,acquisition,spares,passes,withdrawal,cadence,headroom,reserve,fee,accounts,alive,spares_unused,supply_limited,ongoing,terminal,total,contributions,ending_owner_cash,objective,tested_count,tied_best,boundary_best
legacy_25k,5000,0,monthly_current_slot_replacements,5,3,minimum,calendar_month,0,25100.0,200.0,129,20,0,697,377550.0,158934.35,536484.35,5000.0,541484.35,total,82,7,True
legacy_25k,5000,0,monthly_current_slot_replacements,5,5,minimum,daily,2400,27500.0,200.0,162,10,0,417,556600.0,0,556600.0,5000.0,561600.0,ongoing,94,1,False
legacy_25k,5000,0,monthly_current_slot_replacements,5,5,minimum,calendar_month,2100,27200.0,200.0,95,20,0,141,449000.0,175386.3,624386.3,5000.0,629386.3,total,94,1,False
legacy_25k,5000,0,monthly_current_slot_replacements,5,10,minimum,weekly,0,25100.0,200.0,234,20,0,266,609200.0,0,609200.0,5000.0,614200.0,ongoing,82,7,True
legacy_25k,5000,0,monthly_current_slot_replacements,5,10,minimum,calendar_month,1900,27000.0,200.0,82,20,0,9,479100.0,167328.91,646428.91,5000.0,651428.91,total,82,1,False
legacy_25k,5000,0,monthly_current_slot_replacements,10,1,minimum,daily,4100,29200.0,200.0,66,2,0,1207,391100.0,0,391100.0,5000.0,396100.0,ongoing,90,1,False
legacy_25k,5000,0,monthly_current_slot_replacements,10,1,minimum,daily,8200,33300.0,200.0,58,20,0,1044,335750.0,128961.75,464711.75,5000.0,469711.75,total,90,2,False
legacy_25k,5000,0,monthly_current_slot_replacements,10,2,minimum,daily,3600,28700.0,200.0,90,4,0,976,433700.0,0,433700.0,5000.0,438700.0,ongoing,82,1,False
legacy_25k,5000,0,monthly_current_slot_replacements,10,2,minimum,calendar_month,3300,28400.0,200.0,75,20,0,811,314500.0,196204.43,510704.43,5000.0,515704.43,total,82,2,False
legacy_25k,5000,0,monthly_current_slot_replacements,10,3,minimum,daily,3700,28800.0,200.0,93,6,0,683,471700.0,0,471700.0,5000.0,476700.0,ongoing,94,1,False
legacy_25k,5000,0,monthly_current_slot_replacements,10,3,minimum,calendar_month,3300,28400.0,200.0,69,20,0,484,356200.0,200584.78,556784.78,5000.0,561784.78,total,94,2,False
legacy_25k,5000,0,monthly_current_slot_replacements,10,5,minimum,daily,2400,27500.0,200.0,162,10,0,417,556600.0,0,556600.0,5000.0,561600.0,ongoing,94,1,False
legacy_25k,5000,0,monthly_current_slot_replacements,10,5,minimum,calendar_month,2100,27200.0,200.0,95,20,0,141,449000.0,175386.3,624386.3,5000.0,629386.3,total,94,1,False
legacy_25k,5000,0,monthly_current_slot_replacements,10,10,minimum,weekly,0,25100.0,200.0,234,20,0,266,609200.0,0,609200.0,5000.0,614200.0,ongoing,82,7,True
legacy_25k,5000,0,monthly_current_slot_replacements,10,10,minimum,calendar_month,1900,27000.0,200.0,82,20,0,9,479100.0,167328.91,646428.91,5000.0,651428.91,total,82,1,False
legacy_25k,5000,0,monthly_one,0,1,minimum,daily,4100,29200.0,200.0,69,2,0,0,387000.0,0,387000.0,5000.0,392000.0,ongoing,90,1,False
