product,initial_cash,monthly_funding,acquisition,spares,passes,withdrawal,cadence,headroom,reserve,fee,accounts,alive,spares_unused,supply_limited,ongoing,terminal,total,contributions,ending_owner_cash
legacy_25k,1000,0,monthly_current_slot_replacements,5,1,maximum,calendar_month,500,25600.0,200.0,16,0,0,2188,-938.85,0,-938.85,1000.0,61.15
legacy_25k,1000,0,monthly_current_slot_replacements,5,2,maximum,calendar_month,500,25600.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,3,maximum,calendar_month,500,25600.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,5,maximum,calendar_month,500,25600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,10,maximum,calendar_month,500,25600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,1,maximum,calendar_month,500,25600.0,200.0,16,0,0,2188,-938.85,0,-938.85,1000.0,61.15
legacy_25k,1000,0,monthly_current_slot_replacements,10,2,maximum,calendar_month,500,25600.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,3,maximum,calendar_month,500,25600.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,5,maximum,calendar_month,500,25600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,10,maximum,calendar_month,500,25600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,1,maximum,calendar_month,1000,26100.0,200.0,16,0,0,2188,-938.85,0,-938.85,1000.0,61.15
legacy_25k,1000,0,monthly_current_slot_replacements,0,2,maximum,calendar_month,1000,26100.0,200.0,11,0,0,2158,-876.95,0,-876.95,1000.0,123.05
legacy_25k,1000,0,monthly_current_slot_replacements,0,3,maximum,calendar_month,1000,26100.0,200.0,5,0,0,94,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,5,maximum,calendar_month,1000,26100.0,200.0,5,0,0,13,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,10,maximum,calendar_month,1000,26100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,1,maximum,calendar_month,1000,26100.0,200.0,16,0,0,2188,-938.85,0,-938.85,1000.0,61.15
legacy_25k,1000,0,monthly_current_slot_replacements,5,2,maximum,calendar_month,1000,26100.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,3,maximum,calendar_month,1000,26100.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,5,maximum,calendar_month,1000,26100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,10,maximum,calendar_month,1000,26100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,1,maximum,calendar_month,1000,26100.0,200.0,16,0,0,2188,-938.85,0,-938.85,1000.0,61.15
legacy_25k,1000,0,monthly_current_slot_replacements,10,2,maximum,calendar_month,1000,26100.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,3,maximum,calendar_month,1000,26100.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,5,maximum,calendar_month,1000,26100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,10,maximum,calendar_month,1000,26100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,1,maximum,calendar_month,1500,26600.0,200.0,16,0,0,2187,-940.3,0,-940.3,1000.0,59.7
legacy_25k,1000,0,monthly_current_slot_replacements,0,2,maximum,calendar_month,1500,26600.0,200.0,12,0,0,2143,-930.35,0,-930.35,1000.0,69.65
legacy_25k,1000,0,monthly_current_slot_replacements,0,3,maximum,calendar_month,1500,26600.0,200.0,5,0,0,94,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,5,maximum,calendar_month,1500,26600.0,200.0,5,0,0,13,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,10,maximum,calendar_month,1500,26600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,1,maximum,calendar_month,1500,26600.0,200.0,16,0,0,2187,-940.3,0,-940.3,1000.0,59.7
legacy_25k,1000,0,monthly_current_slot_replacements,5,2,maximum,calendar_month,1500,26600.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,3,maximum,calendar_month,1500,26600.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,5,maximum,calendar_month,1500,26600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,10,maximum,calendar_month,1500,26600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,1,maximum,calendar_month,1500,26600.0,200.0,16,0,0,2187,-940.3,0,-940.3,1000.0,59.7
legacy_25k,1000,0,monthly_current_slot_replacements,10,2,maximum,calendar_month,1500,26600.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,3,maximum,calendar_month,1500,26600.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,5,maximum,calendar_month,1500,26600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,10,maximum,calendar_month,1500,26600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,1,maximum,calendar_month,2000,27100.0,200.0,11,0,0,2098,-878.4,0,-878.4,1000.0,121.6
legacy_25k,1000,0,monthly_current_slot_replacements,0,2,maximum,calendar_month,2000,27100.0,200.0,11,0,0,2025,-878.4,0,-878.4,1000.0,121.6
legacy_25k,1000,0,monthly_current_slot_replacements,0,3,maximum,calendar_month,2000,27100.0,200.0,5,0,0,94,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,5,maximum,calendar_month,2000,27100.0,200.0,5,0,0,13,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,10,maximum,calendar_month,2000,27100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,1,maximum,calendar_month,2000,27100.0,200.0,11,0,0,2098,-878.4,0,-878.4,1000.0,121.6
legacy_25k,1000,0,monthly_current_slot_replacements,5,2,maximum,calendar_month,2000,27100.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,3,maximum,calendar_month,2000,27100.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,5,maximum,calendar_month,2000,27100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,10,maximum,calendar_month,2000,27100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,1,maximum,calendar_month,2000,27100.0,200.0,11,0,0,2098,-878.4,0,-878.4,1000.0,121.6
legacy_25k,1000,0,monthly_current_slot_replacements,10,2,maximum,calendar_month,2000,27100.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,3,maximum,calendar_month,2000,27100.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,5,maximum,calendar_month,2000,27100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,10,maximum,calendar_month,2000,27100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,1,maximum,calendar_month,3000,28100.0,200.0,63,2,0,1462,165585.9,0,165585.9,1000.0,166585.9
legacy_25k,1000,0,monthly_current_slot_replacements,0,2,maximum,calendar_month,3000,28100.0,200.0,94,4,0,881,298027.85,0,298027.85,1000.0,299027.85
legacy_25k,1000,0,monthly_current_slot_replacements,0,3,maximum,calendar_month,3000,28100.0,200.0,5,0,0,94,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,5,maximum,calendar_month,3000,28100.0,200.0,5,0,0,13,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,10,maximum,calendar_month,3000,28100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,1,maximum,calendar_month,3000,28100.0,200.0,63,2,0,1462,165585.9,0,165585.9,1000.0,166585.9
legacy_25k,1000,0,monthly_current_slot_replacements,5,2,maximum,calendar_month,3000,28100.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,3,maximum,calendar_month,3000,28100.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,5,maximum,calendar_month,3000,28100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,10,maximum,calendar_month,3000,28100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,1,maximum,calendar_month,3000,28100.0,200.0,63,2,0,1462,165585.9,0,165585.9,1000.0,166585.9
legacy_25k,1000,0,monthly_current_slot_replacements,10,2,maximum,calendar_month,3000,28100.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,3,maximum,calendar_month,3000,28100.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,5,maximum,calendar_month,3000,28100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,10,maximum,calendar_month,3000,28100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,1,maximum,calendar_month,4000,29100.0,200.0,59,2,0,1359,211190.67,0,211190.67,1000.0,212190.67
legacy_25k,1000,0,monthly_current_slot_replacements,0,2,maximum,calendar_month,4000,29100.0,200.0,69,6,0,492,351298.34,0,351298.34,1000.0,352298.34
legacy_25k,1000,0,monthly_current_slot_replacements,0,3,maximum,calendar_month,4000,29100.0,200.0,5,0,0,94,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,5,maximum,calendar_month,4000,29100.0,200.0,5,0,0,13,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,10,maximum,calendar_month,4000,29100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,1,maximum,calendar_month,4000,29100.0,200.0,59,2,0,1359,211190.67,0,211190.67,1000.0,212190.67
legacy_25k,1000,0,monthly_current_slot_replacements,5,2,maximum,calendar_month,4000,29100.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,3,maximum,calendar_month,4000,29100.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,5,maximum,calendar_month,4000,29100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,10,maximum,calendar_month,4000,29100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,1,maximum,calendar_month,4000,29100.0,200.0,59,2,0,1359,211190.67,0,211190.67,1000.0,212190.67
legacy_25k,1000,0,monthly_current_slot_replacements,10,2,maximum,calendar_month,4000,29100.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,3,maximum,calendar_month,4000,29100.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,5,maximum,calendar_month,4000,29100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,10,maximum,calendar_month,4000,29100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,1,maximum,calendar_month,5000,30100.0,200.0,58,3,0,1274,230049.77,1500.0,231549.77,1000.0,232549.77
legacy_25k,1000,0,monthly_current_slot_replacements,0,2,maximum,calendar_month,5000,30100.0,200.0,64,4,0,460,345035.44,0,345035.44,1000.0,346035.44
legacy_25k,1000,0,monthly_current_slot_replacements,0,3,maximum,calendar_month,5000,30100.0,200.0,5,0,0,94,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,5,maximum,calendar_month,5000,30100.0,200.0,5,0,0,13,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,10,maximum,calendar_month,5000,30100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,1,maximum,calendar_month,5000,30100.0,200.0,58,3,0,1274,230049.77,1500.0,231549.77,1000.0,232549.77
legacy_25k,1000,0,monthly_current_slot_replacements,5,2,maximum,calendar_month,5000,30100.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,3,maximum,calendar_month,5000,30100.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,5,maximum,calendar_month,5000,30100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,10,maximum,calendar_month,5000,30100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,1,maximum,calendar_month,5000,30100.0,200.0,58,3,0,1274,230049.77,1500.0,231549.77,1000.0,232549.77
legacy_25k,1000,0,monthly_current_slot_replacements,10,2,maximum,calendar_month,5000,30100.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,3,maximum,calendar_month,5000,30100.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,5,maximum,calendar_month,5000,30100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,10,maximum,calendar_month,5000,30100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,1,maximum,calendar_month,6500,31600.0,200.0,58,17,0,1274,220781.69,77479.78,298261.47,1000.0,299261.47
legacy_25k,1000,0,monthly_current_slot_replacements,0,2,maximum,calendar_month,6500,31600.0,200.0,56,20,0,437,287262.99,104601.86,391864.85,1000.0,392864.85
legacy_25k,1000,0,monthly_current_slot_replacements,0,3,maximum,calendar_month,6500,31600.0,200.0,5,0,0,94,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,5,maximum,calendar_month,6500,31600.0,200.0,5,0,0,13,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,10,maximum,calendar_month,6500,31600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,1,maximum,calendar_month,6500,31600.0,200.0,58,17,0,1274,220781.69,77479.78,298261.47,1000.0,299261.47
legacy_25k,1000,0,monthly_current_slot_replacements,5,2,maximum,calendar_month,6500,31600.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,3,maximum,calendar_month,6500,31600.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,5,maximum,calendar_month,6500,31600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,10,maximum,calendar_month,6500,31600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,1,maximum,calendar_month,6500,31600.0,200.0,58,17,0,1274,220781.69,77479.78,298261.47,1000.0,299261.47
legacy_25k,1000,0,monthly_current_slot_replacements,10,2,maximum,calendar_month,6500,31600.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,3,maximum,calendar_month,6500,31600.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,5,maximum,calendar_month,6500,31600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,10,maximum,calendar_month,6500,31600.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,1,maximum,calendar_month,8000,33100.0,200.0,55,16,0,1284,181458.94,74726.82,256185.76,1000.0,257185.76
legacy_25k,1000,0,monthly_current_slot_replacements,0,2,maximum,calendar_month,8000,33100.0,200.0,50,20,0,262,239934.34,103893.6,343827.94,1000.0,344827.94
legacy_25k,1000,0,monthly_current_slot_replacements,0,3,maximum,calendar_month,8000,33100.0,200.0,5,0,0,94,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,5,maximum,calendar_month,8000,33100.0,200.0,5,0,0,13,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,10,maximum,calendar_month,8000,33100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,1,maximum,calendar_month,8000,33100.0,200.0,55,16,0,1284,181458.94,74726.82,256185.76,1000.0,257185.76
legacy_25k,1000,0,monthly_current_slot_replacements,5,2,maximum,calendar_month,8000,33100.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,3,maximum,calendar_month,8000,33100.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,5,maximum,calendar_month,8000,33100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,10,maximum,calendar_month,8000,33100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,1,maximum,calendar_month,8000,33100.0,200.0,55,16,0,1284,181458.94,74726.82,256185.76,1000.0,257185.76
legacy_25k,1000,0,monthly_current_slot_replacements,10,2,maximum,calendar_month,8000,33100.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,3,maximum,calendar_month,8000,33100.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,5,maximum,calendar_month,8000,33100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,10,10,maximum,calendar_month,8000,33100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,1,maximum,calendar_month,10000,35100.0,200.0,45,12,0,1439,83798.04,59251.87,143049.91,1000.0,144049.91
legacy_25k,1000,0,monthly_current_slot_replacements,0,2,maximum,calendar_month,10000,35100.0,200.0,71,20,0,518,137362.59,105880.57,243243.16,1000.0,244243.16
legacy_25k,1000,0,monthly_current_slot_replacements,0,3,maximum,calendar_month,10000,35100.0,200.0,5,0,0,94,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,5,maximum,calendar_month,10000,35100.0,200.0,5,0,0,13,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,0,10,maximum,calendar_month,10000,35100.0,200.0,5,0,0,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,1,maximum,calendar_month,10000,35100.0,200.0,45,12,0,1439,83798.04,59251.87,143049.91,1000.0,144049.91
legacy_25k,1000,0,monthly_current_slot_replacements,5,2,maximum,calendar_month,10000,35100.0,200.0,5,0,0,2308,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,5,3,maximum,calendar_month,10000,35100.0,200.0,5,0,0,76,-1000.0,0,-1000.0,1000.0,0.0
