account_id,activated_at,died_at,trade,death_equity,reason
1,2020-03-03 00:00:00,2021-03-04 23:30:00,RR1.00:21-22:111:386,-101.5,intratrade_excursion
2,2020-03-03 00:00:00,2021-03-04 23:30:00,RR1.00:21-22:111:386,-101.5,intratrade_excursion
3,2020-03-03 00:00:00,2021-03-04 23:30:00,RR1.00:21-22:111:386,-101.5,intratrade_excursion
4,2020-04-01 00:00:00,2021-06-15 23:30:00,RR1.00:22-23:115:446,99.25,intratrade_excursion
5,2020-05-09 00:00:00,2021-03-08 15:30:00,RR1.00:13-14:111:411,36.55,intratrade_excursion
6,2020-06-01 00:00:00,2021-03-04 23:30:00,RR1.00:21-22:111:386,-49.6,intratrade_excursion
7,2020-08-13 00:00:00,2021-03-04 23:30:00,RR1.00:21-22:111:386,-627.0,intratrade_excursion
8,2020-08-13 00:00:00,2021-03-04 23:30:00,RR1.00:21-22:111:386,-627.0,intratrade_excursion
9,2020-09-01 00:00:00,2021-03-04 23:30:00,RR1.00:21-22:111:386,-677.1,intratrade_excursion
10,2020-10-01 00:00:00,2021-03-04 23:30:00,RR1.00:21-22:111:386,-828.05,intratrade_excursion
11,2020-11-05 00:00:00,2021-03-04 23:30:00,RR1.00:21-22:111:386,-1715.4,intratrade_excursion
12,2020-12-01 00:00:00,2021-03-04 23:30:00,RR1.00:21-22:111:386,-1689.05,intratrade_excursion
13,2021-01-01 00:00:00,2021-03-04 23:30:00,RR1.00:21-22:111:386,-1673.2,intratrade_excursion
14,2021-02-01 00:00:00,2021-06-07 16:40:40,RR1.00:16-17:211:572,-1919.55,intratrade_excursion
15,2021-03-01 00:00:00,2021-06-10 15:30:40,RR1.00:15-16:152:510,-1479.55,intratrade_excursion
16,2021-03-11 00:00:00,2021-06-10 15:30:40,RR1.00:15-16:152:510,-1215.1,intratrade_excursion
17,2021-03-17 00:00:00,2021-06-10 15:30:40,RR1.00:15-16:152:510,-1718.6,intratrade_excursion
18,2021-03-17 00:00:00,2021-06-10 15:30:40,RR1.00:15-16:152:510,-1718.6,intratrade_excursion
19,2021-03-17 00:00:00,2021-06-10 15:30:40,RR1.00:15-16:152:510,-1718.6,intratrade_excursion
20,2021-03-18 00:00:00,2021-06-10 15:30:40,RR1.00:15-16:152:510,-1772.95,intratrade_excursion
21,2021-03-19 00:00:00,2021-06-10 15:30:40,RR1.00:15-16:152:510,-1637.75,intratrade_excursion
22,2021-03-19 00:00:00,2021-06-10 15:30:40,RR1.00:15-16:152:510,-1637.75,intratrade_excursion
23,2021-07-07 00:00:00,2022-07-01 22:00:00,RR1.00:20-21:209:770,77.05,intratrade_excursion
24,2021-07-08 00:00:00,2022-07-01 11:06:40,RR1.00:10-11:214:825,65.9,intratrade_excursion
25,2021-07-08 00:00:00,2022-07-01 11:06:40,RR1.00:10-11:214:825,65.9,intratrade_excursion
26,2021-07-08 00:00:00,2022-07-01 11:06:40,RR1.00:10-11:214:825,65.9,intratrade_excursion
27,2021-07-08 00:00:00,2022-07-01 11:06:40,RR1.00:10-11:214:825,65.9,intratrade_excursion
28,2021-07-10 00:00:00,2022-06-30 14:40:40,RR1.00:13-14:225:860,63.75,intratrade_excursion
29,2021-07-10 00:00:00,2022-06-30 14:40:40,RR1.00:13-14:225:860,63.75,intratrade_excursion
30,2021-07-10 00:00:00,2022-06-30 14:40:40,RR1.00:13-14:225:860,63.75,intratrade_excursion
31,2021-07-13 00:00:00,2022-06-30 12:11:40,RR1.00:10-11:213:823,35.0,intratrade_excursion
32,2021-07-13 00:00:00,2022-06-30 12:11:40,RR1.00:10-11:213:823,35.0,intratrade_excursion
33,2021-07-13 00:00:00,2022-06-30 12:11:40,RR1.00:10-11:213:823,35.0,intratrade_excursion
34,2021-07-13 00:00:00,2022-06-30 12:11:40,RR1.00:10-11:213:823,35.0,intratrade_excursion
35,2021-07-13 00:00:00,2022-06-30 12:11:40,RR1.00:10-11:213:823,35.0,intratrade_excursion
36,2021-07-13 00:00:00,2022-06-30 12:11:40,RR1.00:10-11:213:823,35.0,intratrade_excursion
37,2021-07-13 00:00:00,2022-06-30 12:11:40,RR1.00:10-11:213:823,35.0,intratrade_excursion
38,2021-07-13 00:00:00,2022-06-30 12:11:40,RR1.00:10-11:213:823,35.0,intratrade_excursion
39,2021-09-10 00:00:00,2022-06-16 21:48:40,RR1.00:21-22:220:781,58.5,intratrade_excursion
40,2022-02-08 00:00:00,2022-05-11 22:15:40,RR1.00:21-22:209:746,-25.2,intratrade_excursion
41,2022-04-13 00:00:00,2022-05-11 20:05:40,RR1.00:16-17:341:936,-1664.0,intratrade_excursion
60,2024-12-17 00:00:00,2025-03-11 19:21:40,RR1.00:17-18:315:1586,95.5,intratrade_excursion
61,2024-12-17 00:00:00,2025-03-11 19:21:40,RR1.00:17-18:315:1586,95.5,intratrade_excursion
62,2025-03-15 00:00:00,2025-04-04 21:36:40,RR1.00:20-21:415:1581,-1448.05,intratrade_excursion
63,2025-03-15 00:00:00,2025-04-04 21:36:40,RR1.00:20-21:415:1581,-1448.05,intratrade_excursion
64,2025-06-12 00:00:00,2026-03-13 22:40:40,RR1.00:21-22:536:1988,91.1,intratrade_excursion
65,2025-08-09 00:00:00,2026-03-05 13:58:40,RR1.00:13-14:568:2098,46.6,intratrade_excursion
