arm,strategy,risk_reward,survived_targets,survived_cases,worst_target_headroom_usd,failed_quarters_of_26,common_failures_remaining,failed_cases
RR:2.35,RR,2.35,0,,-2594.25,,,
RR:2.36,RR,2.36,0,,-2668.20,,,
RR:2.37,RR,2.37,0,,-2661.70,,,
RR:2.38,RR,2.38,0,,-2551.60,,,
RR:2.39,RR,2.39,0,,-2403.05,,,
RR:2.40,RR,2.40,0,,-2432.55,,,
RR:2.41,RR,2.41,0,,-2580.55,,,
RR:2.42,RR,2.42,0,,-2509.55,,,
RR:2.43,RR,2.43,0,,-2509.55,,,
RR:2.44,RR,2.44,0,,-2535.55,,,
RR:2.45,RR,2.45,0,,-2486.50,,,
RR:2.46,RR,2.46,0,,-2524.00,,,
RR:2.47,RR,2.47,0,,-2401.45,,,
RR:2.48,RR,2.48,0,,-2389.95,,,
RR:2.49,RR,2.49,0,,-2369.95,,,
RR:2.50,RR,2.50,0,,-2369.95,6,3,3m_2020-01-01;3m_2022-01-01;3m_2022-04-01;3m_2024-07-01;3m_2025-04-01;3m_2026-01-01
RR:2.51,RR,2.51,0,,-2314.95,,,
RR:2.52,RR,2.52,0,,-2442.40,,,
RR:2.53,RR,2.53,0,,-2442.40,,,
RR:2.54,RR,2.54,0,,-2442.40,,,
RR:2.55,RR,2.55,0,,-2328.35,,,
RR:2.56,RR,2.56,0,,-2328.35,,,
RR:2.57,RR,2.57,0,,-2418.30,,,
RR:2.58,RR,2.58,0,,-2373.80,,,
RR:2.59,RR,2.59,0,,-2373.80,,,
RR:2.60,RR,2.60,0,,-2296.80,,,
RR:2.61,RR,2.61,0,,-2296.80,,,
RR:2.62,RR,2.62,0,,-2221.30,,,
RR:2.63,RR,2.63,0,,-2214.80,,,
RR:2.64,RR,2.64,0,,-2179.80,,,
RR:2.65,RR,2.65,0,,-2135.80,,,
RR:2.66,RR,2.66,0,,-2293.30,,,
RR:2.67,RR,2.67,0,,-2256.80,,,
RR:2.68,RR,2.68,0,,-2389.70,,,
RR:2.69,RR,2.69,0,,-2490.20,,,
RR:2.70,RR,2.70,0,,-2490.20,,,
RR:2.71,RR,2.71,0,,-2490.20,,,
RR:2.72,RR,2.72,0,,-2490.20,,,
RR:2.73,RR,2.73,0,,-2490.20,,,
RR:2.74,RR,2.74,0,,-2469.20,,,
RR:2.75,RR,2.75,0,,-2681.15,,,
RR:2.76,RR,2.76,0,,-2640.65,,,
RR:2.77,RR,2.77,0,,-2598.60,,,
RR:2.78,RR,2.78,0,,-2598.60,,,
RR:2.79,RR,2.79,0,,-2589.10,,,
RR:2.80,RR,2.80,0,,-2589.10,,,
RR:2.81,RR,2.81,0,,-2577.60,,,
RR:2.82,RR,2.82,0,,-2568.10,,,
RR:2.83,RR,2.83,0,,-2492.60,,,
RR:2.84,RR,2.84,0,,-2472.10,,,
RR:2.85,RR,2.85,0,,-2396.60,,,
RR:2.86,RR,2.86,0,,-2396.60,,,
RR:2.87,RR,2.87,0,,-2396.60,,,
RR:2.88,RR,2.88,0,,-2392.60,,,
RR:2.89,RR,2.89,0,,-2392.60,,,
RR:2.90,RR,2.90,0,,-2392.60,,,
RR:2.91,RR,2.91,0,,-2344.95,,,
RR:2.92,RR,2.92,0,,-2344.95,,,
RR:2.93,RR,2.93,0,,-2344.95,,,
RR:2.94,RR,2.94,0,,-2485.40,,,
RR:2.95,RR,2.95,0,,-2485.40,,,
RR:2.96,RR,2.96,0,,-2485.40,,,
RR:2.97,RR,2.97,0,,-2485.40,,,
RR:2.98,RR,2.98,0,,-2485.40,,,
RR:2.99,RR,2.99,0,,-2485.40,,,
RR:3.00,RR,3.00,0,,-2489.85,,,
RR:3.01,RR,3.01,0,,-2337.55,,,
RR:3.02,RR,3.02,0,,-2337.55,,,
