arm,strategy,risk_reward,survived_targets,survived_cases,worst_target_headroom_usd,failed_quarters_of_26,common_failures_remaining,failed_cases
GG:1.30,GG,1.30,0,,-3429.15,,,
GG:1.31,GG,1.31,0,,-3217.15,,,
GG:1.32,GG,1.32,0,,-3137.65,,,
GG:1.33,GG,1.33,0,,-3175.15,,,
GG:1.34,GG,1.34,0,,-3159.55,,,
GG:1.35,GG,1.35,0,,-3159.55,,,
GG:1.36,GG,1.36,0,,-3173.95,,,
GG:1.37,GG,1.37,0,,-3097.45,,,
GG:1.38,GG,1.38,0,,-3140.55,,,
GG:1.39,GG,1.39,0,,-3140.55,,,
GG:1.40,GG,1.40,0,,-3140.55,,,
GG:1.41,GG,1.41,0,,-3114.45,,,
GG:1.42,GG,1.42,0,,-3114.45,,,
GG:1.43,GG,1.43,0,,-2915.50,,,
GG:1.44,GG,1.44,0,,-3029.95,,,
GG:1.45,GG,1.45,0,,-2951.95,,,
GG:1.46,GG,1.46,0,,-2950.45,,,
GG:1.47,GG,1.47,0,,-2950.45,,,
GG:1.48,GG,1.48,0,,-2939.95,,,
GG:1.49,GG,1.49,0,,-2939.95,,,
GG:1.50,GG,1.50,0,,-2939.95,,,
GG:1.51,GG,1.51,0,,-3135.90,,,
GG:1.52,GG,1.52,0,,-3135.90,,,
GG:1.53,GG,1.53,0,,-3113.40,,,
GG:1.54,GG,1.54,0,,-3111.85,,,
GG:1.55,GG,1.55,0,,-3344.25,,,
GG:1.56,GG,1.56,0,,-3539.20,,,
GG:1.57,GG,1.57,0,,-3421.10,,,
GG:1.58,GG,1.58,0,,-3421.10,,,
GG:1.59,GG,1.59,0,,-3421.10,,,
GG:1.60,GG,1.60,0,,-3421.10,,,
GG:1.61,GG,1.61,0,,-3421.10,,,
GG:1.62,GG,1.62,0,,-3421.60,,,
GG:1.63,GG,1.63,0,,-3421.60,,,
GG:1.64,GG,1.64,0,,-3565.00,,,
GG:1.65,GG,1.65,0,,-3617.35,,,
GG:1.66,GG,1.66,0,,-3572.35,,,
GG:1.67,GG,1.67,0,,-3719.80,,,
GG:1.68,GG,1.68,0,,-3543.30,,,
GG:1.69,GG,1.69,0,,-3783.65,,,
GG:1.70,GG,1.70,0,,-3871.15,,,
GG:1.71,GG,1.71,0,,-3883.00,,,
GG:1.72,GG,1.72,0,,-3834.45,,,
GG:1.73,GG,1.73,0,,-3539.30,,,
GG:1.74,GG,1.74,0,,-3415.25,,,
GG:1.75,GG,1.75,0,,-3415.25,,,
GG:1.76,GG,1.76,0,,-2927.15,,,
GG:1.77,GG,1.77,0,,-2777.05,,,
GG:1.78,GG,1.78,0,,-2727.05,,,
GG:1.79,GG,1.79,0,,-2699.05,,,
GG:1.80,GG,1.80,0,,-2683.95,,,
GG:1.81,GG,1.81,0,,-2683.95,,,
GG:1.82,GG,1.82,0,,-2683.95,,,
GG:1.83,GG,1.83,0,,-2689.90,,,
GG:1.84,GG,1.84,0,,-2689.90,,,
GG:1.85,GG,1.85,0,,-2982.90,,,
GG:1.86,GG,1.86,0,,-3409.35,,,
GG:1.87,GG,1.87,0,,-3409.35,,,
GG:1.88,GG,1.88,0,,-3532.45,,,
GG:1.89,GG,1.89,0,,-3515.40,,,
GG:1.90,GG,1.90,0,,-3515.40,,,
GG:1.91,GG,1.91,0,,-3771.70,,,
GG:1.92,GG,1.92,0,,-3771.70,,,
GG:1.93,GG,1.93,0,,-3827.20,,,
GG:1.94,GG,1.94,0,,-3682.20,,,
GG:1.95,GG,1.95,0,,-3682.20,,,
GG:1.96,GG,1.96,0,,-3619.25,,,
GG:1.97,GG,1.97,0,,-3603.75,,,
GG:1.98,GG,1.98,0,,-3603.75,,,
GG:1.99,GG,1.99,0,,-3603.75,,,
GG:2.00,GG,2.00,0,,-3603.75,,,
GG:2.01,GG,2.01,0,,-3546.75,,,
GG:2.02,GG,2.02,0,,-3546.75,,,
GG:2.03,GG,2.03,0,,-3546.75,,,
GG:2.04,GG,2.04,0,,-3255.20,,,
GG:2.05,GG,2.05,0,,-3297.55,,,
GG:2.06,GG,2.06,0,,-3297.55,,,
GG:2.07,GG,2.07,0,,-3202.05,,,
GG:2.08,GG,2.08,0,,-2771.55,,,
GG:2.09,GG,2.09,0,,-2765.05,,,
GG:2.10,GG,2.10,0,,-2765.05,,,
GG:2.11,GG,2.11,0,,-2597.05,,,
GG:2.12,GG,2.12,0,,-2652.60,,,
GG:2.13,GG,2.13,0,,-3020.60,,,
GG:2.14,GG,2.14,0,,-2953.60,,,
GG:2.15,GG,2.15,0,,-2953.60,,,
GG:2.16,GG,2.16,0,,-2953.60,,,
GG:2.17,GG,2.17,0,,-2953.60,,,
GG:2.18,GG,2.18,0,,-2744.85,,,
GG:2.19,GG,2.19,0,,-2736.35,,,
GG:2.20,GG,2.20,0,,-2732.85,,,
GG:2.21,GG,2.21,0,,-2708.80,,,
GG:2.22,GG,2.22,0,,-2717.75,,,
GG:2.23,GG,2.23,0,,-2702.25,,,
GG:2.24,GG,2.24,0,,-2702.25,,,
GG:2.25,GG,2.25,0,,-2702.25,,,
GG:2.26,GG,2.26,0,,-2702.25,,,
GG:2.27,GG,2.27,0,,-2769.70,,,
GG:2.28,GG,2.28,0,,-2763.20,,,
GG:2.29,GG,2.29,0,,-2763.20,,,
GG:2.30,GG,2.30,0,,-2763.20,,,
GG:2.31,GG,2.31,0,,-2763.20,,,
GG:2.32,GG,2.32,0,,-2827.10,,,
GG:2.33,GG,2.33,0,,-2827.10,,,
GG:2.34,GG,2.34,0,,-2827.10,,,
GG:2.35,GG,2.35,0,,-2827.10,,,
GG:2.36,GG,2.36,0,,-2927.60,,,
GG:2.37,GG,2.37,0,,-2927.60,,,
GG:2.38,GG,2.38,0,,-2927.60,,,
GG:2.39,GG,2.39,0,,-2927.60,,,
GG:2.40,GG,2.40,0,,-2927.60,,,
GG:2.41,GG,2.41,0,,-2927.60,,,
GG:2.42,GG,2.42,0,,-2927.60,,,
GG:2.43,GG,2.43,0,,-2927.60,,,
GG:2.44,GG,2.44,0,,-3087.10,,,
GG:2.45,GG,2.45,0,,-3087.10,,,
GG:2.46,GG,2.46,0,,-3087.10,,,
GG:2.47,GG,2.47,0,,-3087.10,,,
GG:2.48,GG,2.48,0,,-3087.10,,,
GG:2.49,GG,2.49,0,,-3087.10,,,
GG:2.50,GG,2.50,0,,-3087.10,,,
GG:2.51,GG,2.51,0,,-3087.10,,,
GG:2.52,GG,2.52,0,,-3087.10,,,
GG:2.53,GG,2.53,0,,-3087.10,,,
GG:2.54,GG,2.54,0,,-3087.10,,,
GG:2.55,GG,2.55,0,,-3441.25,,,
GG:2.56,GG,2.56,0,,-3468.00,,,
GG:2.57,GG,2.57,0,,-3416.55,,,
GG:2.58,GG,2.58,0,,-3341.05,,,
GG:2.59,GG,2.59,0,,-3296.55,,,
GG:2.60,GG,2.60,0,,-3202.50,,,
GG:2.61,GG,2.61,0,,-3202.50,,,
GG:2.62,GG,2.62,0,,-3164.00,,,
GG:2.63,GG,2.63,0,,-3237.45,,,
GG:2.64,GG,2.64,0,,-3164.00,,,
GG:2.65,GG,2.65,0,,-3164.00,,,
GG:2.66,GG,2.66,0,,-3164.00,,,
GG:2.67,GG,2.67,0,,-3164.00,,,
GG:2.68,GG,2.68,0,,-3101.50,,,
GG:2.69,GG,2.69,0,,-3059.05,,,
GG:2.70,GG,2.70,0,,-3059.05,,,
GG:2.71,GG,2.71,0,,-3059.05,,,
GG:2.72,GG,2.72,0,,-3059.05,,,
GG:2.73,GG,2.73,0,,-3059.05,,,
GG:2.74,GG,2.74,0,,-3059.05,,,
GG:2.75,GG,2.75,0,,-3059.05,,,
GG:2.76,GG,2.76,0,,-3008.55,,,
GG:2.77,GG,2.77,0,,-3008.55,,,
GG:2.78,GG,2.78,0,,-3008.55,,,
GG:2.79,GG,2.79,0,,-3333.55,,,
GG:2.80,GG,2.80,0,,-3333.55,,,
GG:2.81,GG,2.81,0,,-3333.55,,,
GG:2.82,GG,2.82,0,,-3174.50,,,
GG:2.83,GG,2.83,0,,-3174.50,,,
GG:2.84,GG,2.84,0,,-3174.50,,,
GG:2.85,GG,2.85,0,,-3174.50,,,
GG:2.86,GG,2.86,0,,-3174.50,,,
GG:2.87,GG,2.87,0,,-3285.40,,,
GG:2.88,GG,2.88,0,,-3285.40,,,
GG:2.89,GG,2.89,0,,-3267.90,,,
GG:2.90,GG,2.90,0,,-3267.90,,,
GG:2.91,GG,2.91,0,,-3267.90,,,
GG:2.92,GG,2.92,0,,-3267.90,,,
GG:2.93,GG,2.93,0,,-3267.90,,,
GG:2.94,GG,2.94,0,,-3267.90,,,
GG:2.95,GG,2.95,0,,-3267.90,,,
GG:2.96,GG,2.96,0,,-3267.90,,,
GG:2.97,GG,2.97,0,,-3267.90,,,
GG:2.98,GG,2.98,0,,-3267.90,,,
GG:2.99,GG,2.99,0,,-3267.90,,,
GG:3.00,GG,3.00,0,,-3267.90,,,
GG:3.01,GG,3.01,0,,-3267.90,,,
GG:3.02,GG,3.02,0,,-3267.90,,,
GG:3.03,GG,3.03,0,,-3267.90,,,
GG:3.04,GG,3.04,0,,-3267.90,,,
GG:3.05,GG,3.05,0,,-3267.90,,,
GG:3.06,GG,3.06,0,,-2995.85,,,
GG:3.07,GG,3.07,0,,-2995.85,,,
GG:3.08,GG,3.08,0,,-2995.85,,,
GG:3.09,GG,3.09,0,,-2995.85,,,
GG:3.10,GG,3.10,0,,-2995.85,,,
GG:3.11,GG,3.11,0,,-2995.85,,,
GG:3.12,GG,3.12,0,,-2995.85,,,
GG:3.13,GG,3.13,0,,-2995.85,,,
GG:3.14,GG,3.14,0,,-2995.85,,,
GG:3.15,GG,3.15,0,,-2995.85,,,
GG:3.16,GG,3.16,0,,-2865.25,,,
GG:3.17,GG,3.17,0,,-2865.25,,,
GG:3.18,GG,3.18,0,,-2865.25,,,
GG:3.19,GG,3.19,0,,-2955.75,,,
GG:3.20,GG,3.20,0,,-2955.75,,,
GG:3.21,GG,3.21,0,,-2684.70,,,
GG:3.22,GG,3.22,0,,-2684.70,,,
GG:3.23,GG,3.23,0,,-2684.70,,,
GG:3.24,GG,3.24,0,,-2684.70,,,
GG:3.25,GG,3.25,0,,-2684.70,,,
GG:3.26,GG,3.26,0,,-2684.70,,,
GG:3.27,GG,3.27,0,,-2684.70,,,
GG:3.28,GG,3.28,0,,-2684.70,,,
GG:3.29,GG,3.29,0,,-2684.70,,,
GG:3.30,GG,3.30,0,,-2684.70,,,
GG:3.31,GG,3.31,0,,-2684.70,,,
GG:3.32,GG,3.32,0,,-2684.70,,,
GG:3.33,GG,3.33,0,,-2684.70,,,
GG:3.34,GG,3.34,0,,-2624.15,,,
GG:3.35,GG,3.35,0,,-2624.15,,,
GG:3.36,GG,3.36,0,,-2624.15,,,
GG:3.37,GG,3.37,0,,-2624.15,,,
GG:3.38,GG,3.38,0,,-2624.15,,,
GG:3.39,GG,3.39,0,,-2624.15,,,
GG:3.40,GG,3.40,0,,-2624.15,,,
GG:3.41,GG,3.41,0,,-2624.15,,,
GG:3.42,GG,3.42,0,,-2624.15,,,
GG:3.43,GG,3.43,0,,-2624.15,,,
GG:3.44,GG,3.44,0,,-2624.15,,,
GG:3.45,GG,3.45,0,,-2624.15,,,
GG:3.46,GG,3.46,0,,-2624.15,,,
GG:3.47,GG,3.47,0,,-2624.15,,,
GG:3.48,GG,3.48,0,,-2624.15,,,
GG:3.49,GG,3.49,0,,-2624.15,,,
GG:3.50,GG,3.50,0,,-2624.15,,,
