purchase_policy,withdrawal_policy,initial_cash_usd,monthly_contribution_usd,ongoing_net_cash_usd,terminal_received_usd,combined_net_cash_usd,owner_contributions_usd,ending_owner_cash_usd,purchase_spend_usd,accounts_bought,alive_before_terminal,cash_limited_decisions,capacity_limited_decisions,minimum_owner_cash_usd,average_live_accounts,days_below_cap,first_cap_date,matched_death_purchase_pairs,unmatched_deaths,mean_wait_days,max_wait_days,unmatched_death_wait_days,replacement_purchases,future_slots_owed_at_end
monthly_one,daily_minimum_retain_31900,1000,0,224400.0,77887.21,302287.21,1000.0,303287.21,11600.0,58,17,21,0,0.0,7.6305,2385.896,,39,2,70.995,717.8676,132.58,0,0
monthly_one,weekly_excess_retain_31600,1000,0,232440.45,66605.65,299046.1,1000.0,300046.1,11600.0,58,17,21,0,0.0,7.6305,2385.896,,39,2,70.995,717.8676,132.58,0,0
monthly_one,monthly_minimum_retain_30000,1000,0,163900.0,138387.21,302287.21,1000.0,303287.21,11600.0,58,17,21,0,0.0,7.6305,2385.896,,39,2,70.995,717.8676,132.58,0,0
weekly_one,daily_minimum_retain_31900,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,336,0,0.0,0.1108,2385.896,,0,5,,,11570.083,0,0
weekly_one,weekly_excess_retain_31600,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,336,0,0.0,0.1108,2385.896,,0,5,,,11570.083,0,0
weekly_one,monthly_minimum_retain_30000,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,336,0,0.0,0.1108,2385.896,,0,5,,,11570.083,0,0
monthly_advance_replacements,daily_minimum_retain_31900,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,2313,0,0.0,0.0566,2385.896,,2,3,0.1204,0.1204,6931.421,2,0
monthly_advance_replacements,weekly_excess_retain_31600,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,2313,0,0.0,0.0566,2385.896,,2,3,0.1204,0.1204,6931.421,2,0
monthly_advance_replacements,monthly_minimum_retain_30000,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,2313,0,0.0,0.0566,2385.896,,2,3,0.1204,0.1204,6931.421,2,0
monthly_plus_replacements,daily_minimum_retain_31900,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,2313,0,0.0,0.0566,2385.896,,2,3,0.1204,0.1204,6931.421,2,0
monthly_plus_replacements,weekly_excess_retain_31600,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,2313,0,0.0,0.0566,2385.896,,2,3,0.1204,0.1204,6931.421,2,0
monthly_plus_replacements,monthly_minimum_retain_30000,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,2313,0,0.0,0.0566,2385.896,,2,3,0.1204,0.1204,6931.421,2,0
monthly_one,daily_minimum_retain_31900,1000,200,361600.0,102711.75,464311.75,16600.0,480911.75,12000.0,60,20,0,19,800.0,11.4272,1796.0,2024-12-01T00:00:00,40,0,61.0719,134.0588,0,0,0
monthly_one,weekly_excess_retain_31600,1000,200,373130.03,87940.55,461070.58,16600.0,477670.58,12000.0,60,20,0,19,800.0,11.4272,1796.0,2024-12-01T00:00:00,40,0,61.0719,134.0588,0,0,0
monthly_one,monthly_minimum_retain_30000,1000,200,270000.0,194311.75,464311.75,16600.0,480911.75,12000.0,60,20,0,19,800.0,11.4272,1796.0,2024-12-01T00:00:00,40,0,61.0719,134.0588,0,0,0
weekly_one,daily_minimum_retain_31900,1000,200,449800.0,100881.87,550681.87,16600.0,567281.87,15000.0,75,20,83,183,0.0,13.9341,1096.9,2022-09-26T00:00:00,55,0,56.6667,206.1204,0,0,0
weekly_one,weekly_excess_retain_31600,1000,200,460918.96,89762.83,550681.79,16600.0,567281.79,15000.0,75,20,83,183,0.0,13.918,1096.9,2022-09-26T00:00:00,55,0,54.5619,206.1204,0,0,0
weekly_one,monthly_minimum_retain_30000,1000,200,324500.0,226181.87,550681.87,16600.0,567281.87,15000.0,75,20,83,183,0.0,13.9341,1096.9,2022-09-26T00:00:00,55,0,56.6667,206.1204,0,0,0
monthly_advance_replacements,daily_minimum_retain_31900,1000,200,334100.0,86641.16,420741.16,16600.0,437341.16,14000.0,70,20,285,9,0.0,10.8655,1860.823,2025-02-01T00:00:00,50,0,11.5979,104.0588,0,50,0
monthly_advance_replacements,weekly_excess_retain_31600,1000,200,346576.53,80016.6,426593.13,16600.0,443193.13,13600.0,68,20,285,11,0.0,10.8662,1860.073,2025-02-01T00:00:00,48,0,12.0499,104.0588,0,48,0
monthly_advance_replacements,monthly_minimum_retain_30000,1000,200,252400.0,180675.39,433075.39,16600.0,449675.39,13600.0,68,20,285,11,0.0,10.8662,1860.073,2025-02-01T00:00:00,48,0,12.0499,104.0588,0,48,0
monthly_plus_replacements,daily_minimum_retain_31900,1000,200,466200.0,101076.77,567276.77,16600.0,583876.77,13400.0,67,20,557,40,0.0,13.631,1155.0,2023-03-01T00:00:00,47,0,32.6993,134.0588,0,47,0
monthly_plus_replacements,weekly_excess_retain_31600,1000,200,478991.92,88284.77,567276.69,16600.0,583876.69,13400.0,67,20,557,40,0.0,13.631,1155.0,2023-03-01T00:00:00,47,0,32.6993,134.0588,0,47,0
monthly_plus_replacements,monthly_minimum_retain_30000,1000,200,338100.0,229176.77,567276.77,16600.0,583876.77,13400.0,67,20,557,40,0.0,13.631,1155.0,2023-03-01T00:00:00,47,0,32.6993,134.0588,0,47,0
monthly_one,daily_minimum_retain_31900,5000,0,361800.0,102711.75,464511.75,5000.0,469511.75,11800.0,59,20,1,19,0.0,11.3647,1796.0,2024-12-01T00:00:00,39,0,61.7399,134.0588,0,0,0
monthly_one,weekly_excess_retain_31600,5000,0,373330.03,87940.55,461270.58,5000.0,466270.58,11800.0,59,20,1,19,0.0,11.3647,1796.0,2024-12-01T00:00:00,39,0,61.7399,134.0588,0,0,0
monthly_one,monthly_minimum_retain_30000,5000,0,270200.0,194311.75,464511.75,5000.0,469511.75,11800.0,59,20,1,19,0.0,11.3647,1796.0,2024-12-01T00:00:00,39,0,61.7399,134.0588,0,0,0
weekly_one,daily_minimum_retain_31900,5000,0,443000.0,101526.53,544526.53,5000.0,549526.53,15000.0,75,20,87,179,0.0,14.652,1124.9,2022-10-10T00:00:00,55,0,104.9418,543.625,0,0,0
weekly_one,weekly_excess_retain_31600,5000,0,453735.95,90590.51,544326.46,5000.0,549326.46,15200.0,76,20,86,179,0.0,14.6586,1124.9,2022-10-10T00:00:00,56,0,102.7862,536.625,0,0,0
weekly_one,monthly_minimum_retain_30000,5000,0,318800.0,225526.53,544326.53,5000.0,549326.53,15200.0,76,20,86,179,0.0,14.7138,1124.9,2022-10-10T00:00:00,56,0,102.6848,536.625,0,0,0
monthly_advance_replacements,daily_minimum_retain_31900,5000,0,385650.0,96429.97,482079.97,5000.0,487079.97,12000.0,60,20,54,18,0.0,11.747,1796.75,2024-12-01T00:00:00,40,0,3.0698,54.0711,0,40,0
monthly_advance_replacements,weekly_excess_retain_31600,5000,0,357008.09,79805.65,436813.74,5000.0,441813.74,13400.0,67,20,58,11,0.0,11.0907,1860.073,2025-02-01T00:00:00,47,0,2.8643,58.0711,0,47,0
monthly_advance_replacements,monthly_minimum_retain_30000,5000,0,289100.0,185165.2,474265.2,5000.0,479265.2,12400.0,62,20,0,17,400.0,11.7022,1827.792,2025-01-01T00:00:00,42,0,0.3982,0.9322,0,42,0
monthly_plus_replacements,daily_minimum_retain_31900,5000,0,476400.0,100943.23,577343.23,5000.0,582343.23,18800.0,94,20,487,43,0.0,14.8393,1065.556,2022-12-01T00:00:00,74,0,38.9577,422.6988,0,74,0
monthly_plus_replacements,weekly_excess_retain_31600,5000,0,497520.26,86247.82,583768.08,5000.0,588768.08,20200.0,101,20,426,45,0.0,14.9523,1005.156,2022-10-01T00:00:00,81,0,35.2866,426.6988,0,81,0
monthly_plus_replacements,monthly_minimum_retain_30000,5000,0,355800.0,231554.45,587354.45,5000.0,592354.45,15200.0,76,20,414,45,0.0,15.0538,1005.156,2022-10-01T00:00:00,56,0,46.7185,351.6988,0,56,0
monthly_one,daily_minimum_retain_31900,5000,200,361600.0,102711.75,464311.75,20600.0,484911.75,12000.0,60,20,0,19,4800.0,11.4272,1796.0,2024-12-01T00:00:00,40,0,61.0719,134.0588,0,0,0
monthly_one,weekly_excess_retain_31600,5000,200,373130.03,87940.55,461070.58,20600.0,481670.58,12000.0,60,20,0,19,4800.0,11.4272,1796.0,2024-12-01T00:00:00,40,0,61.0719,134.0588,0,0,0
monthly_one,monthly_minimum_retain_30000,5000,200,270000.0,194311.75,464311.75,20600.0,484911.75,12000.0,60,20,0,19,4800.0,11.4272,1796.0,2024-12-01T00:00:00,40,0,61.0719,134.0588,0,0,0
