product,initial_cash,monthly_funding,acquisition,withdrawal,cadence,headroom,reserve,strict_post_payout_balance,fee,accounts,alive,ongoing,terminal,total,contributions,ending_owner_cash
legacy_25k,1000,0,monthly_one,minimum,daily,6800,31900.0,False,200.0,58,17,224400.0,77887.21,302287.21,1000.0,303287.21
legacy_25k,1000,0,monthly_one,maximum,weekly,6500,31600.0,False,200.0,58,17,232440.45,66605.65,299046.1,1000.0,300046.1
legacy_25k,1000,0,monthly_one,minimum,calendar_month,4900,30000.0,False,200.0,58,17,163900.0,138387.21,302287.21,1000.0,303287.21
legacy_25k,1000,0,weekly_one,minimum,daily,6800,31900.0,False,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,weekly_one,maximum,weekly,6500,31600.0,False,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,weekly_one,minimum,calendar_month,4900,30000.0,False,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,minimum,daily,6800,31900.0,False,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,maximum,weekly,6500,31600.0,False,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,0,monthly_current_slot_replacements,minimum,calendar_month,4900,30000.0,False,200.0,5,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_25k,1000,200,monthly_one,minimum,daily,6800,31900.0,False,200.0,60,20,361600.0,102711.75,464311.75,16600.0,480911.75
legacy_25k,1000,200,monthly_one,maximum,weekly,6500,31600.0,False,200.0,60,20,373130.03,87940.55,461070.58,16600.0,477670.58
legacy_25k,1000,200,monthly_one,minimum,calendar_month,4900,30000.0,False,200.0,60,20,270000.0,194311.75,464311.75,16600.0,480911.75
legacy_25k,1000,200,weekly_one,minimum,daily,6800,31900.0,False,200.0,75,20,449800.0,100881.87,550681.87,16600.0,567281.87
legacy_25k,1000,200,weekly_one,maximum,weekly,6500,31600.0,False,200.0,75,20,460918.96,89762.83,550681.79,16600.0,567281.79
