product,initial_cash,monthly_funding,acquisition,withdrawal,cadence,headroom,reserve,strict_post_payout_balance,fee,accounts,alive,ongoing,terminal,total,contributions,ending_owner_cash
legacy_50k,1000,0,monthly_current_slot_replacements,maximum,weekly,6500,56600.0,False,250.0,36,20,399197.64,92180.62,491378.26,1000.0,492378.26
legacy_50k,1000,0,monthly_current_slot_replacements,minimum,calendar_month,4900,55000.0,False,250.0,40,20,264000.0,213778.36,477778.36,1000.0,478778.36
legacy_50k,1000,0,monthly_current_slot_replacements,minimum,daily,4000,54100.0,False,250.0,62,20,451200.0,0,451200.0,1000.0,452200.0
legacy_50k,1000,0,monthly_current_slot_replacements,minimum,daily,6800,56900.0,False,250.0,49,20,305300.0,90145.45,395445.45,1000.0,396445.45
legacy_50k,1000,0,monthly_current_slot_replacements,minimum,weekly,7500,57600.0,False,250.0,39,20,301950.0,132942.06,434892.06,1000.0,435892.06
legacy_50k,1000,0,monthly_one,maximum,weekly,6500,56600.0,False,250.0,37,20,324270.05,93552.19,417822.24,1000.0,418822.24
legacy_50k,1000,0,monthly_one,minimum,calendar_month,4900,55000.0,False,250.0,37,20,231750.0,186072.26,417822.26,1000.0,418822.26
legacy_50k,1000,0,monthly_one,minimum,daily,4000,54100.0,False,250.0,43,3,368100.0,0,368100.0,1000.0,369100.0
legacy_50k,1000,0,monthly_one,minimum,daily,6800,56900.0,False,250.0,38,20,313000.0,98697.22,411697.22,1000.0,412697.22
legacy_50k,1000,0,monthly_one,minimum,weekly,7500,57600.0,False,250.0,35,20,285900.0,132422.26,418322.26,1000.0,419322.26
legacy_50k,1000,0,weekly_one,maximum,weekly,6500,56600.0,False,250.0,4,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_50k,1000,0,weekly_one,minimum,calendar_month,4900,55000.0,False,250.0,4,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_50k,1000,0,weekly_one,minimum,daily,4000,54100.0,False,250.0,4,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_50k,1000,0,weekly_one,minimum,daily,6800,56900.0,False,250.0,4,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_50k,1000,0,weekly_one,minimum,weekly,7500,57600.0,False,250.0,4,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_50k,1000,200,monthly_current_slot_replacements,maximum,daily,7500,57600.0,False,250.0,49,20,469464.62,115009.03,584473.65,16600.0,601073.65
