product,initial_cash,monthly_funding,acquisition,withdrawal,cadence,headroom,reserve,strict_post_payout_balance,fee,accounts,alive,ongoing,terminal,total,contributions,ending_owner_cash
legacy_50k,1000,0,monthly_current_slot_replacements,minimum,calendar_month,4900,55000.0,True,250.0,40,20,264000.0,164862.16,428862.16,1000.0,429862.16
legacy_50k,1000,0,monthly_current_slot_replacements,minimum,daily,4000,54100.0,True,250.0,62,20,451200.0,0,451200.0,1000.0,452200.0
legacy_50k,1000,0,monthly_current_slot_replacements,minimum,daily,6800,56900.0,True,250.0,49,20,305300.0,47966.05,353266.05,1000.0,354266.05
legacy_50k,1000,0,monthly_current_slot_replacements,minimum,weekly,7500,57600.0,True,250.0,39,20,301950.0,83192.25,385142.25,1000.0,386142.25
legacy_50k,1000,0,monthly_one,maximum,weekly,6500,56600.0,True,250.0,37,20,324270.05,44372.83,368642.88,1000.0,369642.88
legacy_50k,1000,0,monthly_one,minimum,calendar_month,4900,55000.0,True,250.0,37,20,231750.0,136892.9,368642.9,1000.0,369642.9
legacy_50k,1000,0,monthly_one,minimum,daily,4000,54100.0,True,250.0,43,3,368100.0,0,368100.0,1000.0,369100.0
legacy_50k,1000,0,monthly_one,minimum,daily,6800,56900.0,True,250.0,38,20,313000.0,52017.85,365017.85,1000.0,366017.85
legacy_50k,1000,0,monthly_one,minimum,weekly,7500,57600.0,True,250.0,35,20,285900.0,83242.9,369142.9,1000.0,370142.9
legacy_50k,1000,0,weekly_one,maximum,weekly,6500,56600.0,True,250.0,4,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_50k,1000,0,weekly_one,minimum,calendar_month,4900,55000.0,True,250.0,4,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_50k,1000,0,weekly_one,minimum,daily,4000,54100.0,True,250.0,4,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_50k,1000,0,weekly_one,minimum,daily,6800,56900.0,True,250.0,4,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_50k,1000,0,weekly_one,minimum,weekly,7500,57600.0,True,250.0,4,0,-1000.0,0,-1000.0,1000.0,0.0
legacy_50k,1000,200,monthly_current_slot_replacements,maximum,daily,7500,57600.0,True,250.0,49,20,469464.62,69522.38,538987.0,16600.0,555587.0
legacy_50k,1000,200,monthly_current_slot_replacements,maximum,weekly,6500,56600.0,True,250.0,51,20,501396.01,41490.54,542886.55,16600.0,559486.55
legacy_50k,1000,200,monthly_current_slot_replacements,minimum,calendar_month,4900,55000.0,True,250.0,49,20,355250.0,183736.94,538986.94,16600.0,555586.94
legacy_50k,1000,200,monthly_current_slot_replacements,minimum,daily,3600,53700.0,True,250.0,96,20,542450.0,0,542450.0,16600.0,559050.0
legacy_50k,1000,200,monthly_current_slot_replacements,minimum,daily,6800,56900.0,True,250.0,49,20,483250.0,55736.95,538986.95,16600.0,555586.95
legacy_50k,1000,200,monthly_one,maximum,daily,7500,57600.0,True,250.0,49,20,387877.26,71431.87,459309.13,16600.0,475909.13
legacy_50k,1000,200,monthly_one,maximum,weekly,6500,56600.0,True,250.0,50,20,415806.78,43252.28,459059.06,16600.0,475659.06
legacy_50k,1000,200,monthly_one,minimum,calendar_month,4900,55000.0,True,250.0,50,20,296000.0,163059.09,459059.09,16600.0,475659.09
legacy_50k,1000,200,monthly_one,minimum,daily,3600,53700.0,True,250.0,57,3,439600.0,0,439600.0,16600.0,456200.0
legacy_50k,1000,200,monthly_one,minimum,daily,6800,56900.0,True,250.0,51,20,403650.0,51784.07,455434.07,16600.0,472034.07
legacy_50k,1000,200,weekly_one,maximum,daily,7500,57600.0,True,250.0,53,20,446350.68,70443.21,516793.89,16600.0,533393.89
legacy_50k,1000,200,weekly_one,maximum,weekly,6500,56600.0,True,250.0,55,20,473847.74,42446.05,516293.79,16600.0,532893.79
legacy_50k,1000,200,weekly_one,minimum,calendar_month,4900,55000.0,True,250.0,56,20,333000.0,183043.81,516043.81,16600.0,532643.81
legacy_50k,1000,200,weekly_one,minimum,daily,3600,53700.0,True,250.0,89,10,475600.0,0,475600.0,16600.0,492200.0
legacy_50k,1000,200,weekly_one,minimum,daily,6800,56900.0,True,250.0,55,20,463250.0,53043.85,516293.85,16600.0,532893.85
legacy_50k,5000,0,monthly_current_slot_replacements,maximum,weekly,6500,56600.0,True,250.0,62,20,489413.0,41677.31,531090.31,5000.0,536090.31
legacy_50k,5000,0,monthly_current_slot_replacements,minimum,calendar_month,2800,52900.0,True,250.0,63,20,409250.0,142629.41,551879.41,5000.0,556879.41
legacy_50k,5000,0,monthly_current_slot_replacements,minimum,calendar_month,4900,55000.0,True,250.0,63,20,330750.0,185236.39,515986.39,5000.0,520986.39
legacy_50k,5000,0,monthly_current_slot_replacements,minimum,daily,3600,53700.0,True,250.0,104,20,533650.0,0,533650.0,5000.0,538650.0
legacy_50k,5000,0,monthly_current_slot_replacements,minimum,daily,6800,56900.0,True,250.0,73,20,444900.0,56260.52,501160.52,5000.0,506160.52
legacy_50k,5000,0,monthly_one,maximum,weekly,6500,56600.0,True,250.0,51,20,365548.96,43924.61,409473.57,5000.0,414473.57
legacy_50k,5000,0,monthly_one,minimum,calendar_month,2800,52900.0,True,250.0,52,20,318000.0,133991.28,451991.28,5000.0,456991.28
legacy_50k,5000,0,monthly_one,minimum,calendar_month,4900,55000.0,True,250.0,51,20,261250.0,148223.6,409473.6,5000.0,414473.6
legacy_50k,5000,0,monthly_one,minimum,daily,3600,53700.0,True,250.0,54,3,437350.0,0,437350.0,5000.0,442350.0
legacy_50k,5000,0,monthly_one,minimum,daily,6800,56900.0,True,250.0,52,20,353900.0,51948.56,405848.56,5000.0,410848.56
legacy_50k,5000,0,weekly_one,maximum,weekly,6500,56600.0,True,250.0,58,20,464703.05,42894.27,507597.32,5000.0,512597.32
legacy_50k,5000,0,weekly_one,minimum,calendar_month,2800,52900.0,True,250.0,70,20,386850.0,144538.56,531388.56,5000.0,536388.56
legacy_50k,5000,0,weekly_one,minimum,calendar_month,4900,55000.0,True,250.0,58,20,327500.0,180097.35,507597.35,5000.0,512597.35
legacy_50k,5000,0,weekly_one,minimum,daily,3600,53700.0,True,250.0,93,10,493500.0,0,493500.0,5000.0,498500.0
legacy_50k,5000,0,weekly_one,minimum,daily,6800,56900.0,True,250.0,57,20,454250.0,53597.37,507847.37,5000.0,512847.37
legacy_50k,5000,200,monthly_current_slot_replacements,maximum,daily,6800,56900.0,True,250.0,59,20,512603.03,54810.55,567413.58,20600.0,588013.58
legacy_50k,5000,200,monthly_current_slot_replacements,maximum,weekly,6500,56600.0,True,250.0,59,20,526662.64,40750.68,567413.32,20600.0,588013.32
legacy_50k,5000,200,monthly_current_slot_replacements,minimum,calendar_month,4900,55000.0,True,250.0,59,20,384250.0,183163.44,567413.44,20600.0,588013.44
legacy_50k,5000,200,monthly_current_slot_replacements,minimum,daily,4000,54100.0,True,250.0,86,20,559600.0,8000.0,567600.0,20600.0,588200.0
legacy_50k,5000,200,monthly_current_slot_replacements,minimum,daily,6800,56900.0,True,250.0,59,20,513100.0,54313.43,567413.43,20600.0,588013.43
legacy_50k,5000,200,monthly_one,maximum,daily,6800,56900.0,True,250.0,51,20,413627.82,57519.91,471147.73,20600.0,491747.73
legacy_50k,5000,200,monthly_one,maximum,weekly,6500,56600.0,True,250.0,51,20,428119.43,43028.17,471147.6,20600.0,491747.6
legacy_50k,5000,200,monthly_one,minimum,calendar_month,4900,55000.0,True,250.0,51,20,306250.0,164897.65,471147.65,20600.0,491747.65
legacy_50k,5000,200,monthly_one,minimum,daily,4000,54100.0,True,250.0,56,3,442800.0,0,442800.0,20600.0,463400.0
legacy_50k,5000,200,monthly_one,minimum,daily,6800,56900.0,True,250.0,52,20,415550.0,51972.62,467522.62,20600.0,488122.62
legacy_50k,5000,200,weekly_one,maximum,daily,6800,56900.0,True,250.0,62,20,498169.49,55735.77,553905.26,20600.0,574505.26
legacy_50k,5000,200,weekly_one,maximum,weekly,6500,56600.0,True,250.0,62,20,512355.44,41549.61,553905.05,20600.0,574505.05
legacy_50k,5000,200,weekly_one,minimum,calendar_month,4900,55000.0,True,250.0,62,20,370000.0,183905.11,553905.11,20600.0,574505.11
legacy_50k,5000,200,weekly_one,minimum,daily,4000,54100.0,True,250.0,88,10,528600.0,0,528600.0,20600.0,549200.0
legacy_50k,5000,200,weekly_one,minimum,daily,6800,56900.0,True,250.0,62,20,502000.0,51905.15,553905.15,20600.0,574505.15
