window,new_york_approx,trades,trades_per_year,win_rate_pct,avg_win_usd,avg_loss_usd,payoff_ratio,profit_factor,expectancy_usd,t_stat,net_profit_usd,gross_profit_usd,gross_loss_usd,commission_usd,final_balance_usd,total_return_pct,cagr_pct,net_per_year_usd,max_dd_usd,max_dd_pct,max_dd_peak_date,max_dd_trough_date,max_equity_dd_usd,lowest_balance_usd,recovery_factor,calmar,sharpe,sortino,ulcer_index,martin_ratio,longest_dd_days,longest_dd_from,longest_dd_to,longest_dd_recovered,time_underwater_pct,r_squared,max_consecutive_wins,max_consecutive_losses,worst_losing_streak_usd,best_trade_usd,worst_trade_usd,best_day_usd,worst_day_usd,best_month_usd,worst_month_usd,profitable_months_pct,profitable_years,years,first_half_usd,second_half_usd,last_12m_usd,avg_hold_minutes,verdict
11-12,04-05,480,73.54026845637584,43.333333333333336,91.87067307692311,-62.17316176470589,1.477658051630177,1.1299738041877823,4.579166666666664,1.1159674235155865,2197.9999999999986,19109.100000000006,-16911.100000000002,504.0,12197.999999999998,21.979999999999986,3.090865389888675,336.7531459731541,1603.2999999999993,12.693021727685474,2025-02-13,2025-09-16,1634.3999999999996,9515.8,1.3709224724006734,0.24350902851974263,0.45664742897938937,0.7667184603453511,5.091290647289225,0.6070887725756448,871,2022-03-01,2024-07-19,True,92.77745155607751,0.6526230286300826,11,11,-998.0499999999998,424.95,-257.55,424.95,-257.55,1013.2,-859.3999999999999,53.16455696202531,4,7,340.1999999999993,1857.7999999999993,879.000000000002,125.80906249999998,positive_unproven
12-13,05-06,542,83.03921979865771,35.239852398523986,82.8950261780105,-53.134045584045595,1.560111323480724,0.848949466623414,-5.197601476014761,-1.4641548068338162,-2817.1000000000004,15832.950000000004,-18650.050000000003,569.1,7182.9,-28.171000000000003,-4.943054553940673,-431.60477139261747,2866.24999999998,28.522312832428415,2020-02-21,2026-07-06,2866.24999999998,7182.90000000002,-0.9828521587440104,-0.17330482920447712,-0.5163336886627202,-0.8234056203562016,14.461996012759519,-0.3417961496863585,2329,2020-02-26,2026-07-13,False,98.47328244274809,0.5671486637666582,4,12,-976.8499999999999,480.95,-356.55,480.95,-356.55,483.65000000000003,-843.8,43.037974683544306,2,7,-1401.3999999999896,-1415.7000000000107,-1160.3500000000001,89.78843788437884,flat_or_losing
13-14,06-07,602,92.2317533557047,39.3687707641196,85.1377637130802,-51.92123287671233,1.6397484997176583,1.0647134094057125,2.03720930232558,0.5992263771259084,1226.3999999999992,20177.65000000001,-18951.25,632.1,11226.4,12.263999999999992,1.7881668999781164,187.89538590604013,990.1999999999989,9.144176382315585,2020-07-15,2021-10-04,1019.1999999999989,9838.550000000001,1.2385376691577465,0.19555253805431275,0.27010481007200887,0.46709231836909554,3.9603106938173913,0.45152187245553727,805,2020-07-15,2022-09-28,True,94.95008807985907,0.6975226733660422,7,11,-639.25,432.45,-297.55,432.45,-297.55,607.1,-566.4000000000001,58.22784810126582,5,7,612.1500000000033,614.2499999999959,-175.85000000000042,76.38978405315615,positive_unproven
14-15,07-08,566,86.7162332214765,42.04946996466431,102.58025210084035,-57.522560975609764,1.7833046783910678,1.2939832727349823,9.799823321554769,2.2033225829945424,5546.699999999999,24414.100000000006,-18867.4,594.3000000000001,15546.699999999999,55.46699999999999,6.994309223147122,849.8037646812079,1304.250000000009,9.193405137169844,2025-03-12,2025-09-17,1304.250000000009,9950.85,4.252788959171907,0.7607963663940404,0.8738903389012346,1.8610219321885222,3.6021886348355396,1.9416832187819202,659,2022-10-26,2024-08-15,True,90.01761597181445,0.7907837739797974,8,11,-816.5499999999998,719.95,-182.05,719.95,-182.05,1093.75,-1000.1499999999999,51.89873417721519,6,7,2147.349999999996,3399.350000000003,2276.2499999999986,68.0188457008245,edge_holds
15-16,08-09,711,108.9315226510067,32.20815752461322,124.88886462882098,-64.75643153526968,1.9285939893213555,0.9162822065447934,-3.675175808720116,-0.905885260189553,-2613.0500000000025,28599.550000000007,-31212.599999999988,746.5500000000001,7386.949999999997,-26.130500000000023,-4.534227157626091,-400.3424968540272,3852.1499999999996,34.274541555818466,2025-01-20,2026-07-10,3852.1499999999996,7386.950000000019,-0.6783354749944843,-0.1322914020670937,-0.30706060730429063,-0.5115486578939177,13.961124663279286,-0.3247752073693654,1722,2020-03-20,2024-12-06,True,98.41456253669995,0.0003764202321346888,7,20,-1300.5499999999997,540.95,-439.05,540.95,-439.05,1084.9500000000003,-817.6999999999996,45.56962025316456,2,7,-622.5999999999881,-1990.4500000000144,-2486.1499999999996,50.930121894045946,flat_or_losing
16-17,09-10,904,138.50083892617448,35.06637168141593,155.39321766561517,-86.26124361158432,1.8014256595385656,0.972831233515716,-1.52179203539823,-0.3238378758724799,-1375.6999999999998,49259.65000000001,-50635.35,949.2,8624.3,-13.756999999999998,-2.241996591683637,-210.76947357382548,4486.200000000052,43.36042836569645,2020-03-06,2022-11-04,4501.700000000052,5860.099999999948,-0.30665150907226246,-0.051706052642628834,-0.009374861305729582,-0.014765331971473606,26.507721444449093,-0.0845790007406739,1799,2020-03-09,2025-02-10,True,98.94304169113329,0.27915750631444447,6,16,-2332.8,977.95,-738.05,977.95,-738.05,1137.0,-1725.6499999999999,53.16455696202531,3,7,-3255.300000000063,1879.6000000000631,-2989.000000000008,63.0202802359882,flat_or_losing
17-18,10-11,390,59.75146812080537,52.307692307692314,181.8544117647059,-153.31881720430104,1.1861193236468848,1.3009050646449702,22.002564102564108,2.1708869084931344,8581.000000000002,37098.3,-28517.299999999996,409.5,18581.0,85.81000000000002,9.95722634491103,1314.6855075503358,2208.650000000005,11.966170841584338,2025-03-04,2025-06-13,2267.150000000005,9915.4,3.885178729087896,0.8321146736688809,0.9029245787181289,1.505496747732193,3.982373522220391,2.500324565074783,435,2025-03-04,2026-05-13,True,81.67938931297711,0.9332634222094486,7,5,-1267.2,853.95,-560.05,853.95,-560.05,1334.1000000000001,-885.8999999999999,63.29113924050633,6,7,4605.349999999993,3975.6500000000087,2083.8500000000004,203.77350427350424,edge_holds
18-19,11-12,483,73.99989513422818,46.790890269151134,138.51637168141596,-113.00525291828792,1.2257516186577155,1.0778983105705982,4.683954451345756,0.7013440018655706,2262.3500000000004,31304.700000000004,-29042.349999999995,507.15000000000003,12262.35,22.623500000000003,3.1740027250239056,346.6121382130873,2189.2000000000025,16.49344729774021,2024-10-01,2025-11-17,2387.2000000000025,9398.45,1.0334140325232952,0.1924402259713638,0.3299827822290409,0.5048701662673069,6.457545843845196,0.4915184191915734,650,2024-10-01,2026-07-13,False,90.01761597181445,0.624683263148904,6,8,-946.6999999999999,530.45,-625.05,530.45,-625.05,1406.5000000000002,-872.8499999999999,60.75949367088608,4,7,1607.0500000000036,655.2999999999968,388.85000000000025,155.92132505175982,positive_unproven
19-20,12-13,501,76.75765520134227,42.91417165668663,122.8104651162791,-91.21083916083914,1.3464459514479183,1.012188390074484,0.6346307385229528,0.09576386993617955,317.94999999999936,26404.250000000007,-26086.299999999996,526.0500000000001,10317.949999999999,3.1794999999999933,0.4806955457809181,48.71276740771802,2985.7999999999956,29.759940994423328,2020-01-06,2022-07-26,3008.2999999999956,7047.150000000005,0.10648737356822287,0.016152436117766327,0.10112257659039232,0.19109726422524165,16.92051410730301,0.02840903903584387,1905,2020-01-21,2025-04-09,True,97.94480328831474,0.10154995845051618,6,8,-1199.8999999999999,1912.45,-329.05,1912.45,-329.05,1903.1999999999996,-558.35,39.24050632911392,3,7,-2279.1500000000024,2597.1000000000017,-706.1999999999998,147.43646041250832,flat_or_losing
20-21,13-14,547,83.80526426174497,45.703839122486286,120.76800000000001,-84.61060606060606,1.42733878910517,1.2014636271929042,9.255301645338204,1.66710596097091,5062.649999999998,30192.000000000004,-25129.35,574.35,15062.649999999998,50.62649999999997,6.477065660757542,775.6430002097312,1805.6500000000142,14.53301036756082,2025-03-19,2025-11-20,1839.1500000000142,9509.1,2.8037825713731666,0.44567955963308337,0.6845527627235409,1.184173013950388,5.885298812988593,1.1005500088564655,688,2020-05-19,2022-04-07,True,87.66881972988844,0.7333666001726354,14,10,-1070.0,800.45,-464.05,800.45,-464.05,973.5500000000002,-905.8999999999999,63.29113924050633,4,7,3754.1999999999925,1308.4500000000053,1179.8000000000009,98.69957343083485,positive_unproven
21-22,14-15,556,85.184144295302,44.7841726618705,94.61064257028113,-85.96530944625407,1.100567696198804,0.8926428545716685,-5.09586330935252,-0.9921784110209635,-2833.300000000001,23558.050000000003,-26391.35,583.8000000000001,7166.699999999999,-28.33300000000001,-4.975932002878514,-434.08675545302026,4193.0999999999985,36.9600571179247,2025-02-28,2026-06-30,4442.0999999999985,7151.850000000002,-0.6757053254155642,-0.13462998682611105,-0.3868837485765162,-0.5404959083791093,9.54937869609041,-0.5210739003277458,972,2022-06-02,2025-01-29,True,96.88784497944803,0.1448844099081752,5,7,-1465.3,644.45,-818.55,644.45,-818.55,540.5,-1132.8999999999999,44.303797468354425,3,7,76.19999999999963,-2909.500000000001,-2829.7999999999993,100.72901678657075,flat_or_losing
22-23,15-16,588,90.0868288590604,45.91836734693878,75.99629629629631,-63.751257861635224,1.1920752444012561,1.0121393584538967,0.4185374149659839,0.1075879743213623,246.09999999999854,20519.000000000004,-20272.9,617.4,10246.099999999999,2.460999999999985,0.3731768395680568,37.704708473154135,2535.0499999999865,23.302447857779615,2020-03-06,2024-12-19,2759.7999999999865,8343.850000000013,0.0970789530778485,0.016014490917248003,0.08484928204599483,0.13646613338659924,14.124706741111048,0.0264201477884066,2244,2020-03-26,2026-05-18,True,96.53552554315912,0.01375494033646496,9,7,-542.2,421.95,-271.55,421.95,-271.55,773.9499999999998,-612.45,49.36708860759494,3,7,-806.7999999999943,1052.8999999999928,553.0000000000014,51.79761904761905,flat_or_losing
23-24,16-17,119,18.23185822147651,44.537815126050425,61.5443396226415,-37.76212121212122,1.6297903202240251,1.3087710147253535,6.466806722689075,0.8723464312393602,769.55,3261.8499999999995,-2492.3000000000006,124.95,10769.55,7.695499999999999,1.142329500101602,117.90190331375838,831.1000000000004,7.4546473819934995,2024-04-25,2026-01-27,854.5499999999993,9999.85,0.9259415232823963,0.15323722794197728,0.35787317383161255,0.6926826200462997,2.688005572291331,0.42497289137977806,803,2024-05-01,2026-07-13,False,80.27011156782149,0.4729436790317747,4,7,-581.8499999999999,363.95,-209.05,363.95,-209.05,370.4,-229.60000000000002,34.177215189873415,4,7,441.4000000000003,328.14999999999964,110.29999999999978,19.932773109243705,positive_unproven
