window,new_york_approx,trades,trades_per_year,win_rate_pct,avg_win_usd,avg_loss_usd,payoff_ratio,profit_factor,expectancy_usd,t_stat,net_profit_usd,gross_profit_usd,gross_loss_usd,commission_usd,final_balance_usd,total_return_pct,cagr_pct,net_per_year_usd,max_dd_usd,max_dd_pct,max_dd_peak_date,max_dd_trough_date,max_equity_dd_usd,lowest_balance_usd,recovery_factor,calmar,sharpe,sortino,ulcer_index,martin_ratio,longest_dd_days,longest_dd_from,longest_dd_to,longest_dd_recovered,time_underwater_pct,r_squared,max_consecutive_wins,max_consecutive_losses,worst_losing_streak_usd,best_trade_usd,worst_trade_usd,best_day_usd,worst_day_usd,best_month_usd,worst_month_usd,profitable_months_pct,profitable_years,years,first_half_usd,second_half_usd,last_12m_usd,avg_hold_minutes,verdict
1-2,18-19,478,73.23385067114094,38.49372384937239,70.02608695652175,-45.44285714285715,1.540970162513839,0.9644167003487971,-0.9945606694560698,-0.2866993487257264,-475.40000000000134,12884.800000000001,-13360.200000000003,501.90000000000003,9524.599999999999,-4.754000000000013,-0.7434596851050079,-72.83550755033578,1415.899999999996,13.78045101073507,2020-09-30,2023-10-25,1416.699999999997,8858.800000000003,-0.33575817501236155,-0.05395031588776358,-0.07481303113012727,-0.12316355775224118,7.7040133379556925,-0.09650290731483722,2111,2020-10-01,2026-07-13,False,99.11920140927775,0.04659925093413375,6,7,-584.6,417.95,-328.05,417.95,-328.05,694.0999999999999,-342.30000000000007,44.303797468354425,3,7,-779.1999999999998,303.7999999999985,-438.74999999999926,93.84937238493724,flat_or_losing
2-3,19-20,584,89.4739932885906,41.43835616438356,65.06363636363638,-41.45204678362574,1.5696121521636808,1.110661230478394,2.686301369863014,0.910282840363926,1568.8000000000002,15745.400000000003,-14176.600000000002,613.2,11568.8,15.688000000000002,2.257773486700554,240.35411073825506,754.9499999999971,6.231119694943757,2025-11-24,2026-07-03,970.4999999999873,9623.45,2.07801841181536,0.36233832717619346,0.38536752553877746,0.6629599856189968,2.8226077542031835,0.7998892100181021,1133,2022-03-09,2025-04-15,True,92.0728126834997,0.5513833769919596,5,12,-435.70000000000005,573.45,-287.55,573.45,-287.55,782.3500000000001,-350.55000000000007,54.43037974683544,4,7,1010.4500000000107,558.3499999999894,39.09999999999954,89.45833333333333,positive_unproven
3-4,20-21,586,89.7804110738255,44.19795221843004,72.15270270270271,-47.30688073394496,1.5252052467481687,1.208037183204207,5.491808873720136,1.7637933334391964,3218.2,18687.550000000003,-15469.350000000002,615.3000000000001,13218.2,32.182,4.367354895294717,493.0568582214765,1309.5499999999975,11.49428818446331,2021-06-15,2022-03-14,1314.0499999999975,9883.2,2.457485395746635,0.37995870863913245,0.7148000890337816,1.2120371965454488,3.760509685161139,1.1613731278310948,775,2021-06-18,2023-08-02,True,89.37169700528479,0.7156295300618583,6,13,-660.2,461.45,-284.55,384.9,-284.55,652.9000000000001,-373.4,53.16455696202531,7,7,1107.6500000000067,2110.549999999993,1092.8500000000008,113.21672354948805,positive_unproven
4-5,21-22,550,84.26489093959731,43.27272727272727,63.66848739495799,-48.51955128205128,1.3122233349777643,1.0009908773227818,0.02727272727272727,0.00876132669747099,15.0,15153.100000000002,-15138.1,577.5,10015.0,0.15,0.022966752063591223,2.298133389261745,2262.6499999999996,18.67458444066619,2025-11-17,2026-06-29,2266.1499999999996,9853.550000000014,0.0066293947362605805,0.0012298400607821994,0.03430159727490973,0.05407621505325105,4.368972532405298,0.005256785638555408,854,2022-10-26,2025-02-26,True,93.18849089841457,0.39022640003538356,6,16,-1193.7999999999997,591.45,-270.05,591.45,-270.05,398.5,-483.40000000000003,48.10126582278481,4,7,666.4000000000049,-651.4000000000049,-787.3999999999987,132.66121212121212,flat_or_losing
5-6,22-23,446,68.33116610738254,45.964125560538115,55.452439024390245,-40.39647302904564,1.3727049632407056,1.1676535994371147,3.65964125560538,1.3216750458231619,1632.1999999999996,11367.75,-9735.55,468.3,11632.199999999999,16.321999999999996,2.3434330337035236,250.06755453020128,795.2000000000062,6.47968579390823,2025-05-15,2026-01-22,804.2500000000055,9799.25,2.0525653923541083,0.361658436572135,0.5592926299758796,0.9004559228385903,1.846840672289525,1.2688874946631827,424,2020-10-23,2021-12-21,True,87.43394010569583,0.7457815547077031,8,12,-588.5,313.95,-212.55,313.95,-212.55,478.5499999999999,-324.40000000000003,55.69620253164557,5,7,1957.500000000004,-325.3000000000045,-621.2999999999995,119.40284005979073,positive_unproven
6-7,23-00,567,86.86944211409396,42.32804232804233,48.61041666666667,-38.147859327217134,1.2742632882675249,0.9352391106550642,-1.4247795414462074,-0.6315919080487965,-807.8499999999997,11666.500000000002,-12474.350000000002,595.35,9192.15,-8.078499999999996,-1.2822666933807847,-123.76980390100665,2072.0499999999975,19.312070684946807,2022-05-17,2026-04-27,2117.0499999999975,8657.250000000002,-0.3898795878477839,-0.06639716239130555,-0.22396064508663718,-0.33325969841333036,5.990795455020476,-0.2140394715540162,1516,2022-05-19,2026-07-13,False,95.88960657662949,0.08264467681733678,7,10,-661.8,272.45,-207.05,272.45,-207.05,350.7,-573.8499999999999,48.10126582278481,2,7,639.6500000000019,-1447.5000000000016,-804.6499999999983,85.5214579659024,flat_or_losing
7-8,00-01,618,94.68309563758389,42.88025889967638,59.04056603773586,-33.47067988668556,1.763948812441717,1.3242108648641786,6.198381877022654,2.5312234421429056,3830.6000000000004,15645.750000000002,-11815.150000000001,648.9,13830.6,38.306000000000004,5.094042293145717,586.8819840604027,650.5499999999975,5.755933553053573,2020-05-05,2020-11-05,694.0499999999975,9955.0,5.888248405195627,0.8850071402306726,0.9984887773204693,1.8682503359211446,1.7840375130818282,2.855344832041135,618,2020-05-13,2022-01-21,True,87.66881972988844,0.9238210856654328,7,8,-480.40000000000003,396.45,-243.05,396.45,-246.10000000000002,1095.7,-252.2,67.08860759493672,7,7,1765.1000000000133,2065.4999999999873,1376.900000000002,71.09223300970874,edge_holds
8-9,01-02,632,96.82802013422818,41.139240506329116,63.27307692307692,-36.00430107526882,1.7573755088538265,1.2282732051128895,4.837658227848101,1.9231577972600078,3057.3999999999996,16451.0,-13393.600000000002,663.6,13057.4,30.573999999999995,4.1718262755845,468.42086828859055,1129.4500000000044,8.527465392209074,2025-09-30,2026-02-11,1183.9500000000044,9943.15,2.70698127407144,0.48922230507039,0.7787908723258838,1.4764332722496787,3.819925649241344,1.0921223758407563,1105,2022-04-08,2025-04-17,True,92.36641221374046,0.6842752919031643,11,12,-565.6,372.95,-169.05,372.95,-169.05,671.1000000000003,-490.50000000000006,53.16455696202531,6,7,1702.4000000000103,1354.9999999999893,160.95000000000022,59.1165611814346,positive_unproven
9-10,02-03,588,90.0868288590604,41.156462585034014,77.10702479338846,-46.18439306358382,1.669547214515351,1.1677179939673843,4.55799319727891,1.5284508085399822,2680.0999999999995,18659.90000000001,-15979.800000000001,617.4,12680.099999999999,26.801,3.7049081989965593,410.6151531040268,1749.8999999999996,16.63173802090016,2021-09-23,2022-05-25,1772.8999999999996,8771.55,1.5315732327561575,0.22276133704973058,0.5593041860921253,0.965615328735683,8.562992045375575,0.43266514547299934,1413,2021-09-29,2025-08-12,True,93.8344098649442,0.09913027114239858,7,14,-873.6999999999998,277.95,-198.05,277.95,-198.05,671.9499999999999,-340.45000000000005,50.63291139240506,4,7,-713.0499999999977,3393.149999999997,2333.150000000003,70.7562358276644,positive_unproven
10-11,03-04,620,94.98951342281879,43.87096774193549,85.84522058823529,-58.084482758620695,1.4779372478012547,1.1551693431090266,5.058870967741935,1.3669612097617663,3136.5,23349.9,-20213.4,651.0,13136.5,31.365,4.268263084610324,480.53969169463085,1822.4500000000007,16.32829509107362,2022-04-11,2022-10-28,1829.9500000000007,8866.35,1.7210348706411691,0.2614028629935593,0.5209429457720866,0.8979721814474481,8.327327429281691,0.5125609771991998,1126,2022-04-12,2025-05-12,True,92.95361127422196,0.5510106825255323,6,9,-1117.9499999999998,640.95,-291.55,640.95,-339.6,1122.0500000000002,-977.9499999999998,58.22784810126582,5,7,-275.69999999999794,3412.199999999998,1894.9500000000023,88.6768817204301,positive_unproven
