month,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24
2022-05,-16.3,118.6,-237.3,-51.35,383.1,152.4,-205.95,-490.5,-328.05,-257.25,-24.7,-717.8,-36.45,-191.4,33.7,-511.6,-468.65,1406.5,-515.7,358.0,540.5,110.1,-57.55
2022-06,-85.8,-152.55,160.2,-33.35,-51.85,-93.8,83.95,90.65,-121.7,-355.4,-161.85,19.25,-347.9,35.3,-184.4,-162.15,108.8,-828.5,-297.75,-174.25,-641.05,-222.9,7.4
2022-07,12.35,80.55,-53.95,22.65,-6.4,-27.2,4.7,-76.85,130.15,-307.4,310.25,36.2,-68.8,275.0,-171.05,-122.4,1334.1,301.8,-244.75,973.55,-6.4,0.7,159.9
2022-08,-133.7,5.25,52.0,170.0,66.15,-107.2,97.55,-131.7,304.55,61.75,72.8,46.05,0.2,100.0,156.65,23.75,125.25,485.1,410.75,248.2,-227.4,-70.95,1.9
2022-09,153.2,-138.8,-50.4,-158.05,52.75,242.1,91.55,-130.85,108.0,189.5,-177.85,-55.3,607.1,-43.7,103.5,20.95,-544.4,-256.3,304.7,254.75,53.6,175.5,12.45
2022-10,116.3,-89.9,58.6,143.05,95.65,-226.85,111.5,58.05,-225.35,-540.35,388.8,110.25,-113.8,115.8,324.0,-395.95,413.85,186.65,122.9,167.25,-178.35,-155.8,-165.7
2022-11,-63.95,147.05,303.55,-229.85,-13.9,-3.3,13.6,135.1,-64.35,286.95,60.7,-75.85,11.7,-448.9,-329.5,-457.85,313.7,-349.95,-179.65,466.2,146.4,353.75,-74.1
2022-12,-68.3,81.05,35.6,2.85,-33.8,30.25,26.05,37.1,91.75,-84.4,-132.25,-2.3,22.1,-65.35,-221.3,184.3,-96.1,-259.4,-413.35,-110.65,146.65,-177.95,-26.55
2023-01,-81.7,-10.9,115.7,162.2,1.1,-27.85,85.3,-24.05,-21.05,-117.7,127.75,147.15,-76.25,158.35,-426.9,429.45,261.85,446.65,-23.9,-169.6,-6.2,109.85,-31.55
2023-02,67.7,-4.2,-33.3,-52.25,23.2,55.75,-60.45,-17.25,-43.7,80.05,-177.65,-169.4,272.2,56.3,-88.9,-735.8,305.4,318.85,562.0,-75.2,-46.85,-129.7,-28.6
2023-03,-201.45,75.6,180.1,-107.25,79.2,69.9,61.4,203.45,117.8,247.1,-51.3,-74.05,-310.95,-100.0,1084.95,664.95,-194.75,90.1,-209.7,530.2,27.1,211.6,0.0
2023-04,-63.15,-118.4,19.25,-29.9,-64.75,-83.95,-61.4,-0.1,-129.85,-96.25,-43.7,-45.2,-11.0,-59.7,242.4,9.5,391.25,274.25,195.3,138.65,122.25,11.15,253.35
2023-05,-8.2,41.0,7.95,-22.0,-36.0,-37.2,101.0,-27.4,-70.4,-227.45,186.6,-251.0,-129.3,-57.45,-284.7,263.25,42.35,182.7,-184.2,-194.15,37.05,-290.9,118.35
2023-06,-116.35,-157.8,-5.65,-77.0,79.05,-70.25,129.7,-137.15,-106.7,11.3,-46.2,180.55,128.15,-93.85,-324.6,100.6,454.8,364.1,-229.4,238.2,147.65,-111.8,3.45
2023-07,17.1,-58.0,206.65,-76.9,-14.05,4.6,76.15,116.5,33.7,151.6,77.25,44.3,81.1,-66.0,-191.45,-47.0,93.9,108.2,-3.8,35.75,-68.35,105.8,-103.1
2023-08,-128.85,105.5,162.55,136.05,1.2,-136.85,14.95,43.35,-16.35,156.95,156.5,-203.8,262.2,12.7,-318.5,281.35,-75.7,63.2,290.85,18.15,-81.95,-151.85,261.85
2023-09,-1.3,-88.1,-110.65,117.55,-67.2,-68.45,6.55,54.45,110.75,-87.55,-176.2,-133.85,-116.45,-159.25,-174.55,-167.45,529.2,211.3,6.0,5.1,-333.85,2.0,9.95
2023-10,76.6,-66.95,-244.35,-270.0,-188.35,-94.4,-165.4,-102.25,-169.45,372.2,-229.85,193.2,-106.45,131.25,-62.45,-312.45,-115.35,29.75,-9.8,66.1,-185.5,-161.7,-88.75
2023-11,107.75,66.15,-25.95,106.65,0.3,45.2,25.6,64.1,68.3,84.0,-32.85,83.35,25.15,365.1,25.6,-55.2,-69.85,-20.75,-303.8,-258.3,16.7,94.0,-41.55
2023-12,109.65,-2.75,-123.3,-7.25,20.7,29.7,43.65,-105.9,-26.65,130.7,19.75,-146.95,161.7,139.05,156.0,441.4,-60.2,197.65,-43.3,72.2,196.25,91.65,0.0
2024-01,90.8,-43.4,45.2,-68.3,-31.2,-71.35,-13.9,-119.9,-76.8,72.95,112.15,-62.7,135.95,-14.4,-143.85,100.35,254.2,-114.0,-7.75,-19.35,124.1,142.7,-52.55
2024-02,-121.8,28.55,147.15,6.75,-63.0,-40.9,45.7,236.35,113.65,-51.9,309.85,-105.45,11.7,78.25,1.45,101.45,-23.95,116.75,326.75,121.6,322.15,509.85,-24.05
