date,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24
2020-01-02,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10011.95,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10009.95,10000.0,10036.45,10000.0,10000.0,10000.0,10023.45,10000.0,10000.0,10000.0
2020-01-03,10000.0,9985.45,10000.0,10000.0,10000.0,10000.0,10011.95,10000.0,10000.0,10000.0,10000.0,9960.95,10000.0,10091.4,10000.0,10097.4,10000.0,9955.95,10000.0,10023.45,9963.95,10000.0,10000.0
2020-01-06,9949.95,9985.45,10000.0,9979.95,10021.95,10000.0,10011.95,10000.0,10000.0,10000.0,10034.95,9960.95,10000.0,10091.4,10000.0,10172.85,10000.0,9955.95,10032.95,10023.45,10017.9,10043.45,10000.0
2020-01-07,9949.95,10014.9,10009.45,9979.95,10021.95,10000.0,10011.95,9986.95,10000.0,9962.45,10034.95,9960.95,10000.0,10072.35,10000.0,10132.8,9947.95,9955.95,10032.95,10002.9,10017.9,10043.45,10000.0
2020-01-08,9949.95,10014.9,10009.45,9979.95,10021.95,9971.95,9986.4,9986.95,10017.45,9962.45,10034.95,9960.95,10000.0,10047.8,10000.0,10169.75,9947.95,10028.9,10032.95,10056.35,10067.85,10043.45,10000.0
2020-01-09,9949.95,9976.85,10009.45,9979.95,10021.95,9971.95,9986.4,9986.95,10017.45,9938.9,10034.95,9960.95,9985.95,10047.8,10030.45,10169.75,9947.95,9988.35,10032.95,10106.8,10067.85,10060.4,10000.0
2020-01-10,9949.95,9999.8,10009.45,9996.9,10021.95,9971.95,9986.4,9986.95,10017.45,9938.9,10052.9,9960.95,9998.9,10047.8,9999.9,10169.75,9915.4,9988.35,10032.95,10082.75,10067.85,10060.4,10000.0
2020-01-13,9974.9,10032.25,10009.45,10026.35,10021.95,9971.95,9991.35,9978.4,10017.45,9938.9,10032.85,9946.9,9998.9,10047.8,9983.35,10145.2,9956.85,9988.35,10032.95,10082.75,10077.8,10079.35,10000.0
2020-01-14,9974.9,10032.25,10009.45,10013.8,10021.95,9971.95,9979.3,9978.4,10017.45,9938.9,10032.85,9946.9,9998.9,10047.8,9959.3,10145.2,9956.85,9988.35,10032.95,10082.75,10077.8,10079.35,10000.0
2020-01-15,9974.9,10032.25,9985.9,10013.8,10042.4,9971.95,10007.25,9978.4,10004.9,9924.85,10048.8,9946.9,10021.85,10026.25,9959.3,10089.65,9917.8,9988.35,10032.95,10082.75,10029.75,10079.35,10000.0
