purchase_policy,withdrawal_policy,initial_cash_usd,monthly_contribution_usd,ongoing_net_cash_usd,terminal_received_usd,combined_net_cash_usd,owner_contributions_usd,ending_owner_cash_usd,purchase_spend_usd,accounts_bought,alive_before_terminal,cash_limited_decisions,capacity_limited_decisions,minimum_owner_cash_usd
replace_five,daily_minimum_retain_31900,1000,200,135550.0,24573.08,160123.08,16600.0,176723.08,5200.0,26,5,331,0,0.0
replace_five,weekly_excess_retain_31600,1000,200,138788.11,21334.9,160123.01,16600.0,176723.01,5200.0,26,5,331,0,0.0
replace_five,monthly_minimum_retain_30000,1000,200,104300.0,55823.08,160123.08,16600.0,176723.08,5200.0,26,5,331,0,0.0
reinvest_50pct,daily_minimum_retain_31900,1000,200,-200.0,0,-200.0,16600.0,16400.0,200.0,1,0,0,0,800.0
reinvest_50pct,weekly_excess_retain_31600,1000,200,-200.0,0,-200.0,16600.0,16400.0,200.0,1,0,0,0,800.0
reinvest_50pct,monthly_minimum_retain_30000,1000,200,-200.0,0,-200.0,16600.0,16400.0,200.0,1,0,0,0,800.0
reinvest_100pct,daily_minimum_retain_31900,1000,200,-200.0,0,-200.0,16600.0,16400.0,200.0,1,0,0,0,800.0
reinvest_100pct,weekly_excess_retain_31600,1000,200,-200.0,0,-200.0,16600.0,16400.0,200.0,1,0,0,0,800.0
reinvest_100pct,monthly_minimum_retain_30000,1000,200,-200.0,0,-200.0,16600.0,16400.0,200.0,1,0,0,0,800.0
reinvest_restart_50pct,daily_minimum_retain_31900,1000,200,227300.0,88635.89,315935.89,16600.0,332535.89,13600.0,68,20,0,719,600.0
reinvest_restart_50pct,weekly_excess_retain_31600,1000,200,186719.71,94347.69,281067.4,16600.0,297667.4,11600.0,58,20,0,666,600.0
reinvest_restart_50pct,monthly_minimum_retain_30000,1000,200,213500.0,163126.56,376626.56,16600.0,393226.56,14000.0,70,20,0,743,600.0
reinvest_restart_100pct,daily_minimum_retain_31900,1000,200,269100.0,73004.82,342104.82,16600.0,358704.82,16800.0,84,20,0,770,600.0
reinvest_restart_100pct,weekly_excess_retain_31600,1000,200,213511.76,94347.69,307859.45,16600.0,324459.45,18800.0,94,20,0,711,600.0
reinvest_restart_100pct,monthly_minimum_retain_30000,1000,200,240500.0,189971.51,430471.51,16600.0,447071.51,17000.0,85,20,0,930,600.0
monthly_one,daily_minimum_retain_31900,5000,0,361800.0,102711.75,464511.75,5000.0,469511.75,11800.0,59,20,1,19,0.0
monthly_one,weekly_excess_retain_31600,5000,0,373330.03,87940.55,461270.58,5000.0,466270.58,11800.0,59,20,1,19,0.0
monthly_one,monthly_minimum_retain_30000,5000,0,270200.0,194311.75,464511.75,5000.0,469511.75,11800.0,59,20,1,19,0.0
quarterly_one,daily_minimum_retain_31900,5000,0,172800.0,40146.34,212946.34,5000.0,217946.34,5400.0,27,9,0,0,3200.0
