account_id,cohort_month,activated_at,purchase_fee_usd,trailing_drawdown_usd,frozen_floor_profit_usd,threshold_touch_fails,starting_balance_usd,equity_profit_usd,peak_profit_usd,floor_profit_usd,alive,died_at,death_trade_key,death_reason,death_equity_usd,trades_taken,wins,losses,gross_pnl_usd,commission_usd,max_equity_profit_usd,min_equity_profit_usd,entitlement_accrued_usd,entitlement_outstanding_usd,months_accrued,payout_count,gross_paid_usd,received_usd,withdrawal_count,first_withdrawal_at,last_withdrawal_at,last_payout_at,requests_blocked,requests_withheld
1,2020-02,2020-02-07 00:00:00,200.0,1500.0,100.0,True,25000.0,-1033.05,224.45,-1275.55,False,2020-03-12 21:06:40,RR1.00:18-19:15:58,intratrade_excursion,-1298.05,132,50,81,-895.5,137.55,121.45,-1298.05,0.0,0.0,0,0,0.0,0.0,0,,,,0,12
2,2020-03,2020-03-03 00:00:00,200.0,1500.0,100.0,True,25000.0,-1108.1,149.4,-1350.6,False,2020-03-12 21:06:40,RR1.00:18-19:15:58,intratrade_excursion,-1373.1,43,13,29,-1064.0,44.1,46.4,-1373.1,0.0,0.0,0,0,0.0,0.0,0,,,,0,0
3,2020-03,2020-03-03 00:00:00,200.0,1500.0,100.0,True,25000.0,-1108.1,149.4,-1350.6,False,2020-03-12 21:06:40,RR1.00:18-19:15:58,intratrade_excursion,-1373.1,43,13,29,-1064.0,44.1,46.4,-1373.1,0.0,0.0,0,0,0.0,0.0,0,,,,0,0
5,2020-05,2020-05-09 00:00:00,200.0,1500.0,100.0,True,25000.0,125.05,2760.7,100.0,False,2021-03-08 15:30:00,RR1.00:13-14:111:411,intratrade_excursion,36.55,1160,489,670,1342.0,1216.95,2713.2,-640.35,0.0,0.0,0,0,0.0,0.0,0,,,,0,281
6,2020-05,2020-05-09 00:00:00,200.0,1500.0,100.0,True,25000.0,125.05,2760.7,100.0,False,2021-03-08 15:30:00,RR1.00:13-14:111:411,intratrade_excursion,36.55,1160,489,670,1342.0,1216.95,2713.2,-640.35,0.0,0.0,0,0,0.0,0.0,0,,,,0,281
7,2020-05,2020-05-09 00:00:00,200.0,1500.0,100.0,True,25000.0,125.05,2760.7,100.0,False,2021-03-08 15:30:00,RR1.00:13-14:111:411,intratrade_excursion,36.55,1160,489,670,1342.0,1216.95,2713.2,-640.35,0.0,0.0,0,0,0.0,0.0,0,,,,0,281
8,2020-06,2020-06-01 00:00:00,200.0,1500.0,100.0,True,25000.0,86.5,1551.35,51.35,False,2020-10-06 23:30:00,RR1.00:22-23:55:219,intratrade_excursion,-112.5,511,217,293,622.0,535.5,1510.35,-870.2,0.0,0.0,0,0,0.0,0.0,0,,,,0,98
9,2020-08,2020-08-08 00:00:00,200.0,1500.0,100.0,True,25000.0,-370.75,1094.1,-405.9,False,2020-10-06 23:30:00,RR1.00:22-23:55:219,intratrade_excursion,-569.75,246,102,143,-113.5,257.25,1053.1,-569.75,0.0,0.0,0,0,0.0,0.0,0,,,,0,36
10,2020-08,2020-08-08 00:00:00,200.0,1500.0,100.0,True,25000.0,-370.75,1094.1,-405.9,False,2020-10-06 23:30:00,RR1.00:22-23:55:219,intratrade_excursion,-569.75,246,102,143,-113.5,257.25,1053.1,-569.75,0.0,0.0,0,0,0.0,0.0,0,,,,0,36
11,2020-09,2020-09-01 00:00:00,200.0,1500.0,100.0,True,25000.0,-541.0,923.85,-576.15,False,2020-10-06 23:30:00,RR1.00:22-23:55:219,intratrade_excursion,-740.0,151,61,89,-383.5,157.5,882.85,-740.0,0.0,0.0,0,0,0.0,0.0,0,,,,0,6
