eval_id,started_at,state,months_paid,resets,trades_taken,passed_at,ended_at
66,2021-12-05 00:00:00,funded,1,0,26,2021-12-10 16:00:00,2021-12-11 00:00:00
67,2021-12-21 00:00:00,funded,1,0,13,2021-12-23 17:30:00,2021-12-24 00:00:00
68,2021-12-22 00:00:00,funded,1,0,16,2021-12-27 23:30:00,2021-12-28 00:00:00
69,2021-12-23 00:00:00,funded,8,7,131,2022-07-29 17:30:00,2022-07-30 00:00:00
70,2021-12-24 00:00:00,funded,6,5,109,2022-05-27 16:00:00,2022-05-28 00:00:00
71,2021-12-25 00:00:00,cancelled,2,1,32,,2022-02-25 00:00:00
72,2021-12-26 00:00:00,cancelled,2,1,35,,2022-02-26 00:00:00
73,2021-12-27 00:00:00,funded,2,1,35,2022-01-28 23:00:00,2022-01-29 00:00:00
74,2022-01-01 00:00:00,funded,2,1,34,2022-02-04 21:00:00,2022-02-05 00:00:00
75,2022-01-08 00:00:00,funded,1,0,11,2022-01-11 18:30:00,2022-01-12 00:00:00
76,2022-01-09 00:00:00,funded,1,0,11,2022-01-11 18:30:00,2022-01-12 00:00:00
77,2022-01-12 00:00:00,funded,2,1,40,2022-02-16 21:30:00,2022-03-01 00:00:00
78,2022-01-13 00:00:00,funded,2,1,34,2022-02-16 21:30:00,2022-03-01 00:00:00
79,2022-01-29 00:00:00,funded,1,0,20,2022-02-04 07:30:00,2022-02-05 00:00:00
80,2022-02-05 00:00:00,funded,1,0,20,2022-02-10 17:00:00,2022-02-11 00:00:00
81,2022-02-06 00:00:00,funded,1,0,20,2022-02-10 17:00:00,2022-02-11 00:00:00
82,2022-02-07 00:00:00,funded,1,0,20,2022-02-10 17:00:00,2022-02-11 00:00:00
83,2022-02-08 00:00:00,funded,1,0,14,2022-02-10 17:00:00,2022-02-11 00:00:00
84,2022-02-11 00:00:00,funded,3,2,48,2022-04-18 17:30:00,2022-05-03 00:00:00
85,2022-02-12 00:00:00,funded,1,0,16,2022-02-16 21:30:00,2022-03-01 00:00:00
86,2022-02-13 00:00:00,funded,1,0,16,2022-02-16 21:30:00,2022-03-01 00:00:00
87,2022-03-01 00:00:00,funded,2,1,48,2022-04-08 09:00:00,2022-04-09 00:00:00
88,2022-03-02 00:00:00,funded,2,1,46,2022-04-12 16:00:00,2022-04-13 00:00:00
89,2022-03-03 00:00:00,funded,2,1,42,2022-04-12 16:00:00,2022-04-13 00:00:00
90,2022-03-15 00:00:00,funded,2,1,18,2022-04-19 03:00:00,2022-05-11 00:00:00
91,2022-03-16 00:00:00,funded,2,1,14,2022-04-19 03:00:00,2022-05-11 00:00:00
92,2022-03-17 00:00:00,funded,1,0,16,2022-03-22 16:00:00,2022-03-23 00:00:00
93,2022-03-18 00:00:00,funded,1,0,12,2022-03-22 16:00:00,2022-03-23 00:00:00
94,2022-04-01 00:00:00,funded,1,0,29,2022-04-08 09:00:00,2022-04-09 00:00:00
95,2022-05-01 00:00:00,funded,3,2,40,2022-07-06 10:30:00,2022-07-07 00:00:00
