eval_id,started_at,state,months_paid,resets,trades_taken,passed_at,ended_at
1,2020-01-01 00:00:00,funded,3,1,224,2020-03-02 23:00:00,2020-03-03 00:00:00
2,2020-01-02 00:00:00,funded,3,1,224,2020-03-02 23:00:00,2020-03-03 00:00:00
3,2020-01-03 00:00:00,funded,8,6,413,2020-08-12 21:00:00,2020-08-13 00:00:00
4,2020-02-01 00:00:00,funded,2,1,101,2020-03-02 23:00:00,2020-03-03 00:00:00
5,2020-03-01 00:00:00,funded,1,0,9,2020-03-02 23:00:00,2020-03-03 00:00:00
6,2020-04-01 00:00:00,funded,2,1,60,2020-05-08 23:30:00,2020-05-09 00:00:00
7,2020-05-01 00:00:00,funded,1,0,27,2020-05-08 23:30:00,2020-05-09 00:00:00
8,2020-06-01 00:00:00,funded,3,2,154,2020-08-12 21:00:00,2020-08-13 00:00:00
9,2020-07-01 00:00:00,funded,2,1,106,2020-08-12 21:00:00,2020-08-13 00:00:00
10,2020-08-01 00:00:00,funded,1,0,43,2020-08-12 21:00:00,2020-08-13 00:00:00
11,2020-09-01 00:00:00,funded,3,2,58,2020-11-04 15:30:00,2020-11-05 00:00:00
12,2020-10-01 00:00:00,funded,2,1,33,2020-11-04 15:30:00,2020-11-05 00:00:00
13,2020-11-01 00:00:00,funded,1,0,17,2020-11-04 15:30:00,2020-11-05 00:00:00
14,2020-12-01 00:00:00,funded,2,0,138,2021-01-07 17:00:00,2021-01-08 00:00:00
15,2021-01-01 00:00:00,funded,1,0,21,2021-01-07 17:00:00,2021-01-08 00:00:00
16,2021-02-01 00:00:00,funded,6,5,261,2021-07-12 15:30:00,2021-07-13 00:00:00
17,2021-03-01 00:00:00,funded,5,4,196,2021-07-12 15:30:00,2021-07-13 00:00:00
18,2021-03-05 00:00:00,funded,7,5,299,2021-09-10 17:00:00,2021-09-11 00:00:00
19,2021-03-06 00:00:00,funded,1,0,33,2021-03-16 14:00:00,2021-03-17 00:00:00
20,2021-03-07 00:00:00,funded,1,0,33,2021-03-16 14:00:00,2021-03-17 00:00:00
21,2021-03-08 00:00:00,funded,1,0,33,2021-03-16 14:00:00,2021-03-17 00:00:00
22,2021-03-09 00:00:00,funded,1,0,10,2021-03-10 16:00:00,2021-03-11 00:00:00
23,2021-03-10 00:00:00,funded,1,0,28,2021-03-17 20:30:00,2021-03-18 00:00:00
24,2021-03-11 00:00:00,funded,1,0,24,2021-03-18 02:30:00,2021-03-19 00:00:00
25,2021-03-12 00:00:00,funded,1,0,16,2021-03-18 02:30:00,2021-03-19 00:00:00
26,2021-03-13 00:00:00,funded,4,3,215,2021-07-12 15:30:00,2021-07-13 00:00:00
27,2021-03-14 00:00:00,funded,4,3,202,2021-07-12 15:30:00,2021-07-13 00:00:00
28,2021-03-15 00:00:00,funded,4,3,190,2021-07-09 18:00:00,2021-07-10 00:00:00
29,2021-03-16 00:00:00,funded,4,3,155,2021-07-07 06:00:00,2021-07-08 00:00:00
30,2021-04-01 00:00:00,funded,4,3,181,2021-07-12 15:30:00,2021-07-13 00:00:00
31,2021-05-01 00:00:00,funded,3,2,106,2021-07-12 15:30:00,2021-07-13 00:00:00
32,2021-06-01 00:00:00,funded,2,1,72,2021-07-12 15:30:00,2021-07-13 00:00:00
33,2021-06-04 00:00:00,funded,4,2,215,2021-09-13 11:30:00,2021-09-14 00:00:00
34,2021-06-08 00:00:00,funded,4,2,162,2021-09-09 15:00:00,2021-09-10 00:00:00
35,2021-06-11 00:00:00,funded,1,0,109,2021-07-07 23:30:00,2021-07-08 00:00:00
36,2021-06-12 00:00:00,funded,2,0,117,2021-07-12 15:30:00,2021-07-13 00:00:00
37,2021-06-13 00:00:00,funded,1,0,117,2021-07-12 15:30:00,2021-07-13 00:00:00
38,2021-06-14 00:00:00,funded,1,0,117,2021-07-12 15:30:00,2021-07-13 00:00:00
39,2021-06-15 00:00:00,funded,1,0,108,2021-07-09 18:00:00,2021-07-10 00:00:00
40,2021-06-16 00:00:00,funded,1,0,85,2021-07-07 06:00:00,2021-07-08 00:00:00
41,2021-06-17 00:00:00,funded,1,0,80,2021-07-07 06:00:00,2021-07-08 00:00:00
42,2021-06-18 00:00:00,funded,1,0,90,2021-07-09 18:00:00,2021-07-10 00:00:00
43,2022-05-13 00:00:00,funded,3,2,50,2022-07-20 03:30:00,2022-07-21 00:00:00
44,2022-05-14 00:00:00,funded,3,2,39,2022-07-20 18:00:00,2022-07-21 00:00:00
45,2022-05-15 00:00:00,funded,3,2,68,2022-07-28 21:00:00,2022-07-29 00:00:00
46,2022-05-16 00:00:00,funded,3,2,63,2022-07-28 23:30:00,2022-07-29 00:00:00
47,2022-05-17 00:00:00,funded,2,1,34,2022-06-21 17:00:00,2022-06-22 00:00:00
48,2022-05-18 00:00:00,funded,3,2,81,2022-07-28 23:30:00,2022-07-29 00:00:00
49,2022-05-19 00:00:00,funded,3,2,72,2022-07-28 23:30:00,2022-07-29 00:00:00
50,2022-05-20 00:00:00,funded,3,2,76,2022-07-29 17:30:00,2022-07-30 00:00:00
51,2022-05-21 00:00:00,funded,3,2,58,2022-07-29 17:30:00,2022-07-30 00:00:00
52,2022-05-22 00:00:00,funded,3,2,51,2022-08-01 11:00:00,2022-08-02 00:00:00
53,2022-05-23 00:00:00,funded,3,2,49,2022-07-29 21:00:00,2022-07-30 00:00:00
54,2022-05-24 00:00:00,funded,1,0,24,2022-05-27 17:00:00,2022-05-28 00:00:00
55,2022-05-25 00:00:00,funded,1,0,20,2022-05-27 17:00:00,2022-05-28 00:00:00
56,2022-05-26 00:00:00,funded,1,0,13,2022-05-27 16:00:00,2022-05-28 00:00:00
57,2022-05-27 00:00:00,funded,1,0,8,2022-05-30 07:00:00,2022-05-31 00:00:00
58,2022-05-28 00:00:00,funded,3,2,47,2022-07-29 17:30:00,2022-07-30 00:00:00
59,2022-05-29 00:00:00,funded,3,2,51,2022-08-03 17:00:00,2022-08-04 00:00:00
60,2022-05-30 00:00:00,funded,2,1,61,2022-07-07 21:00:00,2022-07-08 00:00:00
61,2022-05-31 00:00:00,funded,2,1,58,2022-07-07 21:00:00,2022-07-08 00:00:00
62,2022-06-01 00:00:00,funded,2,1,45,2022-07-07 17:00:00,2022-07-08 00:00:00
63,2022-07-01 00:00:00,funded,1,0,26,2022-07-07 17:00:00,2022-07-08 00:00:00
64,2022-07-02 00:00:00,funded,1,0,20,2022-07-07 17:00:00,2022-07-08 00:00:00
65,2022-07-03 00:00:00,funded,1,0,20,2022-07-07 17:00:00,2022-07-08 00:00:00
66,2022-07-04 00:00:00,funded,1,0,20,2022-07-07 17:00:00,2022-07-08 00:00:00
