account_id,rr,activated_at,alive,died_at
1,0.50,2020-01-01T00:00:00,True,
2,2.50,2020-02-01T00:00:00,False,2020-02-28T11:25:40
3,0.50,2020-03-01T00:00:00,True,
4,2.50,2020-04-01T00:00:00,True,
5,0.50,2020-05-01T00:00:00,False,2020-12-14T22:45:20
6,2.50,2020-06-01T00:00:00,False,2020-06-26T05:16:40
7,0.50,2020-07-01T00:00:00,False,2020-12-11T18:37:40
8,2.50,2020-08-01T00:00:00,True,
9,0.50,2020-09-01T00:00:00,False,2020-11-17T16:38:40
10,2.50,2020-10-01T00:00:00,False,2020-10-29T20:30:00
11,0.50,2020-11-01T00:00:00,False,2020-11-17T16:38:40
12,2.50,2020-12-01T00:00:00,False,2021-03-05T14:30:00
13,0.50,2021-01-01T00:00:00,False,2021-05-19T09:35:40
14,2.50,2021-02-01T00:00:00,False,2021-03-05T16:57:40
15,0.50,2021-03-01T00:00:00,False,2021-05-17T10:30:40
16,2.50,2021-04-01T00:00:00,False,2021-05-06T04:30:00
17,0.50,2021-05-01T00:00:00,False,2021-05-17T18:51:40
18,2.50,2021-06-01T00:00:00,False,2021-07-19T11:39:40
19,0.50,2021-07-01T00:00:00,True,
20,2.50,2021-08-01T00:00:00,False,2021-09-20T14:26:40
21,0.50,2021-09-01T00:00:00,True,
22,2.50,2021-10-01T00:00:00,True,
23,0.50,2021-11-01T00:00:00,False,2022-01-07T17:38:40
24,2.50,2021-12-01T00:00:00,False,2021-12-06T16:36:40
25,0.50,2022-01-01T00:00:00,True,
26,2.50,2022-02-01T00:00:00,False,2022-02-14T14:12:40
27,0.50,2022-03-01T00:00:00,False,2022-05-12T11:45:40
28,2.50,2022-04-01T00:00:00,False,2022-05-04T20:00:00
29,0.50,2022-05-01T00:00:00,False,2022-05-12T14:48:40
30,2.50,2022-06-01T00:00:00,False,2022-06-09T20:32:40
31,0.50,2022-07-01T00:00:00,False,2023-10-25T23:06:20
32,2.50,2022-08-01T00:00:00,False,2022-12-12T20:13:40
33,0.50,2022-09-01T00:00:00,False,2022-11-03T19:00:00
34,2.50,2022-10-01T00:00:00,False,2022-10-12T23:30:00
35,0.50,2022-11-01T00:00:00,False,2022-11-14T20:30:00
36,2.50,2022-12-01T00:00:00,False,2022-12-23T15:30:20
37,0.50,2023-01-01T00:00:00,False,2023-02-24T16:45:40
38,2.50,2023-02-01T00:00:00,False,2023-02-23T17:07:40
39,0.50,2023-03-01T00:00:00,False,2023-10-03T07:59:40
40,2.50,2023-04-01T00:00:00,False,2023-05-05T17:00:00
41,0.50,2023-05-01T00:00:00,False,2023-09-28T18:30:00
42,2.50,2023-06-01T00:00:00,False,2023-07-07T07:23:20
43,0.50,2023-07-01T00:00:00,False,2023-09-28T18:30:00
44,2.50,2023-08-01T00:00:00,False,2023-09-28T11:02:40
45,0.50,2023-09-01T00:00:00,False,2023-09-28T18:30:00
46,2.50,2023-10-01T00:00:00,False,2023-10-23T22:12:40
47,0.50,2023-11-01T00:00:00,True,
48,2.50,2023-12-01T00:00:00,True,
49,0.50,2024-01-01T00:00:00,True,
50,2.50,2024-02-01T00:00:00,False,2024-03-15T13:47:40
51,0.50,2024-03-01T00:00:00,False,2024-04-30T19:32:40
52,2.50,2024-04-01T00:00:00,False,2024-04-12T17:07:40
53,0.50,2024-05-01T00:00:00,True,
54,2.50,2024-06-01T00:00:00,False,2024-07-31T11:10:40
55,0.50,2024-07-01T00:00:00,False,2024-07-25T15:30:20
56,2.50,2024-08-01T00:00:00,False,2024-08-02T15:30:40
57,0.50,2024-09-01T00:00:00,True,
58,2.50,2024-10-01T00:00:00,True,
59,0.50,2024-11-01T00:00:00,True,
60,2.50,2024-12-01T00:00:00,True,
61,0.50,2025-01-01T00:00:00,False,2025-03-11T19:21:40
62,2.50,2025-02-01T00:00:00,False,2025-02-26T23:20:20
63,0.50,2025-03-01T00:00:00,False,2025-03-10T19:02:40
64,2.50,2025-04-01T00:00:00,False,2025-04-04T03:47:40
65,0.50,2025-05-01T00:00:00,True,
66,2.50,2025-06-01T00:00:00,True,
67,0.50,2025-07-01T00:00:00,False,2025-08-04T16:30:00
68,2.50,2025-08-01T00:00:00,False,2025-09-02T18:36:40
69,0.50,2025-09-01T00:00:00,True,
70,2.50,2025-10-01T00:00:00,False,2025-11-21T06:18:40
71,0.50,2025-11-01T00:00:00,False,2026-02-17T07:17:40
72,2.50,2025-12-01T00:00:00,False,2025-12-09T12:39:40
73,0.50,2026-01-01T00:00:00,False,2026-02-02T07:30:40
74,2.50,2026-02-01T00:00:00,False,2026-02-05T15:50:40
75,0.50,2026-03-01T00:00:00,False,2026-03-09T08:30:00
76,2.50,2026-04-01T00:00:00,False,2026-04-07T18:00:40
77,0.50,2026-05-01T00:00:00,True,
78,2.50,2026-06-01T00:00:00,False,2026-06-03T23:30:00
79,0.50,2026-07-01T00:00:00,True,
