at,account_id,trade_key,entry_at,equity_before,floor_before,mae,mfe,gross_pnl,adverse_equity,equity_after,floor_after,alive_after,death_equity
2026-03-02T03:30:00,42,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,43,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,44,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,45,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,46,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,47,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,48,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,49,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,50,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,51,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,52,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,53,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,54,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,55,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,56,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,57,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,58,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,59,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,60,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T03:30:00,61,RR1.00:2-3:555:2093,2026-03-02T02:50:40,4503.4,100.0,-17.0,229.5,184.0,4486.4,4686.35,100.0,True,
2026-03-02T11:30:00,42,RR1.00:10-11:584:2112,2026-03-02T10:40:40,4686.35,100.0,-24.0,193.0,165.5,4662.35,4850.8,100.0,True,
2026-03-02T11:30:00,43,RR1.00:10-11:584:2112,2026-03-02T10:40:40,4686.35,100.0,-24.0,193.0,165.5,4662.35,4850.8,100.0,True,
2026-03-02T11:30:00,44,RR1.00:10-11:584:2112,2026-03-02T10:40:40,4686.35,100.0,-24.0,193.0,165.5,4662.35,4850.8,100.0,True,
2026-03-02T11:30:00,45,RR1.00:10-11:584:2112,2026-03-02T10:40:40,4686.35,100.0,-24.0,193.0,165.5,4662.35,4850.8,100.0,True,
2026-03-02T11:30:00,46,RR1.00:10-11:584:2112,2026-03-02T10:40:40,4686.35,100.0,-24.0,193.0,165.5,4662.35,4850.8,100.0,True,
2026-03-02T11:30:00,47,RR1.00:10-11:584:2112,2026-03-02T10:40:40,4686.35,100.0,-24.0,193.0,165.5,4662.35,4850.8,100.0,True,
2026-03-02T11:30:00,48,RR1.00:10-11:584:2112,2026-03-02T10:40:40,4686.35,100.0,-24.0,193.0,165.5,4662.35,4850.8,100.0,True,
