policy,retained_balance_usd,headroom_usd,ongoing_pocket_usd,terminal_received_usd,combined_pocket_usd,alive_before_terminal,ongoing_payouts,terminal_payouts,profit_before_terminal_usd,profit_after_terminal_usd,booked_net_trading_usd,firm_split_usd,path_ceiling_usd,unextracted_usd,path_fingerprint,stage,copies_checked,alive_rr050,alive_rr250,trading_neutral,earnings_vs_benchmark_usd,book_ceiling_usd,ceiling_capture
fixed_1000_backlog,,,51462.7,0.0,51462.7,3,56,0,6556.95,6556.95,53955.0,0.0,58019.65,6556.95,71e74ca47b78b63b7418544fd1536e80e11c21706faaa25aac4416c15b00ed58,coarse,33982,2,1,False,-473819.4,535885.1,0.096033
fixed_1000_backlog,25100.0,0.0,51462.7,0.0,51462.7,3,56,0,6556.95,6556.95,53955.0,0.0,58019.65,6556.95,71e74ca47b78b63b7418544fd1536e80e11c21706faaa25aac4416c15b00ed58,coarse,33982,2,1,False,-473819.4,535885.1,0.096033
fixed_1000_backlog,25600.0,500.0,51462.7,0.0,51462.7,3,56,0,6556.95,6556.95,53955.0,0.0,58019.65,6556.95,71e74ca47b78b63b7418544fd1536e80e11c21706faaa25aac4416c15b00ed58,coarse,33982,2,1,False,-473819.4,535885.1,0.096033
fixed_1000_backlog,26100.0,1000.0,50934.4,0.0,50934.4,3,56,0,6556.95,6556.95,53487.7,0.0,57491.35,6556.95,0fdeb329e086641a15fa7a087adf1f2f521388a5c776b6043d4071c191bb1a9a,coarse,34038,2,1,False,-474286.7,535885.1,0.095047
fixed_1000_backlog,26600.0,1500.0,47713.45,0.0,47713.45,3,54,0,6556.95,6556.95,50620.35,0.0,54270.4,6556.95,677a41bfb4d959d6fbd33f46c952e0528ea237f139a1a37aae7c2f66df60a01a,coarse,38378,2,1,False,-477154.05,535885.1,0.089037
fixed_1000_backlog,27100.0,2000.0,71230.5,0.0,71230.5,3,72,0,6556.95,6556.95,74501.95,0.0,77787.45,6556.95,3016646beba84f1576e91e6c75eb261061abac973e6ee9c2e3d6b3107a8bd93c,coarse,50566,2,1,False,-453272.45,535885.1,0.132921
fixed_1000_backlog,27600.0,2500.0,130077.65,1912.14,131989.79,5,111,1,11902.05,9989.91,138330.5,0.0,141979.7,9989.91,504b4b8a27289f98c03740b22e6f9c90dedf4a30550bb3ea34bed9fc6bfe809f,coarse,63153,4,1,False,-389443.9,535885.1,0.246302
fixed_1000_backlog,28100.0,3000.0,244379.7,9648.56,254028.26,10,168,4,27780.4,18131.84,267678.85,0.0,272160.1,18131.84,f2981a467b63fd7cfe824ea851839201e5826ae80ad98705ba7b5a39855b659f,coarse,78951,9,1,False,-260095.55,535885.1,0.474035
fixed_1000_backlog,28600.0,3500.0,264990.6,20384.98,285375.58,13,184,7,39992.05,19607.07,298601.75,0.0,304982.65,19607.07,2341a8eae94352fc5b98b71868b203699a764608782e23adf645a81429e01341,coarse,85340,12,1,False,-229172.65,535885.1,0.532531
fixed_1000_backlog,29100.0,4000.0,279450.56,23884.98,303335.54,13,196,7,44992.05,21107.07,318614.6,307.89,324750.5,21414.96,00e28137194e1c70dd88a4838e43f86c4bc8978a403613b69c17ed66ed8d1258,coarse,89883,12,1,False,-209159.8,535885.1,0.566046
fixed_1000_backlog,29200.0,4100.0,328399.55,24584.98,352984.53,13,225,7,45992.05,21407.07,369266.9,1368.0,375759.6,22775.07,2cbc301873423d90aa42405f5b6c923138f8d2aa443122e603d419430a22dac4,local_refinement,98517,12,1,False,-158507.5,535885.1,0.658694
fixed_1000_backlog,29300.0,4200.0,325535.3,26784.98,352320.28,13,223,8,47486.3,20701.32,369095.8,1338.0,374359.6,22039.32,ab339d63ebcd888955034b60c12fe13028cf59c4c31bbc2355cee1d7774843de,local_refinement,98519,12,1,False,-158678.6,535885.1,0.657455
fixed_1000_backlog,29400.0,4300.0,374955.32,27484.98,402440.3,13,250,8,48386.3,20901.32,419484.4,1623.58,424965.2,22524.9,9809ea6a002ed2f67a39afaece2d9946d341bd661152f0a4dd01dbb322d9c753,local_refinement,107127,12,1,False,-108290.0,535885.1,0.750982
fixed_1000_backlog,29500.0,4400.0,372705.32,28184.98,400890.3,13,248,8,49286.3,21101.32,417495.7,1573.58,423565.2,22674.9,aa7962035d53f8f372ebbf8f82d0033f39c95187c8534cf882b189fa212212d7,local_refinement,107141,12,1,False,-110278.7,535885.1,0.74809
fixed_1000_backlog,29600.0,4500.0,415319.38,80269.97,495589.35,27,264,20,117169.2,32747.14,527774.4,7548.61,535885.1,40295.75,6f3bdaca05c979a8d4161f3935031b286969e333d0777e4b10b36afbeeada590,coarse,111593,12,15,True,0.0,535885.1,0.924805
fixed_1000_backlog,29700.0,4600.0,413038.7,82105.65,495144.35,27,262,20,119514.2,33192.14,527774.4,7548.61,535885.1,40740.75,6f3bdaca05c979a8d4161f3935031b286969e333d0777e4b10b36afbeeada590,local_refinement,111593,12,15,True,0.0,535885.1,0.923975
