cohort,rr,accepted,closed,open_at_end,position_hours,calendar_time_occupied_fraction
12m_2020-01-01,0.50,1574,1574,0,1780.9,0.2027436247723133
12m_2020-01-01,0.75,1472,1472,0,2126.561388888889,0.2420948757842542
12m_2020-01-01,1.00,1395,1395,0,2341.944722222222,0.266614836318559
12m_2020-01-01,1.25,1325,1325,0,2534.711388888889,0.28856003971868044
12m_2020-01-01,1.50,1267,1267,0,2675.8725,0.304630293715847
12m_2020-01-01,1.75,1221,1221,0,2798.9058333333332,0.3186368207346691
12m_2020-01-01,2.00,1177,1177,0,2943.588888888889,0.33510802469135803
12m_2020-01-01,2.25,1133,1133,0,3062.3333333333335,0.3486262902246509
12m_2020-01-01,2.50,1098,1098,0,3134.761111111111,0.35687171119206634
12m_2020-01-01,2.75,1067,1067,0,3195.238888888889,0.3637567041084801
12m_2020-01-01,3.00,1039,1039,0,3254.9558333333334,0.3705550812082575
12m_2020-01-01,3.25,1015,1015,0,3330.5444444444443,0.37916034203602506
12m_2020-01-01,3.50,998,998,0,3393.938888888889,0.3863773780611212
12m_2020-04-01,0.50,1577,1577,0,1734.2555555555555,0.1979743784880771
12m_2020-04-01,0.75,1469,1469,0,2054.3166666666666,0.23451103500761034
12m_2020-04-01,1.00,1395,1395,0,2318.7833333333333,0.26470129375951296
12m_2020-04-01,1.25,1331,1331,0,2506.788888888889,0.28616311516996445
12m_2020-04-01,1.50,1260,1260,0,2657.488888888889,0.30336631151699645
12m_2020-04-01,1.75,1214,1214,0,2764.3055555555557,0.3155599949264333
12m_2020-04-01,2.00,1171,1171,0,2892.677777777778,0.3302143581938103
12m_2020-04-01,2.25,1125,1125,0,3019.6833333333334,0.3447127092846271
12m_2020-04-01,2.50,1092,1092,0,3098.3611111111113,0.3536941907661086
12m_2020-04-01,2.75,1060,1060,0,3170.688888888889,0.3619507864028412
12m_2020-04-01,3.00,1039,1039,0,3222.1055555555554,0.367820268899036
12m_2020-04-01,3.25,1022,1022,0,3277.7,0.37416666666666665
12m_2020-04-01,3.50,996,996,0,3362.9555555555557,0.3838990360223237
12m_2020-07-01,0.50,1587,1587,0,1768.9833333333333,0.20193873668188736
12m_2020-07-01,0.75,1479,1479,0,2071.2722222222224,0.23644660071029935
12m_2020-07-01,1.00,1414,1414,0,2320.6222222222223,0.2649112125824455
12m_2020-07-01,1.25,1347,1347,0,2494.15,0.28472031963470323
12m_2020-07-01,1.50,1283,1283,0,2619.788888888889,0.2990626585489599
12m_2020-07-01,1.75,1228,1228,0,2739.3166666666666,0.3127073820395738
12m_2020-07-01,2.00,1178,1178,0,2874.6444444444446,0.32815575849822426
12m_2020-07-01,2.25,1143,1143,0,2988.8944444444446,0.34119799594114664
12m_2020-07-01,2.50,1115,1115,0,3077.038888888889,0.3512601471334348
12m_2020-07-01,2.75,1087,1087,0,3152.05,0.3598230593607306
12m_2020-07-01,3.00,1062,1062,0,3215.1666666666665,0.36702815829528157
12m_2020-07-01,3.25,1048,1048,0,3269.438888888889,0.3732236174530695
12m_2020-07-01,3.50,1026,1026,0,3388.988888888889,0.38687087772704215
12m_2020-10-01,0.50,1595,1595,0,1729.9277777777777,0.19748033992897004
12m_2020-10-01,0.75,1483,1483,0,2026.4,0.23132420091324202
12m_2020-10-01,1.00,1404,1404,0,2297.9,0.26231735159817354
12m_2020-10-01,1.25,1341,1341,0,2474.7555555555555,0.28250634195839675
12m_2020-10-01,1.50,1274,1274,0,2601.7277777777776,0.29700088787417556
12m_2020-10-01,1.75,1224,1224,0,2719.45,0.31043949771689494
