cohort,rr,accepted,closed,open_at_end,position_hours,calendar_time_occupied_fraction
12m_2020-10-01,2.00,1182,1182,0,2839.0777777777776,0.324095636732623
12m_2020-10-01,2.25,1151,1151,0,2929.1555555555556,0.33437848807711823
12m_2020-10-01,2.50,1128,1128,0,3006.422222222222,0.34319888381532215
12m_2020-10-01,2.75,1108,1108,0,3075.238888888889,0.35105466768138005
12m_2020-10-01,3.00,1087,1087,0,3126.1277777777777,0.3568639015728057
12m_2020-10-01,3.25,1070,1070,0,3182.8277777777776,0.36333650431253167
12m_2020-10-01,3.50,1047,1047,0,3300.4222222222224,0.37676052765093865
12m_2021-01-01,0.50,1582,1582,0,1758.4888888888888,0.20074074074074072
12m_2021-01-01,0.75,1480,1480,0,2039.2166666666667,0.2327872907153729
12m_2021-01-01,1.00,1399,1399,0,2325.483333333333,0.26546613394216134
12m_2021-01-01,1.25,1344,1344,0,2505.061111111111,0.28596588026382547
12m_2021-01-01,1.50,1278,1278,0,2646.0944444444444,0.3020655758498224
12m_2021-01-01,1.75,1232,1232,0,2770.6833333333334,0.31628805175038055
12m_2021-01-01,2.00,1193,1193,0,2911.288888888889,0.33233891425672246
12m_2021-01-01,2.25,1164,1164,0,2993.0222222222224,0.3416692034500254
12m_2021-01-01,2.50,1141,1141,0,3080.3444444444444,0.3516374936580416
12m_2021-01-01,2.75,1118,1118,0,3154.5,0.3601027397260274
12m_2021-01-01,3.00,1097,1097,0,3199.366666666667,0.36522450532724504
12m_2021-01-01,3.25,1082,1082,0,3244.0666666666666,0.37032724505327247
12m_2021-01-01,3.50,1060,1060,0,3351.311111111111,0.3825697615423643
12m_2021-04-01,0.50,1597,1597,0,1772.111111111111,0.20229578893962455
12m_2021-04-01,0.75,1489,1489,0,2060.6277777777777,0.23523148148148149
12m_2021-04-01,1.00,1400,1400,0,2288.8444444444444,0.2612836123795028
12m_2021-04-01,1.25,1342,1342,0,2432.1111111111113,0.27763825469304926
12m_2021-04-01,1.50,1286,1286,0,2555.761111111111,0.2917535514967022
12m_2021-04-01,1.75,1240,1240,0,2753.1388888888887,0.31428526128868595
12m_2021-04-01,2.00,1206,1206,0,2882.7555555555555,0.32908168442415014
12m_2021-04-01,2.25,1172,1172,0,2977.3777777777777,0.33988330796549976
12m_2021-04-01,2.50,1150,1150,0,3040.572222222222,0.3470972856418062
12m_2021-04-01,2.75,1126,1126,0,3113.4777777777776,0.35541983764586504
12m_2021-04-01,3.00,1108,1108,0,3161.1944444444443,0.3608669457128361
12m_2021-04-01,3.25,1084,1084,0,3265.6944444444443,0.37279616945712835
12m_2021-04-01,3.50,1072,1072,0,3365.6,0.3842009132420091
12m_2021-07-01,0.50,1615,1615,0,1748.0833333333333,0.19955289193302891
12m_2021-07-01,0.75,1502,1502,0,2030.85,0.2318321917808219
12m_2021-07-01,1.00,1404,1404,0,2263.6833333333334,0.25841133942161343
12m_2021-07-01,1.25,1352,1352,0,2410.0222222222224,0.2751166920345003
12m_2021-07-01,1.50,1301,1301,0,2549.35,0.2910216894977169
12m_2021-07-01,1.75,1267,1267,0,2722.733333333333,0.31081430745814304
12m_2021-07-01,2.00,1239,1239,0,2835.35,0.3236700913242009
12m_2021-07-01,2.25,1200,1200,0,2920.8166666666666,0.3334265601217656
12m_2021-07-01,2.50,1176,1176,0,2986.3166666666666,0.34090372907153726
12m_2021-07-01,2.75,1154,1154,0,3048.15,0.3479623287671233
12m_2021-07-01,3.00,1136,1136,0,3089.7944444444443,0.3527162607813292
12m_2021-07-01,3.25,1108,1108,0,3181.761111111111,0.36321473871131404
12m_2021-07-01,3.50,1094,1094,0,3225.238888888889,0.3681779553526129
12m_2021-10-01,0.50,1633,1633,0,1748.5277777777778,0.19960362760020295
12m_2021-10-01,0.75,1523,1523,0,2028.3444444444444,0.23154616945712836
12m_2021-10-01,1.00,1420,1420,0,2253.9333333333334,0.2572983257229833
12m_2021-10-01,1.25,1363,1363,0,2406.8333333333335,0.27475266362252665
12m_2021-10-01,1.50,1314,1314,0,2547.761111111111,0.2908403094875697
12m_2021-10-01,1.75,1267,1267,0,2727.3944444444446,0.3113463977676307
12m_2021-10-01,2.00,1235,1235,0,2844.0,0.32465753424657534
12m_2021-10-01,2.25,1197,1197,0,2936.75,0.33524543378995436
12m_2021-10-01,2.50,1172,1172,0,3002.4555555555557,0.34274606798579405
12m_2021-10-01,2.75,1152,1152,0,3062.6388888888887,0.3496163115169964
12m_2021-10-01,3.00,1130,1130,0,3099.866666666667,0.3538660578386606
12m_2021-10-01,3.25,1104,1104,0,3185.15,0.363601598173516
12m_2021-10-01,3.50,1092,1092,0,3227.7444444444445,0.36846397767630645
12m_2022-01-01,0.50,1639,1639,0,1645.7111111111112,0.18786656519533232
12m_2022-01-01,0.75,1535,1535,0,1910.1444444444444,0.21805301877219685
12m_2022-01-01,1.00,1434,1434,0,2127.588888888889,0.2428754439370878
12m_2022-01-01,1.25,1375,1375,0,2280.4944444444445,0.2603304160324708
12m_2022-01-01,1.50,1323,1323,0,2426.6111111111113,0.2770104008117707
12m_2022-01-01,1.75,1274,1274,0,2601.7944444444443,0.2970084982242516
12m_2022-01-01,2.00,1237,1237,0,2704.9055555555556,0.30877917300862506
12m_2022-01-01,2.25,1201,1201,0,2790.0,0.3184931506849315
12m_2022-01-01,2.50,1173,1173,0,2853.8722222222223,0.32578450025367833
12m_2022-01-01,2.75,1155,1155,0,2923.1111111111113,0.33368848300355153
12m_2022-01-01,3.00,1132,1132,0,2960.4555555555557,0.33795154743784883
12m_2022-01-01,3.25,1106,1106,0,3048.483333333333,0.34800038051750376
12m_2022-01-01,3.50,1091,1091,0,3098.7722222222224,0.3537411212582446
12m_2022-04-01,0.50,1612,1612,0,1640.2611111111112,0.18724441907661085
12m_2022-04-01,0.75,1521,1521,0,1895.7833333333333,0.21641362252663623
12m_2022-04-01,1.00,1426,1426,0,2109.383333333333,0.24079718417047183
12m_2022-04-01,1.25,1369,1369,0,2366.6,0.27015981735159816
12m_2022-04-01,1.50,1320,1320,0,2526.0055555555555,0.28835679857940133
12m_2022-04-01,1.75,1266,1266,0,2662.188888888889,0.3039028411973617
12m_2022-04-01,2.00,1227,1227,0,2771.983333333333,0.3164364535768645
12m_2022-04-01,2.25,1182,1182,0,2872.822222222222,0.32794774226281076
12m_2022-04-01,2.50,1159,1159,0,2931.777777777778,0.33467782851344496
12m_2022-04-01,2.75,1145,1145,0,2995.4055555555556,0.34194127346524605
12m_2022-04-01,3.00,1117,1117,0,3039.8166666666666,0.3470110350076103
12m_2022-04-01,3.25,1094,1094,0,3082.7333333333336,0.351910197869102
12m_2022-04-01,3.50,1079,1079,0,3141.8,0.3586529680365297
12m_2022-07-01,0.50,1612,1612,0,1713.0775,0.19555679223744293
12m_2022-07-01,0.75,1525,1525,0,1976.0277777777778,0.22557394723490615
12m_2022-07-01,1.00,1442,1442,0,2209.572222222222,0.25223427194317605
12m_2022-07-01,1.25,1383,1383,0,2464.6666666666665,0.2813546423135464
12m_2022-07-01,1.50,1333,1333,0,2617.6111111111113,0.29881405377980724
12m_2022-07-01,1.75,1270,1270,0,2766.6666666666665,0.3158295281582953
12m_2022-07-01,2.00,1234,1234,0,2872.7166666666667,0.32793569254185695
12m_2022-07-01,2.25,1186,1186,0,2978.988888888889,0.3400672247590056
12m_2022-07-01,2.50,1164,1164,0,3030.7166666666667,0.34597222222222224
12m_2022-07-01,2.75,1144,1144,0,3096.488888888889,0.35348046676813805
12m_2022-07-01,3.00,1119,1119,0,3145.6111111111113,0.35908802638254694
12m_2022-07-01,3.25,1095,1095,0,3196.5222222222224,0.36489979705733133
12m_2022-07-01,3.50,1081,1081,0,3262.9666666666667,0.3724847792998478
12m_2022-10-01,0.50,1624,1624,0,1707.3775,0.19490610730593608
12m_2022-10-01,0.75,1544,1544,0,1961.0,0.22385844748858447
12m_2022-10-01,1.00,1465,1465,0,2186.777777777778,0.24963216641298833
12m_2022-10-01,1.25,1405,1405,0,2427.9333333333334,0.2771613394216134
12m_2022-10-01,1.50,1359,1359,0,2571.5444444444443,0.2935553018772197
12m_2022-10-01,1.75,1306,1306,0,2713.177777777778,0.3097234906139016
12m_2022-10-01,2.00,1266,1266,0,2804.05,0.32009703196347034
12m_2022-10-01,2.25,1202,1202,0,2948.5555555555557,0.33659309994926434
12m_2022-10-01,2.50,1175,1175,0,3010.233333333333,0.3436339421613394
12m_2022-10-01,2.75,1151,1151,0,3077.027777777778,0.3512588787417555
12m_2022-10-01,3.00,1125,1125,0,3132.983333333333,0.35764649923896497
12m_2022-10-01,3.25,1100,1100,0,3184.261111111111,0.36350012683916794
12m_2022-10-01,3.50,1088,1088,0,3255.188888888889,0.3715969051243024
12m_2023-01-01,0.50,1640,1640,0,1786.4886111111111,0.20393705606291224
12m_2023-01-01,0.75,1543,1543,0,2063.6722222222224,0.23557902080162357
12m_2023-01-01,1.00,1456,1456,0,2323.7555555555555,0.2652688990360223
12m_2023-01-01,1.25,1399,1399,0,2559.3055555555557,0.29215816844241504
12m_2023-01-01,1.50,1356,1356,0,2693.9944444444445,0.3075336123795028
12m_2023-01-01,1.75,1300,1300,0,2761.7444444444445,0.315267630644343
12m_2023-01-01,2.00,1260,1260,0,2846.9666666666667,0.32499619482496195
12m_2023-01-01,2.25,1194,1194,0,2999.75,0.34243721461187215
12m_2023-01-01,2.50,1167,1167,0,3133.8611111111113,0.35774670218163374
12m_2023-01-01,2.75,1143,1143,0,3190.5,0.3642123287671233
12m_2023-01-01,3.00,1120,1120,0,3246.8055555555557,0.37063990360223237
12m_2023-01-01,3.25,1098,1098,0,3297.8555555555554,0.37646752917300863
12m_2023-01-01,3.50,1091,1091,0,3352.411111111111,0.38269533231861996
12m_2023-04-01,0.50,1653,1653,0,1864.816388888889,0.2122969477332524
12m_2023-04-01,0.75,1547,1547,0,2150.6833333333334,0.24484099878567092
12m_2023-04-01,1.00,1460,1460,0,2430.8,0.27673041894353373
12m_2023-04-01,1.25,1399,1399,0,2610.8166666666666,0.2972241196114147
12m_2023-04-01,1.50,1353,1353,0,2762.8944444444446,0.3145371635296499
12m_2023-04-01,1.75,1301,1301,0,2809.733333333333,0.31986945962355795
12m_2023-04-01,2.00,1268,1268,0,2885.9666666666667,0.32854811778992105
12m_2023-04-01,2.25,1215,1215,0,3003.1222222222223,0.34188549888686504
12m_2023-04-01,2.50,1177,1176,1,3258.711111111111,0.3709825946164744
12m_2023-04-01,2.75,1150,1149,1,3317.3722222222223,0.3776607721109087
12m_2023-04-01,3.00,1131,1130,1,3362.288888888889,0.38277423598461846
12m_2023-04-01,3.25,1116,1115,1,3404.8944444444446,0.38762459522363896
12m_2023-04-01,3.50,1096,1095,1,3466.4,0.39462659380692167
12m_2023-07-01,0.50,1643,1643,0,1805.2111111111112,0.20551128314106457
12m_2023-07-01,0.75,1540,1540,0,2088.8277777777776,0.23779915502934626
12m_2023-07-01,1.00,1445,1445,0,2351.9777777777776,0.2677570329892734
12m_2023-07-01,1.25,1379,1379,0,2541.9166666666665,0.2893803126897389
12m_2023-07-01,1.50,1323,1323,0,2698.2722222222224,0.307180353167375
12m_2023-07-01,1.75,1275,1275,0,2745.322222222222,0.31253668285772107
12m_2023-07-01,2.00,1241,1241,0,2835.1277777777777,0.32276044828981987
12m_2023-07-01,2.25,1193,1193,0,2954.766666666667,0.33638054037644205
12m_2023-07-01,2.50,1145,1145,0,3224.1055555555554,0.3670429821898401
12m_2023-07-01,2.75,1122,1122,0,3288.15,0.37433401639344266
12m_2023-07-01,3.00,1105,1105,0,3321.4944444444445,0.37813005970451324
12m_2023-07-01,3.25,1093,1093,0,3373.3777777777777,0.38403663226067597
12m_2023-07-01,3.50,1069,1069,0,3440.383333333333,0.3916647692774742
12m_2023-10-01,0.50,1626,1626,0,1852.3222222222223,0.21087456992511638
12m_2023-10-01,0.75,1508,1508,0,2148.7166666666667,0.24461710686095933
12m_2023-10-01,1.00,1412,1412,0,2441.1388888888887,0.27790743270592994
12m_2023-10-01,1.25,1346,1346,0,2648.3611111111113,0.3014983049989881
12m_2023-10-01,1.50,1292,1292,0,2815.9944444444445,0.320582245496863
12m_2023-10-01,1.75,1234,1234,0,2862.538888888889,0.32588102104837074
12m_2023-10-01,2.00,1195,1195,0,2961.95,0.33719831511839704
12m_2023-10-01,2.25,1171,1171,0,3026.05,0.3444956739526412
12m_2023-10-01,2.50,1127,1127,0,3286.3888888888887,0.37413352560210483
12m_2023-10-01,2.75,1105,1105,0,3355.972222222222,0.38205512548067194
12m_2023-10-01,3.00,1096,1096,0,3397.411111111111,0.38677266747621936
12m_2023-10-01,3.25,1082,1082,0,3463.072222222222,0.3942477484314916
12m_2023-10-01,3.50,1052,1052,0,3526.016666666667,0.40141355494839104
12m_2024-01-01,0.50,1598,1598,0,1873.25,0.21325705828779598
12m_2024-01-01,0.75,1491,1491,0,2180.1722222222224,0.24819811273021658
12m_2024-01-01,1.00,1404,1404,0,2444.2944444444443,0.27826667172637115
12m_2024-01-01,1.25,1328,1328,0,2657.2555555555555,0.3025108783647035
12m_2024-01-01,1.50,1269,1269,0,2837.2722222222224,0.3230045790325845
12m_2024-01-01,1.75,1216,1216,0,2963.411111111111,0.33736465290427037
12m_2024-01-01,2.00,1178,1178,0,3060.161111111111,0.34837899716656545
12m_2024-01-01,2.25,1154,1154,0,3115.538888888889,0.35468338899008295
12m_2024-01-01,2.50,1112,1112,0,3289.8166666666666,0.3745237553126897
12m_2024-01-01,2.75,1091,1091,0,3358.2277777777776,0.38231190548471966
12m_2024-01-01,3.00,1081,1081,0,3411.6055555555554,0.3883886106051406
12m_2024-01-01,3.25,1062,1062,0,3497.488888888889,0.3981658571139446
12m_2024-01-01,3.50,1034,1034,0,3562.7944444444443,0.4056004604331107
12m_2024-04-01,0.50,1606,1606,0,1845.7111111111112,0.21069761542364282
12m_2024-04-01,0.75,1502,1502,0,2149.411111111111,0.24536656519533231
12m_2024-04-01,1.00,1413,1413,0,2462.366666666667,0.2810920852359209
12m_2024-04-01,1.25,1332,1332,0,2675.6277777777777,0.3054369609335363
12m_2024-04-01,1.50,1274,1274,0,2838.6722222222224,0.32404934043632677
12m_2024-04-01,1.75,1221,1221,0,2976.288888888889,0.33975900558092337
12m_2024-04-01,2.00,1170,1170,0,3092.2444444444445,0.3529959411466261
12m_2024-04-01,2.25,1146,1146,0,3158.588888888889,0.3605695078640284
12m_2024-04-01,2.50,1113,1113,0,3220.7722222222224,0.36766806189751394
12m_2024-04-01,2.75,1086,1086,0,3245.661111111111,0.37050925925925926
12m_2024-04-01,3.00,1068,1068,0,3308.15,0.377642694063927
12m_2024-04-01,3.25,1045,1045,0,3406.761111111111,0.38889967021816335
12m_2024-04-01,3.50,1037,1037,0,3481.8944444444446,0.397476534753932
12m_2024-07-01,0.50,1595,1595,0,1893.1997222222221,0.21611868975139523
12m_2024-07-01,0.75,1488,1488,0,2198.255277777778,0.2509423833079655
12m_2024-07-01,1.00,1403,1403,0,2505.2330555555554,0.2859855086250634
12m_2024-07-01,1.25,1320,1320,0,2717.9330555555557,0.31026633054287167
12m_2024-07-01,1.50,1266,1266,0,2888.299722222222,0.3297145801623541
12m_2024-07-01,1.75,1218,1218,0,3029.305277777778,0.3458111047691527
12m_2024-07-01,2.00,1165,1165,0,3136.038611111111,0.3579952752409944
12m_2024-07-01,2.25,1134,1134,0,3205.238611111111,0.36589481861998985
12m_2024-07-01,2.50,1099,1099,0,3268.3441666666668,0.3730986491628615
12m_2024-07-01,2.75,1074,1074,0,3289.9275,0.37556249999999997
12m_2024-07-01,3.00,1054,1054,0,3364.4108333333334,0.38406516362252663
12m_2024-07-01,3.25,1025,1025,0,3466.5886111111113,0.39572929350583463
12m_2024-07-01,3.50,1018,1018,0,3538.3719444444446,0.4039237379502791
12m_2024-10-01,0.50,1601,1601,0,1867.516388888889,0.21318680238457638
12m_2024-10-01,0.75,1494,1494,0,2181.4719444444445,0.24902647767630645
12m_2024-10-01,1.00,1412,1412,0,2465.1330555555555,0.28140788305428716
12m_2024-10-01,1.25,1318,1318,0,2684.4830555555554,0.3064478373921867
12m_2024-10-01,1.50,1266,1266,0,2831.216388888889,0.3231982179096905
12m_2024-10-01,1.75,1229,1229,0,2960.8997222222224,0.3380022513952309
12m_2024-10-01,2.00,1180,1180,0,3078.716388888889,0.3514516425672248
12m_2024-10-01,2.25,1148,1148,0,3162.3830555555555,0.36100263191273463
12m_2024-10-01,2.50,1112,1112,0,3216.988611111111,0.36723614282090306
12m_2024-10-01,2.75,1080,1080,0,3244.566388888889,0.37038429096905123
12m_2024-10-01,3.00,1054,1054,0,3323.0275,0.3793410388127854
12m_2024-10-01,3.25,1025,1025,0,3423.8441666666668,0.3908497907153729
12m_2024-10-01,3.50,1013,1013,0,3500.938611111111,0.39965052638254694
12m_2025-01-01,0.50,1629,1629,0,1852.6052777777777,0.21148462075088786
12m_2025-01-01,0.75,1514,1514,0,2158.8997222222224,0.24644973997970576
12m_2025-01-01,1.00,1431,1431,0,2468.8330555555553,0.28183025748351087
12m_2025-01-01,1.25,1338,1338,0,2671.3441666666668,0.3049479642313547
12m_2025-01-01,1.50,1279,1279,0,2810.788611111111,0.32086627980720445
12m_2025-01-01,1.75,1244,1244,0,2991.7941666666666,0.34152901445966516
12m_2025-01-01,2.00,1190,1190,0,3172.1052777777777,0.3621124746321664
12m_2025-01-01,2.25,1163,1163,0,3247.0275,0.37066523972602744
12m_2025-01-01,2.50,1126,1126,0,3328.1719444444443,0.3799283041603247
12m_2025-01-01,2.75,1089,1089,0,3343.0163888888887,0.3816228754439371
12m_2025-01-01,3.00,1062,1062,0,3418.038611111111,0.3901870560629122
12m_2025-01-01,3.25,1025,1025,0,3518.8386111111113,0.4016939053779807
12m_2025-01-01,3.50,1003,1003,0,3614.949722222222,0.41266549340436326
12m_2025-04-01,0.50,1642,1642,0,1751.8330555555556,0.19998094241501777
12m_2025-04-01,0.75,1540,1540,0,2032.2830555555556,0.23199578259766618
12m_2025-04-01,1.00,1453,1453,0,2288.2497222222223,0.26121572171486557
12m_2025-04-01,1.25,1373,1373,0,2477.7330555555554,0.2828462392186707
12m_2025-04-01,1.50,1318,1318,0,2617.8775,0.2988444634703196
12m_2025-04-01,1.75,1290,1290,0,2790.349722222222,0.3185330733130391
12m_2025-04-01,2.00,1242,1242,0,2946.366388888889,0.3363431950786403
12m_2025-04-01,2.25,1220,1220,0,3019.966388888889,0.34474502156265857
12m_2025-04-01,2.50,1182,1182,0,3093.005277777778,0.3530827942668696
12m_2025-04-01,2.75,1154,1154,0,3143.755277777778,0.3588761732623034
12m_2025-04-01,3.00,1130,1130,0,3209.9552777777776,0.36643325088787415
12m_2025-04-01,3.25,1093,1093,0,3295.8997222222224,0.376244260527651
12m_2025-04-01,3.50,1064,1064,0,3350.738611111111,0.38250440766108573
12m_2025-07-01,0.50,1645,1645,0,1752.7388888888888,0.2000843480466768
12m_2025-07-01,0.75,1544,1544,0,2033.9,0.23218036529680366
12m_2025-07-01,1.00,1455,1455,0,2349.266666666667,0.2681811263318113
12m_2025-07-01,1.25,1376,1376,0,2536.4,0.2895433789954338
12m_2025-07-01,1.50,1320,1320,0,2671.561111111111,0.304972729578894
12m_2025-07-01,1.75,1290,1290,0,2837.222222222222,0.3238838153221715
12m_2025-07-01,2.00,1228,1228,0,2956.4222222222224,0.3374911212582446
12m_2025-07-01,2.25,1209,1209,0,3028.8555555555554,0.345759766615931
12m_2025-07-01,2.50,1176,1176,0,3094.488888888889,0.35325215626585493
12m_2025-07-01,2.75,1147,1147,0,3147.0222222222224,0.35924911212582444
12m_2025-07-01,3.00,1125,1125,0,3209.688888888889,0.3664028411973617
12m_2025-07-01,3.25,1094,1094,0,3338.572222222222,0.3811155504819888
12m_2025-07-01,3.50,1063,1063,0,3387.9333333333334,0.3867503805175038
full_2020-01-01,0.50,10529,10529,0,11649.516111111112,0.2034440915907049
full_2020-01-01,0.75,9868,9868,0,13551.144444444444,0.23665362966320483
full_2020-01-01,1.00,9299,9299,0,15289.644444444444,0.2670143373404189
full_2020-01-01,1.25,8854,8854,0,16565.18888888889,0.2892901107123328
full_2020-01-01,1.50,8489,8489,0,17539.4,0.306303477845113
full_2020-01-01,1.75,8183,8183,0,18405.944444444445,0.3214365825716541
full_2020-01-01,2.00,7898,7898,0,19158.75527777778,0.3345834733666344
full_2020-01-01,2.25,7654,7654,0,19776.16638888889,0.3453657789525466
full_2020-01-01,2.50,7445,7445,0,20414.988611111112,0.35652200256289873
full_2020-01-01,2.75,7283,7283,0,20790.6275,0.36308206152047656
full_2020-01-01,3.00,7141,7141,0,21141.783333333333,0.369214554822163
full_2020-01-01,3.25,6987,6987,0,21670.45527777778,0.3784471428937317
full_2020-01-01,3.50,6865,6865,0,22123.66638888889,0.38636190277898325
full_2021-01-01,0.50,8955,8955,0,9868.61611111111,0.20357101437184041
full_2021-01-01,0.75,8396,8396,0,11424.583055555555,0.23566768989790315
full_2021-01-01,1.00,7904,7904,0,12947.699722222222,0.2670867258953506
full_2021-01-01,1.25,7529,7529,0,14030.4775,0.2894223976936826
full_2021-01-01,1.50,7222,7222,0,14863.5275,0.30660665449454505
full_2021-01-01,1.75,6962,6962,0,15607.038611111111,0.3219438921965172
full_2021-01-01,2.00,6721,6721,0,16215.166388888889,0.3344884260193023
full_2021-01-01,2.25,6521,6521,0,16713.833055555555,0.344774982718216
full_2021-01-01,2.50,6347,6347,0,17280.2275,0.3564586362611188
full_2021-01-01,2.75,6216,6216,0,17595.38861111111,0.362959818023292
full_2021-01-01,3.00,6102,6102,0,17886.8275,0.36897165489793904
full_2021-01-01,3.25,5972,5972,0,18339.91083333333,0.37831791304833906
full_2021-01-01,3.50,5867,5867,0,18729.7275,0.38635909869776736
full_2022-01-01,0.50,7373,7373,0,8110.127222222222,0.20419525280760426
full_2022-01-01,0.75,6916,6916,0,9385.36638888889,0.23630298390634136
full_2022-01-01,1.00,6505,6505,0,10622.216388888888,0.26744415981083997
full_2022-01-01,1.25,6185,6185,0,11525.416388888889,0.2901847589756079
full_2022-01-01,1.50,5944,5944,0,12217.433055555555,0.30760822402432964
full_2022-01-01,1.75,5730,5730,0,12836.355277777779,0.3231913309438635
full_2022-01-01,2.00,5528,5528,0,13303.8775,0.3349625172328107
full_2022-01-01,2.25,5357,5357,0,13720.810833333333,0.34545998602351474
full_2022-01-01,2.50,5206,5206,0,14199.883055555556,0.35752197603295915
full_2022-01-01,2.75,5098,5098,0,14440.888611111111,0.3635899684326171
full_2022-01-01,3.00,5005,5005,0,14687.460833333333,0.3697981173151698
full_2022-01-01,3.25,4890,4890,0,15095.844166666666,0.38008031581927204
full_2022-01-01,3.50,4807,4807,0,15378.416388888889,0.38719486590856933
full_2023-01-01,0.50,5734,5734,0,6464.416111111111,0.2088157567935388
full_2023-01-01,0.75,5381,5381,0,7475.2219444444445,0.2414671488807577
full_2023-01-01,1.00,5071,5071,0,8494.6275,0.27439633210536346
full_2023-01-01,1.25,4810,4810,0,9244.921944444444,0.29863259715107465
full_2023-01-01,1.50,4621,4621,0,9790.821944444444,0.3162664436848182
full_2023-01-01,1.75,4456,4456,0,10234.560833333333,0.3306002474359092
full_2023-01-01,2.00,4291,4291,0,10598.971944444444,0.34237157846453037
full_2023-01-01,2.25,4156,4156,0,10930.810833333333,0.35309075054841876
full_2023-01-01,2.50,4033,4033,0,11346.010833333334,0.36650268145299897
full_2023-01-01,2.75,3943,3943,0,11517.7775,0.37205114644587806
full_2023-01-01,3.00,3873,3873,0,11727.005277777778,0.3788096929267895
full_2023-01-01,3.25,3784,3784,0,12047.360833333334,0.3891579264913596
full_2023-01-01,3.50,3716,3716,0,12279.644166666667,0.3966612213298766
full_2024-01-01,0.50,4094,4094,0,4677.9275,0.21074108158271734
full_2024-01-01,0.75,3838,3838,0,5411.549722222222,0.24379083290618864
full_2024-01-01,1.00,3615,3615,0,6170.871944444444,0.27799837168931507
full_2024-01-01,1.25,3411,3411,0,6685.616388888889,0.30118765817588783
full_2024-01-01,1.50,3265,3265,0,7096.8275,0.3197127580869888
full_2024-01-01,1.75,3156,3156,0,7472.8163888888885,0.33665109351598554
full_2024-01-01,2.00,3031,3031,0,7752.005277777777,0.34922857968060045
