cohort,kind,start,left,right,daily_pnl_correlation,joint_negative_days,negative_day_jaccard,joint_underwater_fraction,deep_drawdown_jaccard
12m_2020-01-01,12m,2020-01-01,0.50,0.75,0.8893152946379933,108,0.782608695652174,0.833976833976834,0.20967741935483872
12m_2020-01-01,12m,2020-01-01,0.50,1.00,0.8324356607023851,99,0.7071428571428572,0.8301158301158301,0.034482758620689655
12m_2020-01-01,12m,2020-01-01,0.50,1.25,0.8141843568340295,96,0.6857142857142857,0.8146718146718147,0.019230769230769232
12m_2020-01-01,12m,2020-01-01,0.50,1.50,0.7995752770081785,94,0.6482758620689655,0.7953667953667953,0.037037037037037035
12m_2020-01-01,12m,2020-01-01,0.50,1.75,0.7734212291350664,93,0.636986301369863,0.7799227799227799,0.025
12m_2020-01-01,12m,2020-01-01,0.50,2.00,0.7672983311531242,89,0.6223776223776224,0.7567567567567568,0.04938271604938271
12m_2020-01-01,12m,2020-01-01,0.50,2.25,0.7616056485996721,92,0.6301369863013698,0.7799227799227799,0.10294117647058823
12m_2020-01-01,12m,2020-01-01,0.50,2.50,0.7725143778619671,93,0.6326530612244898,0.7876447876447876,0.21052631578947367
12m_2020-01-01,12m,2020-01-01,0.50,2.75,0.7835446166191677,95,0.6418918918918919,0.7876447876447876,0.15384615384615385
12m_2020-01-01,12m,2020-01-01,0.50,3.00,0.7107763894517853,94,0.6394557823129252,0.7837837837837838,0.03773584905660377
12m_2020-01-01,12m,2020-01-01,0.50,3.25,0.6689375242941757,93,0.6241610738255033,0.7837837837837838,0.038461538461538464
12m_2020-01-01,12m,2020-01-01,0.50,3.50,0.6607763154752894,94,0.6308724832214765,0.7876447876447876,0.038461538461538464
12m_2020-01-01,12m,2020-01-01,0.75,1.00,0.9313842044558143,106,0.7851851851851852,0.8687258687258688,0.3611111111111111
12m_2020-01-01,12m,2020-01-01,0.75,1.25,0.8724649214841662,99,0.7122302158273381,0.8262548262548263,0.2727272727272727
12m_2020-01-01,12m,2020-01-01,0.75,1.50,0.8523591076132603,97,0.6736111111111112,0.8185328185328186,0.21621621621621623
12m_2020-01-01,12m,2020-01-01,0.75,1.75,0.8297825571305268,94,0.6394557823129252,0.7915057915057915,0.05970149253731343
12m_2020-01-01,12m,2020-01-01,0.75,2.00,0.840196079706648,92,0.647887323943662,0.7644787644787645,0.12121212121212122
12m_2020-01-01,12m,2020-01-01,0.75,2.25,0.8207187136193633,94,0.6438356164383562,0.7915057915057915,0.20754716981132076
12m_2020-01-01,12m,2020-01-01,0.75,2.50,0.8303845683412066,95,0.6462585034013606,0.7915057915057915,0.1836734693877551
12m_2020-01-01,12m,2020-01-01,0.75,2.75,0.833122178627209,99,0.678082191780822,0.7953667953667953,0.1951219512195122
12m_2020-01-01,12m,2020-01-01,0.75,3.00,0.7814809473106036,98,0.6758620689655173,0.7953667953667953,0.1891891891891892
12m_2020-01-01,12m,2020-01-01,0.75,3.25,0.7784103441206367,98,0.6712328767123288,0.7915057915057915,0.16216216216216217
12m_2020-01-01,12m,2020-01-01,0.75,3.50,0.7776685677574974,98,0.6666666666666666,0.7992277992277992,0.16216216216216217
12m_2020-01-01,12m,2020-01-01,1.00,1.25,0.9414535623836187,104,0.8188976377952756,0.8455598455598455,0.42105263157894735
12m_2020-01-01,12m,2020-01-01,1.00,1.50,0.9184162838889639,102,0.7727272727272727,0.8301158301158301,0.30434782608695654
12m_2020-01-01,12m,2020-01-01,1.00,1.75,0.8895738021651507,100,0.746268656716418,0.7953667953667953,0.05660377358490566
12m_2020-01-01,12m,2020-01-01,1.00,2.00,0.8906756346397485,96,0.732824427480916,0.7760617760617761,0.1346153846153846
12m_2020-01-01,12m,2020-01-01,1.00,2.25,0.8711625224652261,95,0.6884057971014492,0.7992277992277992,0.225
12m_2020-01-01,12m,2020-01-01,1.00,2.50,0.8643155801320423,95,0.6785714285714286,0.7992277992277992,0.22857142857142856
12m_2020-01-01,12m,2020-01-01,1.00,2.75,0.8636827705829662,97,0.6879432624113475,0.803088803088803,0.25925925925925924
12m_2020-01-01,12m,2020-01-01,1.00,3.00,0.8177538674035416,98,0.7101449275362319,0.803088803088803,0.3181818181818182
12m_2020-01-01,12m,2020-01-01,1.00,3.25,0.7946004765100176,96,0.6808510638297872,0.7915057915057915,0.2727272727272727
12m_2020-01-01,12m,2020-01-01,1.00,3.50,0.7919212038130063,95,0.6643356643356644,0.7992277992277992,0.2727272727272727
12m_2020-01-01,12m,2020-01-01,1.25,1.50,0.960363553713395,105,0.8333333333333334,0.8223938223938224,0.5333333333333333
12m_2020-01-01,12m,2020-01-01,1.25,1.75,0.9203819157834374,102,0.7906976744186046,0.7876447876447876,0.06521739130434782
12m_2020-01-01,12m,2020-01-01,1.25,2.00,0.8950991684682251,99,0.792,0.7683397683397684,0.15555555555555556
12m_2020-01-01,12m,2020-01-01,1.25,2.25,0.8762320240501771,98,0.7424242424242424,0.7876447876447876,0.2
12m_2020-01-01,12m,2020-01-01,1.25,2.50,0.8685522027494069,98,0.7313432835820896,0.7799227799227799,0.2413793103448276
12m_2020-01-01,12m,2020-01-01,1.25,2.75,0.8599948120285811,99,0.7279411764705882,0.7837837837837838,0.35
12m_2020-01-01,12m,2020-01-01,1.25,3.00,0.8233773152601498,99,0.7388059701492538,0.7876447876447876,0.5714285714285714
12m_2020-01-01,12m,2020-01-01,1.25,3.25,0.7802485592637227,97,0.708029197080292,0.7722007722007722,0.5
12m_2020-01-01,12m,2020-01-01,1.25,3.50,0.7778386633155578,95,0.6785714285714286,0.7760617760617761,0.5
12m_2020-01-01,12m,2020-01-01,1.50,1.75,0.9523287295665953,110,0.8870967741935484,0.803088803088803,0.18181818181818182
12m_2020-01-01,12m,2020-01-01,1.50,2.00,0.9228727983903104,101,0.8015873015873016,0.7876447876447876,0.25
12m_2020-01-01,12m,2020-01-01,1.50,2.25,0.8976245526190977,98,0.725925925925926,0.806949806949807,0.3235294117647059
12m_2020-01-01,12m,2020-01-01,1.50,2.50,0.8858829756460702,96,0.6906474820143885,0.7953667953667953,0.39285714285714285
12m_2020-01-01,12m,2020-01-01,1.50,2.75,0.8789150199726788,96,0.676056338028169,0.7953667953667953,0.5
12m_2020-01-01,12m,2020-01-01,1.50,3.00,0.8305037885764798,97,0.697841726618705,0.7953667953667953,0.47058823529411764
12m_2020-01-01,12m,2020-01-01,1.50,3.25,0.7814244589861862,96,0.6808510638297872,0.7915057915057915,0.4117647058823529
12m_2020-01-01,12m,2020-01-01,1.50,3.50,0.778421415385432,96,0.676056338028169,0.7915057915057915,0.4117647058823529
12m_2020-01-01,12m,2020-01-01,1.75,2.00,0.9698027024709682,107,0.8916666666666667,0.7992277992277992,0.8409090909090909
12m_2020-01-01,12m,2020-01-01,1.75,2.25,0.9452787121021089,105,0.8203125,0.7953667953667953,0.42
12m_2020-01-01,12m,2020-01-01,1.75,2.50,0.926290534963785,102,0.7669172932330827,0.7799227799227799,0.22641509433962265
12m_2020-01-01,12m,2020-01-01,1.75,2.75,0.916320286692782,101,0.7372262773722628,0.7722007722007722,0.14285714285714285
12m_2020-01-01,12m,2020-01-01,1.75,3.00,0.8782987713891349,101,0.7481481481481481,0.7683397683397684,0.0851063829787234
12m_2020-01-01,12m,2020-01-01,1.75,3.25,0.8364100858418596,99,0.717391304347826,0.7567567567567568,0.08695652173913043
12m_2020-01-01,12m,2020-01-01,1.75,3.50,0.8307518305992908,98,0.7,0.7567567567567568,0.08695652173913043
12m_2020-01-01,12m,2020-01-01,2.00,2.25,0.974755126662436,103,0.8373983739837398,0.7876447876447876,0.5416666666666666
12m_2020-01-01,12m,2020-01-01,2.00,2.50,0.9545533108648844,99,0.7674418604651163,0.7683397683397684,0.3076923076923077
12m_2020-01-01,12m,2020-01-01,2.00,2.75,0.9409250716318355,99,0.75,0.7644787644787645,0.20408163265306123
12m_2020-01-01,12m,2020-01-01,2.00,3.00,0.9007136347782515,98,0.7480916030534351,0.7606177606177607,0.14893617021276595
12m_2020-01-01,12m,2020-01-01,2.00,3.25,0.8693938025798771,97,0.7293233082706767,0.749034749034749,0.15217391304347827
12m_2020-01-01,12m,2020-01-01,2.00,3.50,0.8655037126986187,96,0.7111111111111111,0.749034749034749,0.15217391304347827
12m_2020-01-01,12m,2020-01-01,2.25,2.50,0.9775329233438693,110,0.8870967741935484,0.803088803088803,0.48717948717948717
12m_2020-01-01,12m,2020-01-01,2.25,2.75,0.9653156016762858,110,0.8661417322834646,0.7992277992277992,0.32432432432432434
12m_2020-01-01,12m,2020-01-01,2.25,3.00,0.9227128809237771,107,0.8359375,0.7953667953667953,0.1891891891891892
12m_2020-01-01,12m,2020-01-01,2.25,3.25,0.8874586728476962,104,0.7878787878787878,0.7799227799227799,0.19444444444444445
12m_2020-01-01,12m,2020-01-01,2.25,3.50,0.8811373607280587,104,0.7819548872180451,0.7799227799227799,0.19444444444444445
12m_2020-01-01,12m,2020-01-01,2.50,2.75,0.9882946422197258,116,0.943089430894309,0.8301158301158301,0.6538461538461539
12m_2020-01-01,12m,2020-01-01,2.50,3.00,0.9417545619882459,112,0.896,0.8185328185328186,0.3103448275862069
12m_2020-01-01,12m,2020-01-01,2.50,3.25,0.9016651462571675,109,0.8449612403100775,0.803088803088803,0.27586206896551724
12m_2020-01-01,12m,2020-01-01,2.50,3.50,0.8917441266888627,106,0.7969924812030075,0.803088803088803,0.27586206896551724
12m_2020-01-01,12m,2020-01-01,2.75,3.00,0.9528498610121995,116,0.9354838709677419,0.8301158301158301,0.45
12m_2020-01-01,12m,2020-01-01,2.75,3.25,0.9091139868234207,113,0.8828125,0.8146718146718147,0.4
12m_2020-01-01,12m,2020-01-01,2.75,3.50,0.895696223481667,110,0.8333333333333334,0.8146718146718147,0.4
12m_2020-01-01,12m,2020-01-01,3.00,3.25,0.9650482680798396,116,0.943089430894309,0.8185328185328186,0.9166666666666666
12m_2020-01-01,12m,2020-01-01,3.00,3.50,0.9528120583063097,113,0.889763779527559,0.8185328185328186,0.9166666666666666
12m_2020-01-01,12m,2020-01-01,3.25,3.50,0.9847262609470371,115,0.9126984126984127,0.8301158301158301,1.0
12m_2020-04-01,12m,2020-04-01,0.50,0.75,0.9267509104003653,107,0.781021897810219,0.8643410852713178,0.625
12m_2020-04-01,12m,2020-04-01,0.50,1.00,0.8788719959059808,102,0.723404255319149,0.8565891472868217,0.40625
12m_2020-04-01,12m,2020-04-01,0.50,1.25,0.8544756026899154,98,0.7,0.8294573643410853,0.2318840579710145
