cohort,kind,start,end,portfolio,components,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change,event_realized_max_drawdown,mean_constituent_max_drawdown,smoothing_vs_mean_constituent_dd,best_constituent_max_drawdown,max_constituent_net_pnl,mdd_delta_vs_rr1,pnl_delta_vs_rr1
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,rr_3.00,3.00,5109.05,2997.9500000000003,2020-03-18,48,69,True,21,-942.3,-1719.7,-2936.7000000000003,3175.8999999999996,2997.9500000000003,0.0,2997.9500000000003,5109.05,708.3500000000004,2968.3
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,rr_3.25,3.25,4838.75,2897.35,2020-03-18,48,69,True,22,-942.3000000000001,-1719.7,-2836.1,3075.2999999999993,2897.35,0.0,2897.35,4838.75,607.75,2698.0
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,rr_3.50,3.50,3881.6,2897.35,2020-03-18,48,69,True,22,-942.3,-1719.7,-2833.6,3075.2999999999993,2897.35,0.0,2897.35,3881.6,607.75,1740.85
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.50_0.75,0.50/0.75,1646.3500000000001,1368.4250000000002,2020-03-20,48,68,True,25,-674.05,-1106.175,-1009.3000000000001,1557.9499999999994,1751.4,382.9749999999999,1406.4499999999998,2324.3,-921.1749999999997,-494.39999999999986
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.50_1.00,0.50/1.00,2232.525,1427.4250000000002,2020-03-19,48,68,True,22,-674.05,-1102.675,-1266.9500000000003,1513.2249999999995,1848.0249999999999,420.5999999999997,1406.4499999999998,2324.3,-862.1749999999997,91.77500000000009
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.50_1.25,0.50/1.25,2774.275,1635.825,2020-03-19,47,67,True,22,-674.05,-1210.675,-1571.8750000000002,1748.324999999998,2145.4,509.57500000000005,1406.4499999999998,3224.25,-653.7749999999999,633.5250000000001
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.50_1.50,0.50/1.50,3032.9750000000004,1511.9499999999998,2020-03-19,48,68,True,20,-674.05,-1137.7,-1477.0500000000002,1685.6249999999995,2025.7749999999999,513.825,1406.4499999999998,3741.65,-777.6500000000001,892.2250000000004
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.50_1.75,0.50/1.75,3910.875,1391.25,2020-06-26,55,77,True,18,-674.0500000000001,-865.0000000000001,-1220.0,1474.1000000000167,1718.4499999999998,327.1999999999998,1406.4499999999998,5497.45,-898.3499999999999,1770.125
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.50_2.00,0.50/2.00,4414.975,1353.25,2020-06-26,50,70,True,21,-674.0500000000001,-932.8249999999999,-1182.0,1436.100000000014,1626.6999999999998,273.4499999999998,1406.4499999999998,6505.65,-936.3499999999999,2274.2250000000004
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.50_2.25,0.50/2.25,4101.325000000001,1243.3000000000002,2020-06-26,47,67,True,22,-674.05,-1072.7749999999999,-1072.0500000000002,1403.074999999999,1574.6999999999998,331.39999999999964,1406.4499999999998,5878.35,-1046.2999999999997,1960.5750000000007
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.50_2.50,0.50/2.50,3589.7000000000003,1185.35,2020-03-12,46,64,True,18,-674.0500000000001,-1072.775,-1076.725,1437.3249999999998,1746.175,560.825,1406.4499999999998,4855.1,-1104.25,1448.9500000000003
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.50_2.75,0.50/2.75,3915.725,1292.5749999999998,2020-03-12,42,58,True,21,-674.05,-1110.675,-1183.95,1513.3249999999994,1853.3999999999999,560.825,1406.4499999999998,5507.15,-997.0250000000001,1774.975
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.50_3.00,0.50/3.00,3716.675,1626.225,2020-03-12,41,57,True,23,-674.05,-1147.15,-1492.1,1846.9749999999988,2202.2,575.9749999999999,1406.4499999999998,5109.05,-663.375,1575.9250000000002
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.50_3.25,0.50/3.25,3581.525,1575.9250000000002,2020-03-12,40,57,True,24,-674.0500000000001,-1147.15,-1364.875,1796.6749999999995,2151.8999999999996,575.9749999999995,1406.4499999999998,4838.75,-713.6749999999997,1440.775
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.50_3.50,0.50/3.50,3102.95,1575.925,2020-03-12,40,57,True,22,-674.05,-1147.15,-1373.4,1796.6749999999995,2151.8999999999996,575.9749999999997,1406.4499999999998,3881.6,-713.675,962.1999999999998
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.75_1.00,0.75/1.00,1554.575,2155.3500000000004,2020-03-19,52,75,True,18,-749.5500000000001,-1448.8999999999999,-1967.2500000000002,2288.575,2192.9750000000004,37.625,2096.3500000000004,2140.75,-134.24999999999955,-586.175
12m_2020-01-01,12m,2020-01-01,2021-01-01T00:00:00,pair_0.75_1.25,0.75/1.25,2096.325,2279.0,2020-03-19,71,102,True,13,-749.55,-1556.9,-2272.175,2465.55,2490.3500000000004,211.35000000000036,2096.3500000000004,3224.25,-10.599999999999909,-44.42500000000018
