cohort,rr,budget,method,breached,horizon_open_trade_censored,trade_key,window,entry,exit,pnl_before,pnl_after,kind,interval_start
12m_2020-01-01,1.75,1500,closed_peak_dd,True,0,RR1.75:2-3:21:75,2-3,2020-03-13T02:08:20,2020-03-13T03:10:40,-652.85,-845.4,realized_drawdown,2020-03-13T03:10:40
12m_2020-01-01,1.75,6800,closed_floor,False,0,,,,,,,,
12m_2020-01-01,1.75,6800,excursion_floor,False,0,,,,,,,,
12m_2020-01-01,1.75,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-01-01,2.00,1500,closed_floor,False,0,,,,,,,,
12m_2020-01-01,2.00,1500,excursion_floor,False,0,,,,,,,,
12m_2020-01-01,2.00,1500,closed_peak_dd,True,0,RR2.00:18-19:15:58,18-19,2020-03-12T18:54:40,2020-03-12T21:06:40,-254.7,-520.75,realized_drawdown,2020-03-12T21:06:40
12m_2020-01-01,2.00,6800,closed_floor,False,0,,,,,,,,
12m_2020-01-01,2.00,6800,excursion_floor,False,0,,,,,,,,
12m_2020-01-01,2.00,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-01-01,2.25,1500,closed_floor,False,0,,,,,,,,
12m_2020-01-01,2.25,1500,excursion_floor,False,0,,,,,,,,
12m_2020-01-01,2.25,1500,closed_peak_dd,True,0,RR2.25:16-17:36:93,16-17,2020-03-12T16:53:40,2020-03-12T17:19:40,-10.8,-293.85,realized_drawdown,2020-03-12T17:19:40
12m_2020-01-01,2.25,6800,closed_floor,False,0,,,,,,,,
12m_2020-01-01,2.25,6800,excursion_floor,False,0,,,,,,,,
12m_2020-01-01,2.25,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-01-01,2.50,1500,closed_floor,True,0,RR2.50:2-3:21:75,2-3,2020-03-13T02:08:20,2020-03-13T03:10:40,-1353.0,-1545.55,close,2020-03-13T03:10:40
12m_2020-01-01,2.50,1500,excursion_floor,True,0,RR2.50:2-3:21:75,2-3,2020-03-13T02:08:20,2020-03-13T03:10:40,-1353.0,-1545.55,mae,2020-03-13T02:08:20
12m_2020-01-01,2.50,1500,closed_peak_dd,True,0,RR2.50:12-13:12:57,12-13,2020-03-12T12:58:40,2020-03-12T13:52:40,-729.35,-803.9,realized_drawdown,2020-03-12T13:52:40
12m_2020-01-01,2.50,6800,closed_floor,False,0,,,,,,,,
12m_2020-01-01,2.50,6800,excursion_floor,False,0,,,,,,,,
12m_2020-01-01,2.50,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-01-01,2.75,1500,closed_floor,True,0,RR2.75:18-19:15:58,18-19,2020-03-12T18:54:40,2020-03-12T21:06:40,-1331.8,-1597.85,close,2020-03-12T21:06:40
12m_2020-01-01,2.75,1500,excursion_floor,True,0,RR2.75:18-19:15:58,18-19,2020-03-12T18:54:40,2020-03-12T21:06:40,-1331.8,-1597.85,mae,2020-03-12T18:54:40
12m_2020-01-01,2.75,1500,closed_peak_dd,True,0,RR2.75:13-14:22:65,13-14,2020-02-28T13:07:40,2020-02-28T15:44:20,-777.05,-901.1,realized_drawdown,2020-02-28T15:44:20
12m_2020-01-01,2.75,6800,closed_floor,False,0,,,,,,,,
12m_2020-01-01,2.75,6800,excursion_floor,False,0,,,,,,,,
12m_2020-01-01,2.75,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-01-01,3.00,1500,closed_floor,True,0,RR3.00:12-13:12:57,12-13,2020-03-12T12:58:40,2020-03-12T13:52:40,-1458.1,-1532.65,close,2020-03-12T13:52:40
12m_2020-01-01,3.00,1500,excursion_floor,True,0,RR3.00:12-13:12:57,12-13,2020-03-12T12:58:40,2020-03-12T13:52:40,-1458.1,-1532.65,mae,2020-03-12T12:58:40
12m_2020-01-01,3.00,1500,closed_peak_dd,True,0,RR3.00:8-9:12:53,8-9,2020-02-28T08:57:40,2020-02-28T11:25:40,-523.55,-666.6,realized_drawdown,2020-02-28T11:25:40
12m_2020-01-01,3.00,6800,closed_floor,False,0,,,,,,,,
12m_2020-01-01,3.00,6800,excursion_floor,False,0,,,,,,,,
12m_2020-01-01,3.00,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-01-01,3.25,1500,closed_floor,True,0,RR3.25:16-17:36:93,16-17,2020-03-12T16:53:40,2020-03-12T17:19:40,-1311.3,-1594.35,close,2020-03-12T17:19:40
12m_2020-01-01,3.25,1500,excursion_floor,True,0,RR3.25:16-17:36:93,16-17,2020-03-12T16:53:40,2020-03-12T17:19:40,-1311.3,-1594.35,mae,2020-03-12T16:53:40
12m_2020-01-01,3.25,1500,closed_peak_dd,True,0,RR3.25:8-9:12:53,8-9,2020-02-28T08:57:40,2020-02-28T11:25:40,-402.8,-545.85,realized_drawdown,2020-02-28T11:25:40
12m_2020-01-01,3.25,6800,closed_floor,False,0,,,,,,,,
12m_2020-01-01,3.25,6800,excursion_floor,False,0,,,,,,,,
12m_2020-01-01,3.25,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-01-01,3.50,1500,closed_floor,True,0,RR3.50:16-17:36:93,16-17,2020-03-12T16:53:40,2020-03-12T17:19:40,-1285.7,-1568.75,close,2020-03-12T17:19:40
12m_2020-01-01,3.50,1500,excursion_floor,True,0,RR3.50:16-17:36:93,16-17,2020-03-12T16:53:40,2020-03-12T17:19:40,-1285.7,-1568.75,mae,2020-03-12T16:53:40
12m_2020-01-01,3.50,1500,closed_peak_dd,True,0,RR3.50:8-9:12:53,8-9,2020-02-28T08:57:40,2020-02-28T11:25:40,-377.2,-520.25,realized_drawdown,2020-02-28T11:25:40
12m_2020-01-01,3.50,6800,closed_floor,False,0,,,,,,,,
12m_2020-01-01,3.50,6800,excursion_floor,False,0,,,,,,,,
12m_2020-01-01,3.50,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-04-01,0.50,1500,closed_floor,False,0,,,,,,,,
12m_2020-04-01,0.50,1500,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,0.50,1500,closed_peak_dd,True,0,RR0.50:12-13:86:327,12-13,2021-01-15T12:33:40,2021-01-15T12:57:40,860.9,821.35,realized_drawdown,2021-01-15T12:57:40
12m_2020-04-01,0.50,6800,closed_floor,False,0,,,,,,,,
12m_2020-04-01,0.50,6800,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,0.50,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-04-01,0.75,1500,closed_floor,False,0,,,,,,,,
12m_2020-04-01,0.75,1500,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,0.75,1500,closed_peak_dd,True,0,RR0.75:17-18:70:324,17-18,2021-01-29T17:23:40,2021-01-29T18:22:40,1632.35,1356.8,realized_drawdown,2021-01-29T18:22:40
12m_2020-04-01,0.75,6800,closed_floor,False,0,,,,,,,,
12m_2020-04-01,0.75,6800,excursion_floor,False,0,,,,,,,,
12m_2020-04-01,0.75,6800,closed_peak_dd,False,0,,,,,,,,
12m_2020-04-01,1.00,1500,closed_floor,False,0,,,,,,,,
12m_2020-04-01,1.00,1500,excursion_floor,False,0,,,,,,,,
