eval_id,started_at,passed_at,funded_or_ended_at,state
59,2026-03-24 00:00:00,2026-04-24 14:30:00,2026-04-25 00:00:00,funded
60,2026-03-31 00:00:00,2026-03-31 17:00:00,2026-04-01 00:00:00,funded
61,2026-04-07 00:00:00,2026-05-08 17:00:00,2026-05-09 00:00:00,funded
62,2026-04-14 00:00:00,2026-04-16 09:30:00,2026-04-17 00:00:00,funded
63,2026-04-21 00:00:00,2026-06-22 15:30:00,2026-06-23 00:00:00,funded
64,2026-04-28 00:00:00,2026-04-30 20:30:00,2026-05-01 00:00:00,funded
65,2026-05-05 00:00:00,2026-05-05 23:30:00,2026-05-06 00:00:00,funded
66,2026-05-12 00:00:00,2026-06-12 14:30:00,2026-06-13 00:00:00,funded
67,2026-05-19 00:00:00,2026-06-22 15:30:00,2026-06-23 00:00:00,funded
68,2026-05-26 00:00:00,2026-05-28 20:00:00,2026-05-29 00:00:00,funded
70,2026-06-09 00:00:00,2026-06-09 21:30:00,2026-06-10 00:00:00,funded
73,2026-06-30 00:00:00,2026-06-30 23:30:00,2026-07-01 00:00:00,funded
