job,mode,start_year,initial_cash,monthly_funding,withdrawal,cadence,headroom,amount,retained_balance,persistent,interval,concurrency,spares,reserve_seats,ongoing,terminal,total,accounts,alive,receipts,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,copies,signals_loaded,economics,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,signals_executed,zero_live_signals,allocation_sha256,label
"[""blocked"", 2020, 1000, 200, ""minimum"", ""daily"", 3900, 0, false, 0, 2, 2, true]",blocked,2020,1000,200,minimum,daily,3900,0,29000.0,False,0,2,2,True,319288.0,0,319288.0,65,2,332000.0,65,67,139,4587.0,8125.0,12712.0,335888.0,16600.0,0,2,89569,12658,"{""booked_net_trading_usd"": 326617.7, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 8226.5, ""failed_positive_ledger_usd"": 6701.05, ""failed_negative_ledger_usd"": 20309.85, ""purchase_fees_usd"": 12712.0, ""pocket_usd"": 319288.0, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 20309.85, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 20309.85, ""dead_account_booked_deficits_usd"": 20309.85, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",63,45,18,0.1587,63.95,162.15,4762.48,119.33,86.67,9.59,2,2,5,0,0,0,0,8960,466,ea90a21077a628b394c0444531ea5d0f17a1b5adf93b46b83fdad8c27e7fb64c,shared / 2 evals / ongoing
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 6400, 1500, false, 0, 2, 2, true]",blocked,2020,1000,200,fixed,weekly,6400,1500,31500.0,False,0,2,2,True,312669.45,104696.71,417366.16,59,20,428866.16,59,59,125,4125.0,7375.0,11500.0,433966.16,16600.0,0,0,98092,12658,"{""booked_net_trading_usd"": 418543.85, ""firm_split_usd"": 569.09, ""retained_profit_usd"": 2000.2, ""failed_positive_ledger_usd"": 2732.35, ""failed_negative_ledger_usd"": 15623.95, ""purchase_fees_usd"": 11500.0, ""pocket_usd"": 417366.16, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 15623.95, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 15623.95, ""dead_account_booked_deficits_usd"": 15623.95, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",39,39,0,0.2564,57.22,188.02,2617.99,0,58.67,10.48,2,2,5,0,0,0,0,9075,316,fffd3f9b7df9fcc869cdd93878f19b887057f76973d81c6eda7ce3519fe2b196,shared / 2 evals / total
"[""blocked"", 2020, 1000, 200, ""minimum"", ""weekly"", 1800, 0, false, 0, 5, 10, true]",blocked,2020,1000,200,minimum,weekly,1800,0,26900.0,False,0,5,10,True,444839.0,0,444839.0,92,5,463500.0,92,98,217,7161.0,11500.0,18661.0,461439.0,16600.0,0,5,121235,12658,"{""booked_net_trading_usd"": 461508.1, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 12394.75, ""failed_positive_ledger_usd"": 10960.1, ""failed_negative_ledger_usd"": 25346.75, ""purchase_fees_usd"": 18661.0, ""pocket_usd"": 444839.0, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 25346.75, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 25346.75, ""dead_account_booked_deficits_usd"": 25346.75, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",87,72,15,0.2874,21.23,123.02,4831.42,145.04,220.67,13.03,5,7,15,343,1,64,102,8404,1204,343d688e3a9d2c91887225fafa0090df8ffa789d450102818812e6dcd274ae10,shared / 5 evals / ongoing
"[""blocked"", 2020, 1000, 200, ""minimum"", ""calendar_month"", 4600, 0, false, 0, 5, 5, true]",blocked,2020,1000,200,minimum,calendar_month,4600,0,29700.0,False,0,5,5,True,242592.0,202723.38,445315.38,66,20,457723.38,66,72,126,4158.0,8250.0,12408.0,461915.38,16600.0,0,0,111409,12658,"{""booked_net_trading_usd"": 447362.35, ""firm_split_usd"": 888.87, ""retained_profit_usd"": 2000.2, ""failed_positive_ledger_usd"": 3762.9, ""failed_negative_ledger_usd"": 17013.0, ""purchase_fees_usd"": 12408.0, ""pocket_usd"": 445315.38, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 17013.0, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 17013.0, ""dead_account_booked_deficits_usd"": 17013.0, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",46,46,0,0.1304,135.64,289.02,5862.3,0,58.67,11.92,5,9,10,4457,6,866,936,9071,316,572752fe91346d895e53a0a601ddd33163e077d35bb55e8299ad90731de0bd6c,shared / 5 evals / total
"[""blocked"", 2020, 1000, 200, ""minimum"", ""weekly"", 1900, 0, true, 7, 10, 5, true]",blocked,2020,1000,200,minimum,weekly,1900,0,27000.0,True,7,10,5,True,392498.0,0,392498.0,109,6,415000.0,109,129,269,8877.0,13625.0,22502.0,409098.0,16600.0,0,8,115900,12658,"{""booked_net_trading_usd"": 410852.6, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 21347.05, ""failed_positive_ledger_usd"": 10721.85, ""failed_negative_ledger_usd"": 36216.3, ""purchase_fees_usd"": 22502.0, ""pocket_usd"": 392498.0, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 36216.3, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 36216.3, ""dead_account_booked_deficits_usd"": 36216.3, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",103,89,14,0.0777,93.26,181.02,9295.36,130.46,142.67,12.39,10,10,10,938,12,125,375,8718,779,4453e3ee5ad8b2b6d5b753974b3bcc4274147ad8a51bca34ee4f7b3bc4686eb9,shared / 10 evals / ongoing
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 6400, 1500, true, 7, 10, 2, true]",blocked,2020,1000,200,fixed,weekly,6400,1500,31500.0,True,7,10,2,True,340899.2,104323.83,445223.03,63,20,457322.03,63,75,128,4224.0,7875.0,12099.0,461823.03,16600.0,0,0,106839,12658,"{""booked_net_trading_usd"": 441805.2, ""firm_split_usd"": 941.97, ""retained_profit_usd"": 2000.2, ""failed_positive_ledger_usd"": 2514.4, ""failed_negative_ledger_usd"": 20973.4, ""purchase_fees_usd"": 12099.0, ""pocket_usd"": 445223.03, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 20973.4, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 20973.4, ""dead_account_booked_deficits_usd"": 20973.4, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",43,43,0,0.0233,67.3,202.31,3979.92,0,43.67,11.43,10,10,8,2998,11,395,902,9136,226,abcae3ebb31deca220030defb55a3244c09194dd37e7e72c01e5ff17b22f6795,shared / 10 evals / total
"[""blocked"", 2020, 1000, 200, ""minimum"", ""weekly"", 2100, 0, true, 1, 20, 0, true]",blocked,2020,1000,200,minimum,weekly,2100,0,27200.0,True,1,20,0,True,412653.0,0,412653.0,109,14,434000.0,109,129,234,7722.0,13625.0,21347.0,429253.0,16600.0,0,6,113751,12658,"{""booked_net_trading_usd"": 444998.15, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 42154.45, ""failed_positive_ledger_usd"": 8970.75, ""failed_negative_ledger_usd"": 40127.05, ""purchase_fees_usd"": 21347.0, ""pocket_usd"": 412653.0, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 40127.05, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 40127.05, ""dead_account_booked_deficits_usd"": 40127.05, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",95,89,6,0.0,52.3,210.2,5653.02,17.92,150.67,12.18,20,20,12,909,8,204,391,8713,763,9b36ccd8a029c080d1af5c730d9b66088eacdd47f87cc154f26ef063d5e2dc47,shared / 20 evals / ongoing
"[""blocked"", 2020, 1000, 200, ""minimum"", ""calendar_month"", 0, 0, true, 1, 20, 0, true]",blocked,2020,1000,200,minimum,calendar_month,0,0,25100.0,True,1,20,0,True,300165.0,150161.65,450326.65,114,20,472661.65,114,132,245,8085.0,14250.0,22335.0,466926.65,16600.0,0,0,114877,12658,"{""booked_net_trading_usd"": 444861.35, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 2000.2, ""failed_positive_ledger_usd"": 10694.05, ""failed_negative_ledger_usd"": 40494.55, ""purchase_fees_usd"": 22335.0, ""pocket_usd"": 450326.65, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 40494.55, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 40494.55, ""dead_account_booked_deficits_usd"": 40494.55, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",94,94,0,0.0,48.09,166.05,5275.03,0,124.67,12.24,19,19,19,447,8,154,263,8821,663,593f95eb896d3b162bbf497f6d54432b541ebf8b14704fe60a3e4d16313a7d05,shared / 20 evals / total
"[""blocked"", 2020, 1000, 200, ""minimum"", ""daily"", 3900, 0, false, 0, 2, 2, false]",blocked,2020,1000,200,minimum,daily,3900,0,29000.0,False,0,2,2,False,318873.0,0,318873.0,67,2,332000.0,67,69,144,4752.0,8375.0,13127.0,335473.0,16600.0,0,2,89635,12658,"{""booked_net_trading_usd"": 324432.5, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 8226.5, ""failed_positive_ledger_usd"": 6701.05, ""failed_negative_ledger_usd"": 22495.05, ""purchase_fees_usd"": 13127.0, ""pocket_usd"": 318873.0, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 22495.05, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 22495.05, ""dead_account_booked_deficits_usd"": 22495.05, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",65,47,18,0.1846,57.22,162.15,4743.77,119.33,82.67,9.6,2,2,5,0,0,0,0,8971,454,7c517353fa9a70b83d1936b366beada960f14715f4233e9b9a70d85d6b2a03e9,outside / 2 evals / ongoing
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 6400, 1500, false, 0, 2, 2, false]",blocked,2020,1000,200,fixed,weekly,6400,1500,31500.0,False,0,2,2,False,312504.45,104696.71,417201.16,59,20,428866.16,59,61,130,4290.0,7375.0,11665.0,433801.16,16600.0,0,2,98092,12658,"{""booked_net_trading_usd"": 418543.85, ""firm_split_usd"": 569.09, ""retained_profit_usd"": 2000.2, ""failed_positive_ledger_usd"": 2732.35, ""failed_negative_ledger_usd"": 15623.95, ""purchase_fees_usd"": 11665.0, ""pocket_usd"": 417201.16, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 15623.95, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 15623.95, ""dead_account_booked_deficits_usd"": 15623.95, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",39,39,0,0.2564,57.22,188.02,2617.99,0,58.67,10.48,2,2,5,0,0,0,0,9075,316,fffd3f9b7df9fcc869cdd93878f19b887057f76973d81c6eda7ce3519fe2b196,outside / 2 evals / total
