job,mode,start_year,initial_cash,monthly_funding,withdrawal,cadence,headroom,amount,retained_balance,persistent,interval,concurrency,spares,reserve_seats,ongoing,terminal,total,accounts,alive,receipts,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,copies,signals_loaded,economics,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,signals_executed,zero_live_signals,allocation_sha256
"[""blocked"", 2020, 1000, 200, ""maximum"", ""weekly"", 2300, 0, false, 0, 5, 2, true]",blocked,2020,1000,200,maximum,weekly,2300,0,27400.0,False,0,5,2,True,317997.65,0,317997.65,134,0,344251.65,134,143,288,9504.0,16750.0,26254.0,334597.65,16600.0,0,5,100700,12658,"{""booked_net_trading_usd"": 314589.45, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 0.0, ""failed_positive_ledger_usd"": 14037.7, ""failed_negative_ledger_usd"": 43699.9, ""purchase_fees_usd"": 26254.0, ""pocket_usd"": 317997.65, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 43699.9, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 43699.9, ""dead_account_booked_deficits_usd"": 43699.9, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",134,114,20,0.0597,64.62,189.02,9563.5,145.92,322.57,10.84,5,5,13,155,0,3,67,8008,1740,583b6e11cba18a5f7c2a982358165c3e69233f22ec0dd9ae3a959f98435c71e9
"[""blocked"", 2020, 1000, 200, ""maximum"", ""weekly"", 2300, 0, true, 7, 10, 2, true]",blocked,2020,1000,200,maximum,weekly,2300,0,27400.0,True,7,10,2,True,273247.25,0,273247.25,141,1,301663.25,141,167,327,10791.0,17625.0,28416.0,289847.25,16600.0,0,7,89942,12658,"{""booked_net_trading_usd"": 265037.2, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 2775.6, ""failed_positive_ledger_usd"": 13142.95, ""failed_negative_ledger_usd"": 52544.6, ""purchase_fees_usd"": 28416.0, ""pocket_usd"": 273247.25, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 52544.6, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 52544.6, ""dead_account_booked_deficits_usd"": 52544.6, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",140,121,19,0.0143,89.08,166.05,12161.17,131.48,155.67,9.64,10,11,9,1745,18,240,467,8642,882,4da53bc774cf8a8de6c47b2f6431d7101ed40a67739554bd9d0facd0518e1cc5
"[""blocked"", 2020, 1000, 200, ""maximum"", ""weekly"", 2300, 0, false, 0, 5, 10, false]",blocked,2020,1000,200,maximum,weekly,2300,0,27400.0,False,0,5,10,False,333907.8,0,333907.8,138,0,362113.8,138,144,332,10956.0,17250.0,28206.0,350507.8,16600.0,0,5,105580,12658,"{""booked_net_trading_usd"": 336543.65, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 0.0, ""failed_positive_ledger_usd"": 16696.4, ""failed_negative_ledger_usd"": 42266.55, ""purchase_fees_usd"": 28206.0, ""pocket_usd"": 333907.8, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 42266.55, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 42266.55, ""dead_account_booked_deficits_usd"": 42266.55, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",138,118,20,0.2609,51.14,178.15,8669.48,145.92,256.57,11.37,5,10,15,345,1,148,196,8244,1402,f5ea34d086621699ad3e1b9a0ccf436d5cc4130a6e405507d1d6416a84d7b340
"[""blocked"", 2020, 1000, 200, ""maximum"", ""weekly"", 2400, 0, false, 0, 5, 2, true]",blocked,2020,1000,200,maximum,weekly,2400,0,27500.0,False,0,5,2,True,281967.05,0,281967.05,143,0,309841.05,143,153,303,9999.0,17875.0,27874.0,298567.05,16600.0,0,5,93094,12658,"{""booked_net_trading_usd"": 274770.7, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 0.0, ""failed_positive_ledger_usd"": 16184.8, ""failed_negative_ledger_usd"": 51255.15, ""purchase_fees_usd"": 27874.0, ""pocket_usd"": 281967.05, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 51255.15, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 51255.15, ""dead_account_booked_deficits_usd"": 51255.15, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",143,123,20,0.0629,70.41,188.02,11124.49,130.92,250.57,9.99,5,10,11,778,2,93,146,8276,1357,304a54c20cb95437074b1d64118fb7997ce8f8f6f1fdfd106cc5c2abe08a25a3
"[""blocked"", 2020, 1000, 200, ""maximum"", ""weekly"", 2400, 0, false, 0, 5, 2, false]",blocked,2020,1000,200,maximum,weekly,2400,0,27500.0,False,0,5,2,False,281486.05,0,281486.05,145,0,309841.05,145,155,310,10230.0,18125.0,28355.0,298086.05,16600.0,0,5,93280,12658,"{""booked_net_trading_usd"": 275549.5, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 0.0, ""failed_positive_ledger_usd"": 16963.6, ""failed_negative_ledger_usd"": 51255.15, ""purchase_fees_usd"": 28355.0, ""pocket_usd"": 281486.05, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 51255.15, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 51255.15, ""dead_account_booked_deficits_usd"": 51255.15, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",145,125,20,0.0759,70.41,188.02,11076.8,130.92,247.57,10.01,5,10,11,778,2,93,146,8296,1326,f87dcab4187212b0316daa8938ad2052675fdce1f41b4e18b08b1550ca20a684
"[""blocked"", 2020, 1000, 200, ""maximum"", ""weekly"", 2400, 0, true, 7, 10, 2, true]",blocked,2020,1000,200,maximum,weekly,2400,0,27500.0,True,7,10,2,True,244263.05,0,244263.05,147,1,273726.05,147,169,336,11088.0,18375.0,29463.0,260863.05,16600.0,0,7,86143,12658,"{""booked_net_trading_usd"": 240078.45, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 2775.6, ""failed_positive_ledger_usd"": 16172.05, ""failed_negative_ledger_usd"": 52595.25, ""purchase_fees_usd"": 29463.0, ""pocket_usd"": 244263.05, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 52595.25, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 52595.25, ""dead_account_booked_deficits_usd"": 52595.25, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",146,127,19,0.0137,92.41,171.15,12727.73,130.46,167.67,9.23,10,10,9,1710,14,297,513,8600,932,0ec937c2efa92013fad265be7f0fd1bf60af6397ff5dcc1706d68bc86f6c2c5c
"[""blocked"", 2020, 1000, 200, ""maximum"", ""weekly"", 2400, 0, false, 0, 5, 10, false]",blocked,2020,1000,200,maximum,weekly,2400,0,27500.0,False,0,5,10,False,322428.6,0,322428.6,138,0,350898.6,138,144,340,11220.0,17250.0,28470.0,339028.6,16600.0,0,5,105477,12658,"{""booked_net_trading_usd"": 326282.3, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 0.0, ""failed_positive_ledger_usd"": 18809.65, ""failed_negative_ledger_usd"": 43425.95, ""purchase_fees_usd"": 28470.0, ""pocket_usd"": 322428.6, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 43425.95, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 43425.95, ""dead_account_booked_deficits_usd"": 43425.95, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",138,118,20,0.2174,51.26,131.59,8745.99,130.92,256.57,11.34,5,10,15,907,1,233,286,8259,1382,de64440d0cf4298e87de67f43843e85faf5b562ccddfa29550378f3e9331f781
"[""blocked"", 2020, 1000, 200, ""maximum"", ""weekly"", 3500, 0, true, 1, 20, 0, true]",blocked,2020,1000,200,maximum,weekly,3500,0,28600.0,True,1,20,0,True,237570.4,17621.2,255191.6,129,14,279632.6,129,151,252,8316.0,16125.0,24441.0,271791.6,16600.0,0,6,95822,12658,"{""booked_net_trading_usd"": 269369.15, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 22873.6, ""failed_positive_ledger_usd"": 12447.5, ""failed_negative_ledger_usd"": 45584.55, ""purchase_fees_usd"": 24441.0, ""pocket_usd"": 255191.6, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 45584.55, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 45584.55, ""dead_account_booked_deficits_usd"": 45584.55, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",115,109,6,0.0,43.79,294.31,9122.72,17.92,157.67,10.26,20,20,12,4207,14,551,794,8670,842,1eaf38313355de7f4bdeeff5d54fd710c0bc28aee42afe11597bf9ee2bc9e4e4
"[""blocked"", 2020, 1000, 200, ""maximum"", ""weekly"", 3500, 0, false, 7, 10, 5, false]",blocked,2020,1000,200,maximum,weekly,3500,0,28600.0,False,7,10,5,False,251300.0,19121.2,270421.2,129,20,296611.2,129,143,305,10065.0,16125.0,26190.0,287021.2,16600.0,0,5,96646,12658,"{""booked_net_trading_usd"": 322195.9, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 50820.1, ""failed_positive_ledger_usd"": 10062.3, ""failed_negative_ledger_usd"": 35297.7, ""purchase_fees_usd"": 26190.0, ""pocket_usd"": 270421.2, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 35297.7, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 35297.7, ""dead_account_booked_deficits_usd"": 35297.7, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",109,109,0,0.1284,55.08,202.31,8271.09,0,58.67,10.37,10,10,9,3018,9,547,839,9064,324,864a899f53f72efe1791a4ed003151294734b2d2032527ce092553d9ceb63768
"[""blocked"", 2020, 1000, 200, ""maximum"", ""weekly"", 3500, 0, true, 7, 10, 5, true]",blocked,2020,1000,200,maximum,weekly,3500,0,28600.0,True,7,10,5,True,195650.35,19121.2,214771.55,123,14,240145.55,123,148,303,9999.0,15375.0,25374.0,231371.55,16600.0,0,6,73745,12658,"{""booked_net_trading_usd"": 229134.45, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 23476.75, ""failed_positive_ledger_usd"": 9201.55, ""failed_negative_ledger_usd"": 43689.4, ""purchase_fees_usd"": 25374.0, ""pocket_usd"": 214771.55, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 43689.4, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 43689.4, ""dead_account_booked_deficits_usd"": 43689.4, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",109,103,6,0.0642,100.26,243.31,12025.12,119.85,80.67,7.95,10,10,9,4536,19,720,1136,8984,426,29821faed386dbbff03c8e2a25d57dec591088fa1c6b77a2b32211e9681970da
