job,mode,start_year,initial_cash,monthly_funding,withdrawal,cadence,headroom,amount,retained_balance,persistent,interval,concurrency,spares,reserve_seats,ongoing,terminal,total,accounts,alive,receipts,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,copies,signals_loaded,economics,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days
"[""unrestricted"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 0, false]",unrestricted,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,0,False,58272.0,0,58272.0,81,0,74337.0,81,85,180,5940.0,10125.0,16065.0,74872.0,16600.0,0,2,28028,12658,"{""booked_net_trading_usd"": 48983.15, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 0.0, ""failed_positive_ledger_usd"": 7355.6, ""failed_negative_ledger_usd"": 32709.45, ""purchase_fees_usd"": 16065.0, ""pocket_usd"": 58272.0, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 32709.45, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 32709.45, ""dead_account_booked_deficits_usd"": 32709.45, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",81,73,8,0.037,87.73,230.33,8961.23,234.41,888.57,2.2,2,2,6,0,0,0,0
"[""unrestricted"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 0, true]",unrestricted,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,0,True,58272.0,0,58272.0,81,0,74337.0,81,85,180,5940.0,10125.0,16065.0,74872.0,16600.0,0,2,28028,12658,"{""booked_net_trading_usd"": 48983.15, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 0.0, ""failed_positive_ledger_usd"": 7355.6, ""failed_negative_ledger_usd"": 32709.45, ""purchase_fees_usd"": 16065.0, ""pocket_usd"": 58272.0, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 32709.45, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 32709.45, ""dead_account_booked_deficits_usd"": 32709.45, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",81,73,8,0.037,87.73,230.33,8961.23,234.41,888.57,2.2,2,2,6,0,0,0,0
"[""unrestricted"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 2, false]",unrestricted,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,2,False,55771.4,0,55771.4,86,0,73418.4,86,88,209,6897.0,10750.0,17647.0,72371.4,16600.0,0,2,26346,12658,"{""booked_net_trading_usd"": 45773.5, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 0.0, ""failed_positive_ledger_usd"": 6963.2, ""failed_negative_ledger_usd"": 34608.1, ""purchase_fees_usd"": 17647.0, ""pocket_usd"": 55771.4, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 34608.1, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 34608.1, ""dead_account_booked_deficits_usd"": 34608.1, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",86,76,10,0.093,87.68,362.16,10508.12,318.27,891.57,2.07,2,2,6,0,0,0,0
"[""unrestricted"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 2, true]",unrestricted,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,2,True,55771.4,0,55771.4,86,0,73418.4,86,88,209,6897.0,10750.0,17647.0,72371.4,16600.0,0,2,26346,12658,"{""booked_net_trading_usd"": 45773.5, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 0.0, ""failed_positive_ledger_usd"": 6963.2, ""failed_negative_ledger_usd"": 34608.1, ""purchase_fees_usd"": 17647.0, ""pocket_usd"": 55771.4, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 34608.1, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 34608.1, ""dead_account_booked_deficits_usd"": 34608.1, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",86,76,10,0.093,87.68,362.16,10508.12,318.27,891.57,2.07,2,2,6,0,0,0,0
"[""unrestricted"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 5, false]",unrestricted,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,5,False,60480.8,0,60480.8,96,0,79905.8,96,98,225,7425.0,12000.0,19425.0,77080.8,16600.0,0,2,28113,12658,"{""booked_net_trading_usd"": 51078.55, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 0.0, ""failed_positive_ledger_usd"": 8406.35, ""failed_negative_ledger_usd"": 37233.6, ""purchase_fees_usd"": 19425.0, ""pocket_usd"": 60480.8, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 37233.6, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 37233.6, ""dead_account_booked_deficits_usd"": 37233.6, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",96,86,10,0.1458,104.15,305.08,11712.98,318.27,1015.57,2.21,2,2,6,0,0,0,0
"[""unrestricted"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 5, true]",unrestricted,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,5,True,60480.8,0,60480.8,96,0,79905.8,96,98,225,7425.0,12000.0,19425.0,77080.8,16600.0,0,2,28113,12658,"{""booked_net_trading_usd"": 51078.55, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 0.0, ""failed_positive_ledger_usd"": 8406.35, ""failed_negative_ledger_usd"": 37233.6, ""purchase_fees_usd"": 19425.0, ""pocket_usd"": 60480.8, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 37233.6, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 37233.6, ""dead_account_booked_deficits_usd"": 37233.6, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",96,86,10,0.1458,104.15,305.08,11712.98,318.27,1015.57,2.21,2,2,6,0,0,0,0
"[""unrestricted"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 10, false]",unrestricted,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,10,False,83540.7,0,83540.7,100,0,103630.7,100,102,230,7590.0,12500.0,20090.0,100140.7,16600.0,0,2,32349,12658,"{""booked_net_trading_usd"": 71818.45, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 0.0, ""failed_positive_ledger_usd"": 8474.95, ""failed_negative_ledger_usd"": 40287.2, ""purchase_fees_usd"": 20090.0, ""pocket_usd"": 83540.7, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 40287.2, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 40287.2, ""dead_account_booked_deficits_usd"": 40287.2, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",100,89,11,0.17,86.17,305.08,11448.76,465.05,973.57,2.54,2,2,6,0,0,0,0
"[""unrestricted"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 10, true]",unrestricted,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,10,True,83540.7,0,83540.7,100,0,103630.7,100,102,230,7590.0,12500.0,20090.0,100140.7,16600.0,0,2,32349,12658,"{""booked_net_trading_usd"": 71818.45, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 0.0, ""failed_positive_ledger_usd"": 8474.95, ""failed_negative_ledger_usd"": 40287.2, ""purchase_fees_usd"": 20090.0, ""pocket_usd"": 83540.7, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 40287.2, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 40287.2, ""dead_account_booked_deficits_usd"": 40287.2, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",100,89,11,0.17,86.17,305.08,11448.76,465.05,973.57,2.54,2,2,6,0,0,0,0
"[""unrestricted"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 5, 0, false]",unrestricted,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,5,0,False,144981.99,0,144981.99,134,2,172093.99,134,148,314,10362.0,16750.0,27112.0,161581.99,16600.0,0,5,53860,12658,"{""booked_net_trading_usd"": 140546.1, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 5139.0, ""failed_positive_ledger_usd"": 13329.56, ""failed_negative_ledger_usd"": 50016.45, ""purchase_fees_usd"": 27112.0, ""pocket_usd"": 144981.99, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 50016.45, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 50016.45, ""dead_account_booked_deficits_usd"": 50016.45, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",132,121,11,0.0152,75.15,152.0,11346.72,234.41,744.67,4.23,5,5,11,0,0,0,0
"[""unrestricted"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 5, 0, true]",unrestricted,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,5,0,True,144981.99,0,144981.99,134,2,172093.99,134,148,314,10362.0,16750.0,27112.0,161581.99,16600.0,0,5,53860,12658,"{""booked_net_trading_usd"": 140546.1, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 5139.0, ""failed_positive_ledger_usd"": 13329.56, ""failed_negative_ledger_usd"": 50016.45, ""purchase_fees_usd"": 27112.0, ""pocket_usd"": 144981.99, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 50016.45, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 50016.45, ""dead_account_booked_deficits_usd"": 50016.45, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",132,121,11,0.0152,75.15,152.0,11346.72,234.41,744.67,4.23,5,5,11,0,0,0,0
