job,mode,start_year,initial_cash,monthly_funding,withdrawal,cadence,headroom,amount,retained_balance,persistent,interval,concurrency,spares,reserve_seats,ongoing,terminal,total,accounts,alive,receipts,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,copies,signals_loaded,economics,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,signals_executed,zero_live_signals,allocation_sha256,label
"[""blocked"", 2020, 1000, 0, ""minimum"", ""calendar_month"", 0, 0, true, 1, 20, 0, true]",blocked,2020,1000,0,minimum,calendar_month,0,0,25100.0,True,1,20,0,True,-976.0,0,-976.0,6,0,500.0,6,15,22,726.0,750.0,1476.0,24.0,1000.0,0,1,2000,12658,"{""booked_net_trading_usd"": -3689.7, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 0.0, ""failed_positive_ledger_usd"": 213.15, ""failed_negative_ledger_usd"": 4402.85, ""purchase_fees_usd"": 1476.0, ""pocket_usd"": -976.0, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 4402.85, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 4402.85, ""dead_account_booked_deficits_usd"": 4402.85, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",6,3,3,0.0,263.12,263.12,6475.47,1967.2,2049.57,0.22,7,7,3,2416,7,2220,2226,1280,10893,042eb1e511f7526d632fcdc3f2cd402d7188d2f579aa65445dd12a3d181bfcbc,2020 / $1000+$0/mo
"[""blocked"", 2020, 1000, 0, ""minimum"", ""weekly"", 1800, 0, false, 0, 5, 10, true]",blocked,2020,1000,0,minimum,weekly,1800,0,26900.0,False,0,5,10,True,-980.0,0,-980.0,20,0,3500.0,20,27,60,1980.0,2500.0,4480.0,20.0,1000.0,0,3,7317,12658,"{""booked_net_trading_usd"": -3741.35, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 0.0, ""failed_positive_ledger_usd"": 1271.6, ""failed_negative_ledger_usd"": 8512.95, ""purchase_fees_usd"": 4480.0, ""pocket_usd"": -980.0, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 8512.95, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 8512.95, ""dead_account_booked_deficits_usd"": 8512.95, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",20,12,8,0.5,0.19,45.02,15112.27,1881.94,1939.57,0.8,5,5,7,5668,4,2091,2091,1696,10342,f4cec096232e20d63d34f98d58b1ef3a88f8d1431f67b84c22b8c5f4e88e8874,2020 / $1000+$0/mo
"[""blocked"", 2020, 5000, 0, ""minimum"", ""calendar_month"", 0, 0, true, 1, 20, 0, true]",blocked,2020,5000,0,minimum,calendar_month,0,0,25100.0,True,1,20,0,True,-4968.0,0,-4968.0,29,0,1000.0,29,43,71,2343.0,3625.0,5968.0,32.0,5000.0,0,0,9589,12658,"{""booked_net_trading_usd"": -16326.0, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 0.0, ""failed_positive_ledger_usd"": 1929.55, ""failed_negative_ledger_usd"": 19255.55, ""purchase_fees_usd"": 5968.0, ""pocket_usd"": -4968.0, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 19255.55, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 19255.55, ""dead_account_booked_deficits_usd"": 19255.55, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",29,17,12,0.0,51.02,67.12,23420.91,1957.7,1985.57,1.04,13,13,6,0,11,1875,1875,1533,10554,cd6c04da3ffc7c2297a974dc873b85496a67a138be2896afae91e6d97deb354e,2020 / $5000+$0/mo
"[""blocked"", 2020, 5000, 0, ""minimum"", ""weekly"", 1800, 0, false, 0, 5, 10, true]",blocked,2020,5000,0,minimum,weekly,1800,0,26900.0,False,0,5,10,True,432787.0,0,432787.0,86,5,450500.0,86,91,211,6963.0,10750.0,17713.0,437787.0,5000.0,0,5,117954,12658,"{""booked_net_trading_usd"": 445873.35, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 12394.75, ""failed_positive_ledger_usd"": 9257.8, ""failed_negative_ledger_usd"": 26279.2, ""purchase_fees_usd"": 17713.0, ""pocket_usd"": 432787.0, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 26279.2, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 26279.2, ""dead_account_booked_deficits_usd"": 26279.2, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",81,66,15,0.2469,51.66,126.02,5465.21,145.04,220.67,12.66,5,5,15,263,0,69,118,8404,1204,f5a5d4cfe190e86ffead41a94f7b3e117021fea7d45dfe366c6685575892eafb,2020 / $5000+$0/mo
"[""blocked"", 2020, 5000, 200, ""minimum"", ""calendar_month"", 0, 0, true, 1, 20, 0, true]",blocked,2020,5000,200,minimum,calendar_month,0,0,25100.0,True,1,20,0,True,302282.0,150301.3,452583.3,149,20,481801.3,149,156,321,10593.0,18625.0,29218.0,473183.3,20600.0,0,0,130525,12658,"{""booked_net_trading_usd"": 454733.7, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 2000.2, ""failed_positive_ledger_usd"": 17733.25, ""failed_negative_ledger_usd"": 46801.05, ""purchase_fees_usd"": 29218.0, ""pocket_usd"": 452583.3, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 46801.05, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 46801.05, ""dead_account_booked_deficits_usd"": 46801.05, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",129,129,0,0.0,49.03,99.12,6206.6,0,168.67,13.93,19,19,18,0,0,0,0,8634,914,449ed5973f755b6526b1926d39a6c1612a7e403928e35e41eb1e9e2baf524318,2020 / $5000+$200/mo
"[""blocked"", 2020, 5000, 200, ""minimum"", ""weekly"", 1800, 0, false, 0, 5, 10, true]",blocked,2020,5000,200,minimum,weekly,1800,0,26900.0,False,0,5,10,True,384215.0,0,384215.0,131,10,409500.0,131,136,270,8910.0,16375.0,25285.0,404815.0,20600.0,0,5,118578,12658,"{""booked_net_trading_usd"": 431366.65, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 26232.0, ""failed_positive_ledger_usd"": 20511.3, ""failed_negative_ledger_usd"": 24876.65, ""purchase_fees_usd"": 25285.0, ""pocket_usd"": 384215.0, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 24876.65, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 24876.65, ""dead_account_booked_deficits_usd"": 24876.65, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",121,111,10,0.2479,62.66,123.02,6084.33,38.2,246.67,12.7,5,5,15,0,0,0,0,8309,1352,4646527440229c877317a46e64330c566a716e419b28744fa7f63772c777d658,2020 / $5000+$200/mo
"[""blocked"", 2021, 1000, 200, ""minimum"", ""calendar_month"", 0, 0, true, 1, 20, 0, true]",blocked,2021,1000,200,minimum,calendar_month,0,0,25100.0,True,1,20,0,True,299442.0,150085.75,449527.75,86,20,466085.75,86,91,176,5808.0,10750.0,16558.0,463727.75,14200.0,0,0,106246,10756,"{""booked_net_trading_usd"": 458101.0, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 2000.2, ""failed_positive_ledger_usd"": 10139.3, ""failed_negative_ledger_usd"": 20124.25, ""purchase_fees_usd"": 16558.0, ""pocket_usd"": 449527.75, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 20124.25, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 20124.25, ""dead_account_booked_deficits_usd"": 20124.25, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",66,66,0,0.0,47.22,76.02,2732.52,0,109.78,13.38,19,19,19,0,0,0,0,7460,627,a52ef4f0179ac67054662afe424ed81882d409295fc680048019a79fa4d0fde9,2021 / $1000+$200/mo
"[""blocked"", 2021, 1000, 200, ""minimum"", ""weekly"", 1800, 0, false, 0, 5, 10, true]",blocked,2021,1000,200,minimum,weekly,1800,0,26900.0,False,0,5,10,True,434123.0,0,434123.0,65,5,447000.0,65,75,144,4752.0,8125.0,12877.0,448323.0,14200.0,0,5,108131,10756,"{""booked_net_trading_usd"": 448004.95, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 12394.75, ""failed_positive_ledger_usd"": 6890.65, ""failed_negative_ledger_usd"": 18280.45, ""purchase_fees_usd"": 12877.0, ""pocket_usd"": 434123.0, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 18280.45, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 18280.45, ""dead_account_booked_deficits_usd"": 18280.45, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",60,45,15,0.1833,24.26,78.31,3607.87,145.04,140.78,13.7,5,8,15,1159,5,301,348,7317,781,f2084a411c3aa08865d7f27129f1b51fd9e6269637cee701442ab8eb11a9a614,2021 / $1000+$200/mo
"[""blocked"", 2022, 1000, 200, ""minimum"", ""calendar_month"", 0, 0, true, 1, 20, 0, true]",blocked,2022,1000,200,minimum,calendar_month,0,0,25100.0,True,1,20,0,True,284443.0,147947.75,432390.75,53,20,442447.75,53,56,104,3432.0,6625.0,10057.0,444190.75,11800.0,0,0,89902,8845,"{""booked_net_trading_usd"": 438852.55, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 2000.2, ""failed_positive_ledger_usd"": 2939.45, ""failed_negative_ledger_usd"": 8534.85, ""purchase_fees_usd"": 10057.0, ""pocket_usd"": 432390.75, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 8534.85, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 8534.85, ""dead_account_booked_deficits_usd"": 8534.85, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",33,33,0,0.0,47.22,64.12,1226.97,0,67.81,13.81,16,16,16,11,0,0,11,6229,376,bfd6269fcaa6fec702a3af09af6b67a7b9f027718bcfefe44291e887e2aadf5b,2022 / $1000+$200/mo
"[""blocked"", 2022, 1000, 200, ""minimum"", ""weekly"", 1800, 0, false, 0, 5, 10, true]",blocked,2022,1000,200,minimum,weekly,1800,0,26900.0,False,0,5,10,True,366894.0,0,366894.0,66,9,379500.0,66,74,132,4356.0,8250.0,12606.0,378694.0,11800.0,0,5,84649,8845,"{""booked_net_trading_usd"": 394227.4, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 29758.45, ""failed_positive_ledger_usd"": 5554.35, ""failed_negative_ledger_usd"": 20585.4, ""purchase_fees_usd"": 12606.0, ""pocket_usd"": 366894.0, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 20585.4, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 20585.4, ""dead_account_booked_deficits_usd"": 20585.4, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",57,46,11,0.2982,6.15,70.31,2398.09,131.48,73.81,13.06,5,7,10,868,3,151,231,6217,387,0ff31f8614ff4e19125ae4d8253a4bfef1b61aab334282e03ebe8fae5068019b,2022 / $1000+$200/mo
