episode,months,budget,gap,start,end,rrs
1m_b1500_g20_e12,1,1500,20,2025-03-06T20:21:40,2025-04-07T09:22:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g20_e13,1,1500,20,2025-11-18T18:31:40,2025-11-19T23:30:00,0.50/0.75/1.00/1.25/1.50/2.50/2.75/3.00/3.25/3.50
1m_b1500_g20_e14,1,1500,20,2026-02-13T09:00:40,2026-03-27T22:03:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g20_e15,1,1500,20,2026-06-08T02:33:40,2026-06-10T21:50:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g40_e01,1,1500,40,2020-02-28T12:21:40,2020-03-19T17:30:00,0.75/1.75/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g40_e02,1,1500,40,2020-09-08T17:00:20,2020-09-21T19:30:00,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g40_e03,1,1500,40,2021-03-24T20:00:20,2021-03-24T20:40:40,0.50
1m_b1500_g40_e04,1,1500,40,2021-09-28T21:44:40,2021-09-30T22:59:40,1.00/1.75/2.00/2.50/2.75/3.00/3.25/3.50
1m_b1500_g40_e05,1,1500,40,2022-01-19T08:00:40,2022-06-16T23:30:00,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g40_e06,1,1500,40,2022-09-22T22:00:40,2022-09-28T12:15:40,1.25/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g40_e07,1,1500,40,2022-12-28T19:32:40,2022-12-29T11:00:00,1.50/2.25
1m_b1500_g40_e08,1,1500,40,2023-08-08T19:32:40,2023-08-17T09:30:00,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g40_e09,1,1500,40,2024-07-25T09:30:40,2024-09-09T06:30:00,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g40_e10,1,1500,40,2025-03-06T20:21:40,2025-04-07T09:22:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g40_e11,1,1500,40,2025-11-18T18:31:40,2025-11-19T23:30:00,0.50/0.75/1.00/1.25/1.50/2.50/2.75/3.00/3.25/3.50
1m_b1500_g40_e12,1,1500,40,2026-02-13T09:00:40,2026-03-27T22:03:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g40_e13,1,1500,40,2026-06-08T02:33:40,2026-06-10T21:50:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g5_e01,3,1500,5,2020-03-12T19:02:40,2020-03-18T19:30:40,0.75/1.00/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
3m_b1500_g5_e02,3,1500,5,2021-03-04T13:40:40,2021-03-09T17:00:00,0.50/2.00/2.25/2.50/2.75/3.00
