months,budget,gap,left,right,shared,left_only,right_only,reciprocal,jaccard
1,1500,5,1.50,2.50,13,2,4,True,0.6842105263157895
1,1500,5,1.50,2.75,13,2,4,True,0.6842105263157895
1,1500,5,1.50,3.00,13,2,5,True,0.65
1,1500,5,1.50,3.25,13,2,4,True,0.6842105263157895
1,1500,5,1.50,3.50,12,3,4,True,0.631578947368421
1,1500,5,1.75,2.00,15,2,0,False,0.8823529411764706
1,1500,5,1.75,2.25,15,2,1,True,0.8333333333333334
1,1500,5,1.75,2.50,16,1,1,True,0.8888888888888888
1,1500,5,1.75,2.75,16,1,1,True,0.8888888888888888
1,1500,5,1.75,3.00,16,1,2,True,0.8421052631578947
1,1500,5,1.75,3.25,16,1,1,True,0.8888888888888888
1,1500,5,1.75,3.50,15,2,1,True,0.8333333333333334
1,1500,5,2.00,2.25,14,1,2,True,0.8235294117647058
1,1500,5,2.00,2.50,15,0,2,False,0.8823529411764706
1,1500,5,2.00,2.75,15,0,2,False,0.8823529411764706
1,1500,5,2.00,3.00,15,0,3,False,0.8333333333333334
1,1500,5,2.00,3.25,15,0,2,False,0.8823529411764706
1,1500,5,2.00,3.50,14,1,2,True,0.8235294117647058
1,1500,5,2.25,2.50,15,1,2,True,0.8333333333333334
1,1500,5,2.25,2.75,15,1,2,True,0.8333333333333334
1,1500,5,2.25,3.00,15,1,3,True,0.7894736842105263
1,1500,5,2.25,3.25,15,1,2,True,0.8333333333333334
1,1500,5,2.25,3.50,14,2,2,True,0.7777777777777778
1,1500,5,2.50,2.75,17,0,0,False,1.0
1,1500,5,2.50,3.00,17,0,1,False,0.9444444444444444
1,1500,5,2.50,3.25,17,0,0,False,1.0
1,1500,5,2.50,3.50,16,1,0,False,0.9411764705882353
1,1500,5,2.75,3.00,17,0,1,False,0.9444444444444444
1,1500,5,2.75,3.25,17,0,0,False,1.0
1,1500,5,2.75,3.50,16,1,0,False,0.9411764705882353
1,1500,5,3.00,3.25,17,1,0,False,0.9444444444444444
1,1500,5,3.00,3.50,16,2,0,False,0.8888888888888888
1,1500,5,3.25,3.50,16,1,0,False,0.9411764705882353
1,1500,20,0.50,0.75,9,2,1,True,0.75
1,1500,20,0.50,1.00,9,2,1,True,0.75
1,1500,20,0.50,1.25,9,2,1,True,0.75
1,1500,20,0.50,1.50,9,2,1,True,0.75
1,1500,20,0.50,1.75,8,3,3,True,0.5714285714285714
1,1500,20,0.50,2.00,8,3,2,True,0.6153846153846154
1,1500,20,0.50,2.25,8,3,3,True,0.5714285714285714
1,1500,20,0.50,2.50,9,2,3,True,0.6428571428571429
1,1500,20,0.50,2.75,9,2,3,True,0.6428571428571429
1,1500,20,0.50,3.00,9,2,3,True,0.6428571428571429
1,1500,20,0.50,3.25,9,2,3,True,0.6428571428571429
1,1500,20,0.50,3.50,8,3,3,True,0.5714285714285714
1,1500,20,0.75,1.00,8,2,2,True,0.6666666666666666
1,1500,20,0.75,1.25,8,2,2,True,0.6666666666666666
1,1500,20,0.75,1.50,8,2,2,True,0.6666666666666666
1,1500,20,0.75,1.75,8,2,3,True,0.6153846153846154
1,1500,20,0.75,2.00,7,3,3,True,0.5384615384615384
