months,budget,left,right,periods,left_failed,right_failed,both,left_only,right_only,neither,reciprocal,jaccard,both_cases,left_only_cases,right_only_cases
1,1500,0.50,0.75,78,17,15,14,3,1,60,True,0.7777777777777778,1m_2020-09-01;1m_2022-01-01;1m_2022-02-01;1m_2022-04-01;1m_2022-05-01;1m_2023-08-01;1m_2024-08-01;1m_2024-09-01;1m_2025-03-01;1m_2025-04-01;1m_2025-11-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2021-03-01;1m_2022-06-01;1m_2024-07-01,1m_2020-03-01
1,1500,0.50,1.00,78,17,16,15,2,1,60,True,0.8333333333333334,1m_2020-09-01;1m_2022-01-01;1m_2022-02-01;1m_2022-04-01;1m_2022-05-01;1m_2022-06-01;1m_2023-08-01;1m_2024-07-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2025-11-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2021-03-01;1m_2024-09-01,1m_2021-09-01
1,1500,0.50,1.25,78,17,16,14,3,2,59,True,0.7368421052631579,1m_2020-09-01;1m_2022-01-01;1m_2022-04-01;1m_2022-05-01;1m_2022-06-01;1m_2023-08-01;1m_2024-07-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2025-11-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2021-03-01;1m_2022-02-01;1m_2024-09-01,1m_2022-03-01;1m_2022-09-01
1,1500,0.50,1.50,78,17,16,14,3,2,59,True,0.7368421052631579,1m_2020-09-01;1m_2022-01-01;1m_2022-04-01;1m_2022-05-01;1m_2022-06-01;1m_2023-08-01;1m_2024-07-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2025-11-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2021-03-01;1m_2022-02-01;1m_2024-09-01,1m_2022-03-01;1m_2022-12-01
1,1500,0.50,1.75,78,17,18,14,3,4,57,True,0.6666666666666666,1m_2020-09-01;1m_2022-01-01;1m_2022-02-01;1m_2022-04-01;1m_2022-05-01;1m_2022-06-01;1m_2023-08-01;1m_2024-07-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2021-03-01;1m_2024-09-01;1m_2025-11-01,1m_2020-03-01;1m_2021-09-01;1m_2022-03-01;1m_2022-09-01
1,1500,0.50,2.00,78,17,17,14,3,3,58,True,0.7,1m_2020-09-01;1m_2022-01-01;1m_2022-02-01;1m_2022-04-01;1m_2022-05-01;1m_2022-06-01;1m_2023-08-01;1m_2024-07-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2021-03-01;1m_2024-09-01;1m_2025-11-01,1m_2021-09-01;1m_2022-03-01;1m_2022-09-01
1,1500,0.50,2.25,78,17,18,14,3,4,57,True,0.6666666666666666,1m_2020-09-01;1m_2022-01-01;1m_2022-02-01;1m_2022-04-01;1m_2022-05-01;1m_2022-06-01;1m_2023-08-01;1m_2024-07-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2021-03-01;1m_2024-09-01;1m_2025-11-01,1m_2020-03-01;1m_2022-03-01;1m_2022-09-01;1m_2022-12-01
1,1500,0.50,2.50,78,17,19,15,2,4,57,True,0.7142857142857143,1m_2020-09-01;1m_2022-01-01;1m_2022-02-01;1m_2022-04-01;1m_2022-05-01;1m_2022-06-01;1m_2023-08-01;1m_2024-07-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2025-11-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2021-03-01;1m_2024-09-01,1m_2020-03-01;1m_2021-09-01;1m_2022-03-01;1m_2022-09-01
1,1500,0.50,2.75,78,17,19,15,2,4,57,True,0.7142857142857143,1m_2020-09-01;1m_2022-01-01;1m_2022-02-01;1m_2022-04-01;1m_2022-05-01;1m_2022-06-01;1m_2023-08-01;1m_2024-07-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2025-11-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2021-03-01;1m_2024-09-01,1m_2020-03-01;1m_2021-09-01;1m_2022-03-01;1m_2022-09-01
1,1500,0.50,3.00,78,17,20,15,2,5,56,True,0.6818181818181818,1m_2020-09-01;1m_2022-01-01;1m_2022-02-01;1m_2022-04-01;1m_2022-05-01;1m_2022-06-01;1m_2023-08-01;1m_2024-07-01;1m_2024-08-01;1m_2025-03-01;1m_2025-04-01;1m_2025-11-01;1m_2026-02-01;1m_2026-03-01;1m_2026-06-01,1m_2021-03-01;1m_2024-09-01,1m_2020-02-01;1m_2020-03-01;1m_2021-09-01;1m_2022-03-01;1m_2022-09-01
