case,left,right,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change
3m_2020-01-01,0.75,3.00,-475.45,3894.3,2020-03-20,29,41,True,6,-1087.1000000000001,-2184.0499999999997,-3735.8
3m_2020-01-01,0.75,3.25,-432.8,3854.7749999999996,2020-03-20,29,41,True,7,-1087.1000000000001,-2184.0499999999997,-3696.275
3m_2020-01-01,0.75,3.50,-16.200000000000003,3674.675,2020-03-20,29,41,True,7,-986.7750000000001,-1752.3,-3516.175
3m_2020-01-01,1.00,1.25,225.27499999999998,2986.0,2020-03-20,28,40,True,7,-862.075,-2070.075,-2907.25
3m_2020-01-01,1.00,1.50,93.89999999999998,3129.175,2020-03-20,28,40,True,7,-936.8,-2084.8,-2990.175
3m_2020-01-01,1.00,1.75,-717.3,3517.65,2020-03-20,29,41,True,7,-1087.1,-2070.7999999999997,-3358.35
3m_2020-01-01,1.00,2.00,-166.575,3448.725,2020-03-20,29,41,True,8,-1087.1,-2113.275,-3336.15
3m_2020-01-01,1.00,2.25,-514.675,3647.375,2020-03-20,29,41,True,7,-1087.1,-2074.625,-3569.775
3m_2020-01-01,1.00,2.50,-623.425,3722.2749999999996,2020-03-20,29,41,True,7,-1087.1000000000001,-2039.275,-3687.425
3m_2020-01-01,1.00,2.75,-412.725,3691.7,2020-03-19,29,41,True,7,-1087.1,-2002.775,-3671.3999999999996
3m_2020-01-01,1.00,3.00,-881.0,3803.775,2020-03-20,29,41,True,7,-1087.1,-2080.25,-3730.575
3m_2020-01-01,1.00,3.25,-838.35,3764.25,2020-03-20,29,41,True,7,-1087.1,-2076.25,-3691.0499999999997
3m_2020-01-01,1.00,3.50,-421.75,3584.15,2020-03-20,29,41,True,7,-953.5250000000001,-1953.225,-3510.95
3m_2020-01-01,1.25,1.50,1061.425,3114.7,2020-03-12,28,40,True,8,-1034.525,-2096.025,-2921.3
3m_2020-01-01,1.25,1.75,250.22499999999997,3179.25,2020-03-20,28,40,True,8,-1087.1,-2082.025,-3040.25
3m_2020-01-01,1.25,2.00,800.95,3110.325,2020-03-20,28,40,True,8,-1087.1,-2124.5,-2971.325
3m_2020-01-01,1.25,2.25,452.84999999999997,3308.9750000000004,2020-03-20,28,40,True,7,-1087.1,-2078.25,-3169.9750000000004
3m_2020-01-01,1.25,2.50,344.09999999999997,3383.875,2020-03-20,28,40,True,8,-1087.1,-2050.5,-3244.875
3m_2020-01-01,1.25,2.75,554.8,3253.075,2020-03-20,28,40,True,8,-1087.1,-2014.0,-3202.05
3m_2020-01-01,1.25,3.00,86.52499999999998,3465.375,2020-03-20,28,40,True,8,-1087.1,-2091.475,-3326.375
3m_2020-01-01,1.25,3.25,129.17499999999995,3425.8500000000004,2020-03-20,28,40,True,8,-1087.1,-2087.4750000000004,-3286.8500000000004
3m_2020-01-01,1.25,3.50,545.775,3245.75,2020-03-20,28,40,True,7,-1051.25,-1964.45,-3106.75
3m_2020-01-01,1.50,1.75,118.84999999999997,3349.45,2020-03-20,29,41,True,9,-1109.25,-2096.75,-3268.925
3m_2020-01-01,1.50,2.00,669.575,3280.5249999999996,2020-03-20,29,41,True,8,-1109.25,-2139.2250000000004,-3145.1
3m_2020-01-01,1.50,2.25,321.47499999999997,3479.175,2020-03-20,29,41,True,7,-1109.25,-2092.9750000000004,-3378.725
3m_2020-01-01,1.50,2.50,212.72499999999997,3554.075,2020-03-20,29,41,True,8,-1125.975,-2065.2250000000004,-3496.375
3m_2020-01-01,1.50,2.75,423.42499999999995,3480.35,2020-03-18,29,41,True,9,-1125.975,-2028.725,-3480.35
3m_2020-01-01,1.50,3.00,-44.85000000000002,3635.575,2020-03-20,29,41,True,8,-1125.975,-2106.2,-3539.525
3m_2020-01-01,1.50,3.25,-2.2000000000000455,3596.05,2020-03-20,29,41,True,8,-1125.975,-2102.2,-3500.0
3m_2020-01-01,1.50,3.50,414.4,3415.95,2020-03-20,29,41,True,7,-1125.975,-1979.175,-3319.9
3m_2020-01-01,1.75,2.00,-141.625,3673.375,2020-03-20,29,41,True,9,-1456.1,-2392.6,-3649.5249999999996
3m_2020-01-01,1.75,2.25,-489.725,3883.1499999999996,2020-03-18,29,41,True,8,-1456.1,-2357.625,-3883.1499999999996
3m_2020-01-01,1.75,2.50,-598.475,4000.8,2020-03-18,29,41,True,8,-1456.1,-2314.875,-4000.8
3m_2020-01-01,1.75,2.75,-387.77500000000003,3984.7749999999996,2020-03-18,29,41,True,9,-1456.1000000000001,-2200.1,-3984.7749999999996
3m_2020-01-01,1.75,3.00,-856.05,4043.9500000000003,2020-03-18,29,41,True,8,-1456.1000000000001,-2353.225,-4043.9500000000003
3m_2020-01-01,1.75,3.25,-813.4000000000001,4004.425,2020-03-18,29,41,True,8,-1456.1000000000001,-2353.225,-4004.425
3m_2020-01-01,1.75,3.50,-396.8,3824.325,2020-03-18,29,41,True,8,-1125.975,-1965.1749999999997,-3824.325
3m_2020-01-01,2.00,2.25,61.0,3803.1,2020-03-20,29,41,True,8,-1456.1,-2412.525,-3759.325
3m_2020-01-01,2.00,2.50,-47.75,3878.0,2020-03-20,29,41,True,8,-1456.1,-2369.7749999999996,-3876.975
3m_2020-01-01,2.00,2.75,162.95000000000002,3860.95,2020-03-18,29,41,True,9,-1456.1,-2255.0,-3860.95
3m_2020-01-01,2.00,3.00,-305.325,3959.5,2020-03-20,29,41,True,7,-1456.1000000000001,-2408.125,-3920.125
3m_2020-01-01,2.00,3.25,-262.675,3919.9750000000004,2020-03-20,29,41,True,7,-1456.1000000000001,-2408.125,-3880.6000000000004
3m_2020-01-01,2.00,3.50,153.925,3739.875,2020-03-20,29,41,True,7,-1125.975,-2007.65,-3700.5
3m_2020-01-01,2.25,2.50,-395.85,4110.6,2020-03-18,29,41,True,9,-1456.1,-2334.8,-4110.6
3m_2020-01-01,2.25,2.75,-185.15,4094.575,2020-03-18,29,41,True,10,-1456.1000000000001,-2220.025,-4094.575
3m_2020-01-01,2.25,3.00,-653.425,4158.15,2020-03-20,29,41,True,8,-1456.1000000000001,-2373.1499999999996,-4153.75
3m_2020-01-01,2.25,3.25,-610.7750000000001,4118.625,2020-03-20,29,41,True,8,-1456.1000000000001,-2373.1499999999996,-4114.225
3m_2020-01-01,2.25,3.50,-194.175,3938.5249999999996,2020-03-20,29,41,True,7,-1125.975,-2091.15,-3934.125
3m_2020-01-01,2.50,2.75,-293.90000000000003,4212.224999999999,2020-03-18,29,41,True,10,-1456.1,-2188.7,-4212.224999999999
3m_2020-01-01,2.50,3.00,-762.175,4271.4,2020-03-18,29,41,True,8,-1456.1,-2330.4,-4271.4
3m_2020-01-01,2.50,3.25,-719.5250000000001,4231.875,2020-03-18,29,41,True,8,-1456.1,-2330.4,-4231.875
3m_2020-01-01,2.50,3.50,-302.925,4051.7749999999996,2020-03-18,29,41,True,7,-1142.6999999999998,-2233.6749999999997,-4051.7749999999996
3m_2020-01-01,2.75,3.00,-551.475,4255.375,2020-03-18,29,41,True,8,-1456.1,-2215.625,-4255.375
3m_2020-01-01,2.75,3.25,-508.82500000000005,4215.85,2020-03-18,29,41,True,8,-1456.1,-2215.625,-4215.85
3m_2020-01-01,2.75,3.50,-92.225,4035.75,2020-03-18,29,41,True,7,-1142.7,-2233.675,-4035.75
3m_2020-01-01,3.00,3.25,-977.1,4275.025,2020-03-18,29,41,True,8,-1456.1,-2368.75,-4275.025
3m_2020-01-01,3.00,3.50,-560.5,4094.925,2020-03-18,29,41,True,6,-1142.7,-2233.675,-4094.925
3m_2020-01-01,3.25,3.50,-517.85,4055.4,2020-03-18,29,41,True,6,-1142.7,-2233.675,-4055.4
3m_2020-04-01,0.50,0.50,1392.95,948.35,2020-05-01,20,28,True,6,-445.85000000000014,-575.5999999999999,-725.9000000000001
3m_2020-04-01,0.75,0.75,2690.25,850.5,2020-06-26,15,21,True,7,-445.8499999999999,-591.4000000000001,-367.6999999999998
3m_2020-04-01,1.00,1.00,1892.85,829.0,2020-06-30,19,27,True,8,-417.3499999999999,-727.4500000000003,-360.3000000000002
3m_2020-04-01,1.25,1.25,2355.35,633.4499999999999,2020-05-01,24,34,True,9,-417.3499999999999,-597.4000000000001,-210.94999999999993
3m_2020-04-01,1.50,1.50,2497.35,688.2,2020-04-28,19,27,True,11,-465.3,-563.6000000000001,-46.30000000000007
3m_2020-04-01,1.75,1.75,2991.6,753.75,2020-06-12,15,21,True,12,-525.3500000000004,-659.5,-121.40000000000009
3m_2020-04-01,2.00,2.00,3066.7,762.6500000000001,2020-06-30,12,18,True,11,-525.3499999999999,-762.6500000000001,15.299999999999727
3m_2020-04-01,2.25,2.25,2303.0,1036.1000000000001,2020-06-12,14,20,True,10,-525.3499999999999,-930.8999999999999,-660.6999999999998
3m_2020-04-01,2.50,2.50,3176.4,924.0999999999999,2020-06-12,12,18,True,12,-525.3499999999999,-759.8499999999999,-111.04999999999973
3m_2020-04-01,2.75,2.75,3250.8,924.0999999999999,2020-06-12,8,12,True,14,-525.3499999999999,-689.6499999999996,-103.19999999999982
3m_2020-04-01,3.00,3.00,3773.95,924.0999999999999,2020-06-12,8,12,True,14,-525.3499999999999,-689.6500000000005,-137.6500000000001
3m_2020-04-01,3.25,3.25,3464.95,924.0999999999999,2020-06-12,8,12,True,13,-525.3499999999999,-855.0500000000002,-274.60000000000036
3m_2020-04-01,3.50,3.50,3702.0,924.1000000000004,2020-06-12,11,15,True,14,-525.3500000000004,-855.0500000000002,9.099999999999909
3m_2020-04-01,0.50,0.75,2041.6,799.9499999999998,2020-06-26,14,20,True,7,-445.8499999999999,-574.8249999999998,-528.2750000000001
3m_2020-04-01,0.50,1.00,1642.9,772.5500000000002,2020-06-26,18,24,True,7,-431.5999999999999,-597.7000000000003,-524.5750000000003
3m_2020-04-01,0.50,1.25,1874.15,708.925,2020-05-01,19,27,True,9,-431.5999999999999,-532.6749999999997,-379.0750000000003
3m_2020-04-01,0.50,1.50,1945.15,702.0,2020-05-01,19,27,True,8,-439.35,-541.3,-339.0999999999999
3m_2020-04-01,0.50,1.75,2192.275,728.8250000000003,2020-06-12,17,23,True,9,-485.60000000000036,-617.5499999999997,-405.125
3m_2020-04-01,0.50,2.00,2229.825,680.125,2020-06-26,14,20,True,9,-485.60000000000036,-615.3000000000002,-336.77500000000055
3m_2020-04-01,0.50,2.25,1847.975,897.3499999999999,2020-06-12,20,28,True,8,-485.5999999999999,-753.2499999999995,-674.7750000000001
3m_2020-04-01,0.50,2.50,2284.675,813.9999999999998,2020-06-12,12,18,True,11,-485.5999999999999,-667.7250000000001,-399.9499999999998
3m_2020-04-01,0.50,2.75,2321.875,814.0,2020-06-12,12,18,True,11,-485.5999999999999,-604.625,-396.0250000000001
3m_2020-04-01,0.50,3.00,2583.45,814.0,2020-06-12,12,18,True,11,-485.5999999999999,-600.6000000000004,-413.25
3m_2020-04-01,0.50,3.25,2428.95,814.0,2020-06-12,15,21,True,9,-485.60000000000036,-661.5,-481.72500000000036
3m_2020-04-01,0.50,3.50,2547.475,814.0000000000005,2020-06-12,15,21,True,9,-485.60000000000036,-661.5000000000005,-339.87500000000045
3m_2020-04-01,0.75,1.00,2291.55,823.1000000000004,2020-06-26,18,24,True,8,-431.60000000000036,-602.8500000000004,-364.0
3m_2020-04-01,0.75,1.25,2522.8,644.5250000000001,2020-06-26,18,24,True,9,-431.5999999999999,-536.5749999999998,-218.5
3m_2020-04-01,0.75,1.50,2593.8,652.375,2020-06-26,17,23,True,10,-435.57500000000005,-564.7499999999999,-178.52499999999964
3m_2020-04-01,0.75,1.75,2840.925,636.2249999999995,2020-06-12,15,21,True,10,-485.5999999999999,-564.75,-244.54999999999973
3m_2020-04-01,0.75,2.00,2878.475,716.0,2020-06-26,15,21,True,9,-485.59999999999945,-619.2000000000003,-176.20000000000027
3m_2020-04-01,0.75,2.25,2496.625,761.8499999999999,2020-06-12,13,19,True,9,-485.5999999999999,-624.5750000000003,-514.1999999999998
3m_2020-04-01,0.75,2.50,2933.325,721.4000000000001,2020-06-12,13,19,True,12,-485.60000000000036,-582.7000000000003,-239.375
