account_id,cohort_month,activated_at,purchase_fee_usd,trailing_drawdown_usd,frozen_floor_profit_usd,threshold_touch_fails,starting_balance_usd,equity_profit_usd,peak_profit_usd,floor_profit_usd,alive,died_at,death_trade_key,death_reason,death_equity_usd,trades_taken,wins,losses,gross_pnl_usd,commission_usd,max_equity_profit_usd,min_equity_profit_usd,entitlement_accrued_usd,entitlement_outstanding_usd,months_accrued,payout_count,gross_paid_usd,received_usd,withdrawal_count,first_withdrawal_at,last_withdrawal_at,last_payout_at,requests_blocked,requests_withheld
1,2020-03,2020-03-03 00:00:00,250.0,2500.0,100.0,True,50000.0,88.5,2474.3,-25.7,False,2021-03-04 23:30:00,RR1.00:21-22:111:386,intratrade_excursion,-101.5,1401,590,810,1558.5,1470.0,2426.8,-2347.25,0.0,0.0,0,0,0.0,0.0,0,,,,0,338
2,2020-03,2020-03-03 00:00:00,250.0,2500.0,100.0,True,50000.0,88.5,2474.3,-25.7,False,2021-03-04 23:30:00,RR1.00:21-22:111:386,intratrade_excursion,-101.5,1401,590,810,1558.5,1470.0,2426.8,-2347.25,0.0,0.0,0,0,0.0,0.0,0,,,,0,338
3,2020-03,2020-03-03 00:00:00,250.0,2500.0,100.0,True,50000.0,88.5,2474.3,-25.7,False,2021-03-04 23:30:00,RR1.00:21-22:111:386,intratrade_excursion,-101.5,1401,590,810,1558.5,1470.0,2426.8,-2347.25,0.0,0.0,0,0,0.0,0.0,0,,,,0,338
4,2020-04,2020-04-01 00:00:00,250.0,2500.0,100.0,True,50000.0,140.25,3629.3,100.0,False,2021-06-15 23:30:00,RR1.00:22-23:115:446,intratrade_excursion,99.25,1696,700,995,1920.0,1779.75,3581.8,-261.4,0.0,0.0,0,0,0.0,0.0,0,,,,0,411
5,2020-05,2020-05-09 00:00:00,250.0,2500.0,100.0,True,50000.0,125.05,2760.7,100.0,False,2021-03-08 15:30:00,RR1.00:13-14:111:411,intratrade_excursion,36.55,1160,489,670,1342.0,1216.95,2713.2,-640.35,0.0,0.0,0,0,0.0,0.0,0,,,,0,281
6,2020-06,2020-06-01 00:00:00,250.0,2500.0,100.0,True,50000.0,140.4,2526.2,26.2,False,2021-03-04 23:30:00,RR1.00:21-22:111:386,intratrade_excursion,-49.6,1073,452,620,1266.0,1125.6,2478.7,-870.2,0.0,0.0,0,0,0.0,0.0,0,,,,0,247
7,2020-08,2020-08-13 00:00:00,250.0,2500.0,100.0,True,50000.0,-437.0,1948.8,-551.2,False,2021-03-04 23:30:00,RR1.00:21-22:111:386,intratrade_excursion,-627.0,791,330,460,392.5,829.5,1901.3,-700.45,0.0,0.0,0,0,0.0,0.0,0,,,,0,185
8,2020-08,2020-08-13 00:00:00,250.0,2500.0,100.0,True,50000.0,-437.0,1948.8,-551.2,False,2021-03-04 23:30:00,RR1.00:21-22:111:386,intratrade_excursion,-627.0,791,330,460,392.5,829.5,1901.3,-700.45,0.0,0.0,0,0,0.0,0.0,0,,,,0,185
9,2020-09,2020-09-01 00:00:00,250.0,2500.0,100.0,True,50000.0,-487.1,1898.7,-601.3,False,2021-03-04 23:30:00,RR1.00:21-22:111:386,intratrade_excursion,-677.1,713,296,416,260.5,747.6,1851.2,-750.55,0.0,0.0,0,0,0.0,0.0,0,,,,0,155
10,2020-10,2020-10-01 00:00:00,250.0,2500.0,100.0,True,50000.0,-638.05,1747.75,-752.25,False,2021-03-04 23:30:00,RR1.00:21-22:111:386,intratrade_excursion,-828.05,592,243,348,-17.5,620.55,1700.25,-901.5,0.0,0.0,0,0,0.0,0.0,0,,,,0,124
