study,policy,retained_balance_usd,headroom_usd,ongoing_pocket_usd,terminal_received_usd,combined_pocket_usd,alive_before_terminal,trading_neutral,booked_net_trading_usd
Pair overlap,fixed_500_backlog,33600.0,8500.0,254296.7,62976.3,317273.0,21,True,470886.5
RR1 overlap,fixed_500_backlog,34100.0,9000.0,305534.28,128874.51,434408.79,22,True,462022.2
Pair while flat,fixed_500_backlog,34100.0,9000.0,298870.8,92137.1,391007.9,27,True,527774.4
Pair overlap,fixed_500_backlog,34100.0,9000.0,248765.35,68476.3,317241.65,21,True,470886.5
RR1 overlap,fixed_500_backlog,34600.0,9500.0,295777.86,136630.93,432408.79,22,True,462022.2
Pair while flat,fixed_500_backlog,34600.0,9500.0,293075.32,96932.58,390007.9,27,True,527774.4
Pair overlap,fixed_500_backlog,34600.0,9500.0,243765.34,72476.3,316241.64,21,True,470886.5
RR1 overlap,fixed_500_backlog,35100.0,10000.0,285872.72,144528.97,430401.69,22,True,462022.2
Pair while flat,fixed_500_backlog,35100.0,10000.0,286303.62,111986.79,398290.41,27,True,527774.4
Pair overlap,fixed_500_backlog,35100.0,10000.0,238749.55,76476.3,315225.85,21,True,470886.5
RR1 overlap,fixed_750_backlog,,,89229.25,0.0,89229.25,2,False,87134.8
Pair while flat,fixed_750_backlog,,,50657.2,0.0,50657.2,3,False,53709.9
Pair overlap,fixed_750_backlog,,,66165.85,0.0,66165.85,4,False,85462.65
RR1 overlap,fixed_750_backlog,25100.0,0.0,89229.25,0.0,89229.25,2,False,87134.8
Pair while flat,fixed_750_backlog,25100.0,0.0,50657.2,0.0,50657.2,3,False,53709.9
Pair overlap,fixed_750_backlog,25100.0,0.0,66165.85,0.0,66165.85,4,False,85462.65
RR1 overlap,fixed_750_backlog,25600.0,500.0,89229.25,0.0,89229.25,2,False,87134.8
Pair while flat,fixed_750_backlog,25600.0,500.0,50657.2,0.0,50657.2,3,False,53709.9
Pair overlap,fixed_750_backlog,25600.0,500.0,66165.85,0.0,66165.85,4,False,85462.65
RR1 overlap,fixed_750_backlog,26100.0,1000.0,88880.45,0.0,88880.45,2,False,86705.4
Pair while flat,fixed_750_backlog,26100.0,1000.0,50358.15,0.0,50358.15,3,False,53398.65
Pair overlap,fixed_750_backlog,26100.0,1000.0,66165.85,0.0,66165.85,4,False,85462.65
RR1 overlap,fixed_750_backlog,26600.0,1500.0,84473.05,0.0,84473.05,2,False,82254.5
Pair while flat,fixed_750_backlog,26600.0,1500.0,47034.0,0.0,47034.0,3,False,50413.75
Pair overlap,fixed_750_backlog,26600.0,1500.0,69678.5,0.0,69678.5,4,False,89058.3
RR1 overlap,fixed_750_backlog,27100.0,2000.0,117827.25,0.0,117827.25,2,False,115294.75
Pair while flat,fixed_750_backlog,27100.0,2000.0,70980.5,0.0,70980.5,3,False,74501.95
Pair overlap,fixed_750_backlog,27100.0,2000.0,62591.75,0.0,62591.75,4,False,81204.3
RR1 overlap,fixed_750_backlog,27600.0,2500.0,136407.35,0.0,136407.35,2,False,133739.55
Pair while flat,fixed_750_backlog,27600.0,2500.0,130327.65,1912.14,132239.79,6,False,144437.4
Pair overlap,fixed_750_backlog,27600.0,2500.0,64394.05,0.0,64394.05,4,False,83689.2
RR1 overlap,fixed_750_backlog,28100.0,3000.0,202847.95,0.0,202847.95,2,False,199965.55
Pair while flat,fixed_750_backlog,28100.0,3000.0,242716.65,9648.56,252365.21,12,False,277699.25
Pair overlap,fixed_750_backlog,28100.0,3000.0,75720.5,0.0,75720.5,4,False,94815.4
RR1 overlap,fixed_750_backlog,28600.0,3500.0,193704.15,0.0,193704.15,2,False,191507.2
Pair while flat,fixed_750_backlog,28600.0,3500.0,271327.55,20384.98,291712.53,17,False,326630.15
Pair overlap,fixed_750_backlog,28600.0,3500.0,189085.05,2509.74,191594.79,6,False,224491.65
RR1 overlap,fixed_750_backlog,29100.0,4000.0,224299.02,0.0,224299.02,2,False,221740.25
Pair while flat,fixed_750_backlog,29100.0,4000.0,287787.51,23884.98,311672.49,17,False,348575.8
Pair overlap,fixed_750_backlog,29100.0,4000.0,231378.4,3009.74,234388.14,8,False,273778.0
RR1 overlap,fixed_750_backlog,29600.0,4500.0,322366.76,0.0,322366.76,2,False,321583.9
Pair while flat,fixed_750_backlog,29600.0,4500.0,411777.98,62222.1,474000.08,27,True,527774.4
Pair overlap,fixed_750_backlog,29600.0,4500.0,261845.5,32986.04,294831.54,18,False,346819.15
RR1 overlap,fixed_750_backlog,30100.0,5000.0,366554.16,1500.0,368054.16,3,False,371607.25
Pair while flat,fixed_750_backlog,30100.0,5000.0,400609.25,81598.22,482207.47,27,True,527774.4
Pair overlap,fixed_750_backlog,30100.0,5000.0,276105.94,38986.04,315091.98,19,False,378742.4
RR1 overlap,fixed_750_backlog,30600.0,5500.0,356431.7,1500.0,357931.7,3,False,359177.6
Pair while flat,fixed_750_backlog,30600.0,5500.0,391392.94,90409.47,481802.41,27,True,527774.4
Pair overlap,fixed_750_backlog,30600.0,5500.0,269511.39,44986.04,314497.43,19,False,377898.4
RR1 overlap,fixed_750_backlog,31100.0,6000.0,362770.74,83098.2,445868.94,20,False,450995.8
Pair while flat,fixed_750_backlog,31100.0,6000.0,378386.54,106806.81,485193.35,27,True,527774.4
Pair overlap,fixed_750_backlog,31100.0,6000.0,303512.24,53610.96,357123.2,20,False,423893.9
RR1 overlap,fixed_750_backlog,31200.0,6100.0,360834.78,84734.15,445568.93,20,False,450995.8
Pair while flat,fixed_750_backlog,31200.0,6100.0,375824.19,109846.81,485671.0,27,True,527774.4
Pair overlap,fixed_750_backlog,31200.0,6100.0,341933.38,58815.88,400749.26,21,True,470886.5
RR1 overlap,fixed_750_backlog,31300.0,6200.0,358894.78,86374.15,445268.93,20,False,450504.6
Pair while flat,fixed_750_backlog,31300.0,6200.0,373354.14,112886.81,486240.95,27,True,527774.4
Pair overlap,fixed_750_backlog,31300.0,6200.0,339508.33,54686.14,394194.47,21,True,470886.5
RR1 overlap,fixed_750_backlog,31400.0,6300.0,356954.78,88014.15,444968.93,20,False,450309.5
Pair while flat,fixed_750_backlog,31400.0,6300.0,371405.41,114435.55,485840.96,27,True,527774.4
Pair overlap,fixed_750_backlog,31400.0,6300.0,338303.88,55666.14,393970.02,21,True,470886.5
RR1 overlap,fixed_750_backlog,31500.0,6400.0,355014.78,89654.15,444668.93,20,False,450140.7
Pair while flat,fixed_750_backlog,31500.0,6400.0,369455.41,115985.55,485440.96,27,True,527774.4
Pair overlap,fixed_750_backlog,31500.0,6400.0,336982.28,56646.14,393628.42,21,True,470886.5
RR1 overlap,fixed_750_backlog,31600.0,6500.0,354140.38,102345.63,456486.01,22,True,462022.2
Pair while flat,fixed_750_backlog,31600.0,6500.0,367039.97,117535.55,484575.52,27,True,527774.4
Pair overlap,fixed_750_backlog,31600.0,6500.0,335602.28,57626.14,393228.42,21,True,470886.5
RR1 overlap,fixed_750_backlog,32100.0,7000.0,344440.38,102494.15,446934.53,22,True,462022.2
Pair while flat,fixed_750_backlog,32100.0,7000.0,356648.82,125932.25,482581.07,27,True,527774.4
Pair overlap,fixed_750_backlog,32100.0,7000.0,329901.52,61026.14,390927.66,21,True,470886.5
RR1 overlap,fixed_750_backlog,32600.0,7500.0,334740.38,105668.41,440408.79,22,True,462022.2
Pair while flat,fixed_750_backlog,32600.0,7500.0,346008.81,134682.25,480691.06,27,True,527774.4
Pair overlap,fixed_750_backlog,32600.0,7500.0,322049.96,65926.14,387976.1,21,True,470886.5
RR1 overlap,fixed_750_backlog,33100.0,8000.0,325034.28,113374.51,438408.79,22,True,462022.2
Pair while flat,fixed_750_backlog,33100.0,8000.0,334247.76,136020.11,470267.87,27,True,527774.4
Pair overlap,fixed_750_backlog,33100.0,8000.0,314919.32,70826.14,385745.46,21,True,470886.5
RR1 overlap,fixed_750_backlog,33600.0,8500.0,315284.28,121124.51,436408.79,22,True,462022.2
Pair while flat,fixed_750_backlog,33600.0,8500.0,323704.2,144270.11,467974.31,27,True,527774.4
Pair overlap,fixed_750_backlog,33600.0,8500.0,308503.53,75726.14,384229.67,21,True,470886.5
RR1 overlap,fixed_750_backlog,34100.0,9000.0,305534.28,128874.51,434408.79,22,True,462022.2
Pair while flat,fixed_750_backlog,34100.0,9000.0,313719.95,154020.11,467740.06,27,True,527774.4
Pair overlap,fixed_750_backlog,34100.0,9000.0,301935.34,82126.14,384061.48,21,True,470886.5
RR1 overlap,fixed_750_backlog,34600.0,9500.0,295777.86,136630.93,432408.79,22,True,462022.2
Pair while flat,fixed_750_backlog,34600.0,9500.0,304424.47,162315.59,466740.06,27,True,527774.4
Pair overlap,fixed_750_backlog,34600.0,9500.0,295335.32,96565.46,391900.78,21,True,470886.5
RR1 overlap,fixed_750_backlog,35100.0,10000.0,285872.72,144528.97,430401.69,22,True,462022.2
Pair while flat,fixed_750_backlog,35100.0,10000.0,294652.77,170665.59,465318.36,27,True,527774.4
Pair overlap,fixed_750_backlog,35100.0,10000.0,288831.37,112554.9,401386.27,21,True,470886.5
RR1 overlap,hold,,,-15800.0,30000.0,14200.0,22,True,462022.2
Pair while flat,hold,,,-15800.0,37500.0,21700.0,27,True,527774.4
Pair overlap,hold,,,-15800.0,28500.0,12700.0,21,True,470886.5
RR1 overlap,legacy_500_blocks,,,102700.0,31642.2,134342.2,7,False,131462.8
Pair while flat,legacy_500_blocks,,,45700.0,0.0,45700.0,3,False,50093.2
Pair overlap,legacy_500_blocks,,,77350.0,0.0,77350.0,5,False,131261.2
RR1 overlap,legacy_500_blocks,25100.0,0.0,102700.0,31642.2,134342.2,7,False,131462.8
Pair while flat,legacy_500_blocks,25100.0,0.0,45700.0,0.0,45700.0,3,False,50093.2
Pair overlap,legacy_500_blocks,25100.0,0.0,77350.0,0.0,77350.0,5,False,131261.2
RR1 overlap,legacy_500_blocks,25600.0,500.0,102700.0,31642.2,134342.2,7,False,131462.8
Pair while flat,legacy_500_blocks,25600.0,500.0,45700.0,0.0,45700.0,3,False,50093.2
Pair overlap,legacy_500_blocks,25600.0,500.0,77350.0,0.0,77350.0,5,False,131261.2
RR1 overlap,legacy_500_blocks,26100.0,1000.0,102700.0,31642.2,134342.2,7,False,131462.8
Pair while flat,legacy_500_blocks,26100.0,1000.0,45200.0,0.0,45200.0,3,False,49628.4
Pair overlap,legacy_500_blocks,26100.0,1000.0,77350.0,0.0,77350.0,5,False,131261.2
RR1 overlap,legacy_500_blocks,26600.0,1500.0,102200.0,31642.2,133842.2,7,False,130749.4
Pair while flat,legacy_500_blocks,26600.0,1500.0,45200.0,0.0,45200.0,3,False,49815.5
Pair overlap,legacy_500_blocks,26600.0,1500.0,76350.0,0.0,76350.0,5,False,129898.2
RR1 overlap,legacy_500_blocks,27100.0,2000.0,102700.0,31642.2,134342.2,7,False,131228.35
Pair while flat,legacy_500_blocks,27100.0,2000.0,77200.0,0.0,77200.0,4,False,86727.6
Pair overlap,legacy_500_blocks,27100.0,2000.0,71350.0,0.0,71350.0,5,False,124583.15
RR1 overlap,legacy_500_blocks,27600.0,2500.0,162200.0,40452.84,202652.84,9,False,199514.45
Pair while flat,legacy_500_blocks,27600.0,2500.0,136200.0,0.0,136200.0,10,False,188347.1
Pair overlap,legacy_500_blocks,27600.0,2500.0,105850.0,0.0,105850.0,8,False,176336.65
RR1 overlap,legacy_500_blocks,28100.0,3000.0,199700.0,50610.9,250310.9,11,False,247599.6
Pair while flat,legacy_500_blocks,28100.0,3000.0,229200.0,5375.93,234575.93,20,False,348920.75
Pair overlap,legacy_500_blocks,28100.0,3000.0,116850.0,0.0,116850.0,9,False,207568.75
RR1 overlap,legacy_500_blocks,28600.0,3500.0,220350.0,56137.8,276487.8,12,False,274612.0
Pair while flat,legacy_500_blocks,28600.0,3500.0,224200.0,10558.42,234758.42,20,False,346947.5
Pair overlap,legacy_500_blocks,28600.0,3500.0,197350.0,0.0,197350.0,10,False,292098.55
RR1 overlap,legacy_500_blocks,29100.0,4000.0,232350.0,57137.8,289487.8,12,False,287113.15
Pair while flat,legacy_500_blocks,29100.0,4000.0,244900.0,11558.42,256458.42,20,False,370703.05
Pair overlap,legacy_500_blocks,29100.0,4000.0,240350.0,20553.97,260903.97,19,False,371989.1
RR1 overlap,legacy_500_blocks,29600.0,4500.0,357050.0,70204.66,427254.66,15,False,428138.5
Pair while flat,legacy_500_blocks,29600.0,4500.0,360700.0,41563.72,402263.72,27,True,527774.4
Pair overlap,legacy_500_blocks,29600.0,4500.0,242850.0,24553.97,267403.97,19,False,379059.0
RR1 overlap,legacy_500_blocks,30100.0,5000.0,358000.0,80943.98,438943.98,18,False,443246.3
Pair while flat,legacy_500_blocks,30100.0,5000.0,354900.0,51590.51,406490.51,27,True,527774.4
Pair overlap,legacy_500_blocks,30100.0,5000.0,238350.0,28553.97,266903.97,19,False,378490.2
RR1 overlap,legacy_500_blocks,30600.0,5500.0,353150.0,83843.98,436993.98,18,False,441393.0
Pair while flat,legacy_500_blocks,30600.0,5500.0,348150.0,62501.28,410651.28,27,True,527774.4
Pair overlap,legacy_500_blocks,30600.0,5500.0,232850.0,38824.66,271674.66,19,False,377595.0
RR1 overlap,legacy_500_blocks,31100.0,6000.0,347350.0,87193.98,434543.98,18,False,439478.2
Pair while flat,legacy_500_blocks,31100.0,6000.0,338850.0,67842.08,406692.08,27,True,527774.4
Pair overlap,legacy_500_blocks,31100.0,6000.0,279550.0,48134.9,327684.9,21,True,470886.5
RR1 overlap,legacy_500_blocks,31600.0,6500.0,343050.0,113428.91,456478.91,22,True,462022.2
Pair while flat,legacy_500_blocks,31600.0,6500.0,331100.0,75592.08,406692.08,27,True,527774.4
Pair overlap,legacy_500_blocks,31600.0,6500.0,273550.0,52114.05,325664.05,21,True,470886.5
RR1 overlap,legacy_500_blocks,32100.0,7000.0,336800.0,109688.03,446488.03,22,True,462022.2
Pair while flat,legacy_500_blocks,32100.0,7000.0,323850.0,80842.08,404692.08,27,True,527774.4
Pair overlap,legacy_500_blocks,32100.0,7000.0,269550.0,53614.05,323164.05,21,True,470886.5
RR1 overlap,legacy_500_blocks,32600.0,7500.0,329600.0,115388.03,444988.03,22,True,462022.2
Pair while flat,legacy_500_blocks,32600.0,7500.0,316600.0,86092.08,402692.08,27,True,527774.4
Pair overlap,legacy_500_blocks,32600.0,7500.0,263550.0,57114.05,320664.05,21,True,470886.5
RR1 overlap,legacy_500_blocks,33100.0,8000.0,320850.0,122638.03,443488.03,22,True,462022.2
Pair while flat,legacy_500_blocks,33100.0,8000.0,309350.0,91342.08,400692.08,27,True,527774.4
Pair overlap,legacy_500_blocks,33100.0,8000.0,257550.0,61114.05,318664.05,21,True,470886.5
RR1 overlap,legacy_500_blocks,33600.0,8500.0,311100.0,130888.03,441988.03,22,True,462022.2
Pair while flat,legacy_500_blocks,33600.0,8500.0,302100.0,88196.14,390296.14,27,True,527774.4
Pair overlap,legacy_500_blocks,33600.0,8500.0,252050.0,65114.05,317164.05,21,True,470886.5
RR1 overlap,legacy_500_blocks,34100.0,9000.0,301350.0,132310.79,433660.79,22,True,462022.2
Pair while flat,legacy_500_blocks,34100.0,9000.0,295850.0,94446.14,390296.14,27,True,527774.4
Pair overlap,legacy_500_blocks,34100.0,9000.0,246550.0,70614.05,317164.05,21,True,470886.5
RR1 overlap,legacy_500_blocks,34600.0,9500.0,291500.0,140160.79,431660.79,22,True,462022.2
Pair while flat,legacy_500_blocks,34600.0,9500.0,290000.0,99296.14,389296.14,27,True,527774.4
Pair overlap,legacy_500_blocks,34600.0,9500.0,241550.0,74614.05,316164.05,21,True,470886.5
RR1 overlap,legacy_500_blocks,35100.0,10000.0,281600.0,148060.79,429660.79,22,True,462022.2
Pair while flat,legacy_500_blocks,35100.0,10000.0,283150.0,114350.35,397500.35,27,True,527774.4
Pair overlap,legacy_500_blocks,35100.0,10000.0,236550.0,78614.05,315164.05,21,True,470886.5
RR1 overlap,maximum_excess_monthly,,,56614.3,0.0,56614.3,2,False,54884.35
Pair while flat,maximum_excess_monthly,,,52320.4,0.0,52320.4,2,False,53599.0
Pair overlap,maximum_excess_monthly,,,75454.53,0.0,75454.53,2,False,71897.35
RR1 overlap,maximum_excess_monthly,25100.0,0.0,56614.3,0.0,56614.3,2,False,54884.35
Pair while flat,maximum_excess_monthly,25100.0,0.0,52320.4,0.0,52320.4,2,False,53599.0
Pair overlap,maximum_excess_monthly,25100.0,0.0,75454.53,0.0,75454.53,2,False,71897.35
RR1 overlap,maximum_excess_monthly,25600.0,500.0,58167.45,0.0,58167.45,2,False,56508.7
Pair while flat,maximum_excess_monthly,25600.0,500.0,52320.4,0.0,52320.4,2,False,53599.0
Pair overlap,maximum_excess_monthly,25600.0,500.0,77196.5,0.0,77196.5,2,False,73776.35
RR1 overlap,maximum_excess_monthly,26100.0,1000.0,57341.5,0.0,57341.5,2,False,55820.95
Pair while flat,maximum_excess_monthly,26100.0,1000.0,52021.35,0.0,52021.35,2,False,53287.75
Pair overlap,maximum_excess_monthly,26100.0,1000.0,79972.4,0.0,79972.4,2,False,76770.6
RR1 overlap,maximum_excess_monthly,26600.0,1500.0,54217.6,0.0,54217.6,2,False,51955.75
Pair while flat,maximum_excess_monthly,26600.0,1500.0,48213.45,0.0,48213.45,2,False,49845.5
Pair overlap,maximum_excess_monthly,26600.0,1500.0,79585.65,0.0,79585.65,2,False,76486.75
RR1 overlap,maximum_excess_monthly,27100.0,2000.0,96043.5,0.0,96043.5,2,False,93669.35
Pair while flat,maximum_excess_monthly,27100.0,2000.0,71359.55,0.0,71359.55,3,False,74501.95
Pair overlap,maximum_excess_monthly,27100.0,2000.0,70985.85,0.0,70985.85,2,False,67338.5
RR1 overlap,maximum_excess_monthly,27600.0,2500.0,120275.9,0.0,120275.9,2,False,118513.15
Pair while flat,maximum_excess_monthly,27600.0,2500.0,130276.4,1912.14,132188.54,5,False,138564.55
Pair overlap,maximum_excess_monthly,27600.0,2500.0,70788.15,0.0,70788.15,2,False,68057.05
RR1 overlap,maximum_excess_monthly,28100.0,3000.0,181222.45,0.0,181222.45,2,False,178700.85
Pair while flat,maximum_excess_monthly,28100.0,3000.0,244379.7,9648.56,254028.26,10,False,267678.85
Pair overlap,maximum_excess_monthly,28100.0,3000.0,84864.95,0.0,84864.95,2,False,81396.4
RR1 overlap,maximum_excess_monthly,28600.0,3500.0,172008.4,0.0,172008.4,2,False,170336.25
Pair while flat,maximum_excess_monthly,28600.0,3500.0,264990.6,20384.98,285375.58,13,False,298601.75
Pair overlap,maximum_excess_monthly,28600.0,3500.0,192872.18,2509.74,195381.92,3,False,193247.55
RR1 overlap,maximum_excess_monthly,29100.0,4000.0,225029.02,0.0,225029.02,2,False,222515.3
Pair while flat,maximum_excess_monthly,29100.0,4000.0,279450.56,23884.98,303335.54,13,False,318614.6
Pair overlap,maximum_excess_monthly,29100.0,4000.0,229016.63,3009.74,232026.37,5,False,236488.7
RR1 overlap,maximum_excess_monthly,29600.0,4500.0,320939.31,0.0,320939.31,2,False,320112.4
Pair while flat,maximum_excess_monthly,29600.0,4500.0,415319.38,80269.97,495589.35,27,True,527774.4
Pair overlap,maximum_excess_monthly,29600.0,4500.0,258533.73,32986.04,291519.77,15,False,308479.35
RR1 overlap,maximum_excess_monthly,30100.0,5000.0,365628.31,1500.0,367128.31,3,False,370701.95
Pair while flat,maximum_excess_monthly,30100.0,5000.0,403351.3,90965.65,494316.95,27,True,527774.4
Pair overlap,maximum_excess_monthly,30100.0,5000.0,249882.68,38986.04,288868.72,15,False,306240.7
RR1 overlap,maximum_excess_monthly,30600.0,5500.0,356431.7,1500.0,357931.7,3,False,359177.6
Pair while flat,maximum_excess_monthly,30600.0,5500.0,392246.79,101665.65,493912.44,27,True,527774.4
Pair overlap,maximum_excess_monthly,30600.0,5500.0,277419.52,44986.04,322405.56,15,False,341199.8
RR1 overlap,maximum_excess_monthly,31100.0,6000.0,362770.74,83098.2,445868.94,20,False,450995.8
Pair while flat,maximum_excess_monthly,31100.0,6000.0,379739.84,105453.51,485193.35,27,True,527774.4
Pair overlap,maximum_excess_monthly,31100.0,6000.0,329241.03,70714.69,399955.72,20,False,423893.9
RR1 overlap,maximum_excess_monthly,31600.0,6500.0,354140.38,102345.63,456486.01,22,True,462022.2
Pair while flat,maximum_excess_monthly,31600.0,6500.0,367393.27,117182.25,484575.52,27,True,527774.4
Pair overlap,maximum_excess_monthly,31600.0,6500.0,359431.07,76629.87,436060.94,21,True,470886.5
RR1 overlap,maximum_excess_monthly,32100.0,7000.0,344440.38,102494.15,446934.53,22,True,462022.2
Pair while flat,maximum_excess_monthly,32100.0,7000.0,356648.82,125932.25,482581.07,27,True,527774.4
Pair overlap,maximum_excess_monthly,32100.0,7000.0,351830.31,81929.87,433760.18,21,True,470886.5
RR1 overlap,maximum_excess_monthly,32600.0,7500.0,334740.38,105668.41,440408.79,22,True,462022.2
Pair while flat,maximum_excess_monthly,32600.0,7500.0,346008.81,134682.25,480691.06,27,True,527774.4
Pair overlap,maximum_excess_monthly,32600.0,7500.0,342078.76,88729.87,430808.63,21,True,470886.5
RR1 overlap,maximum_excess_monthly,33100.0,8000.0,325034.28,113374.51,438408.79,22,True,462022.2
Pair while flat,maximum_excess_monthly,33100.0,8000.0,334247.76,136020.11,470267.87,27,True,527774.4
Pair overlap,maximum_excess_monthly,33100.0,8000.0,333048.12,95529.87,428577.99,21,True,470886.5
RR1 overlap,maximum_excess_monthly,33600.0,8500.0,315284.28,121124.51,436408.79,22,True,462022.2
Pair while flat,maximum_excess_monthly,33600.0,8500.0,323704.2,144270.11,467974.31,27,True,527774.4
Pair overlap,maximum_excess_monthly,33600.0,8500.0,324732.33,102329.87,427062.2,21,True,470886.5
RR1 overlap,maximum_excess_monthly,34100.0,9000.0,305534.28,128874.51,434408.79,22,True,462022.2
Pair while flat,maximum_excess_monthly,34100.0,9000.0,313719.95,154020.11,467740.06,27,True,527774.4
Pair overlap,maximum_excess_monthly,34100.0,9000.0,316400.98,110629.87,427030.85,21,True,470886.5
RR1 overlap,maximum_excess_monthly,34600.0,9500.0,295777.86,136630.93,432408.79,22,True,462022.2
Pair while flat,maximum_excess_monthly,34600.0,9500.0,304424.47,162315.59,466740.06,27,True,527774.4
Pair overlap,maximum_excess_monthly,34600.0,9500.0,308600.97,117429.87,426030.84,21,True,470886.5
RR1 overlap,maximum_excess_monthly,35100.0,10000.0,285872.72,144528.97,430401.69,22,True,462022.2
Pair while flat,maximum_excess_monthly,35100.0,10000.0,294652.77,170665.59,465318.36,27,True,527774.4
Pair overlap,maximum_excess_monthly,35100.0,10000.0,300785.17,124229.87,425015.04,21,True,470886.5
RR1 overlap,minimum_monthly,,,140650.0,65118.52,205768.52,11,False,202909.25
Pair while flat,minimum_monthly,,,103700.0,1500.0,105200.0,10,False,182699.95
Pair overlap,minimum_monthly,,,110400.0,0.0,110400.0,8,False,209392.65
RR1 overlap,minimum_monthly,25100.0,0.0,140650.0,65118.52,205768.52,11,False,202909.25
Pair while flat,minimum_monthly,25100.0,0.0,103700.0,1500.0,105200.0,10,False,182699.95
Pair overlap,minimum_monthly,25100.0,0.0,110400.0,0.0,110400.0,8,False,209392.65
RR1 overlap,minimum_monthly,25600.0,500.0,140650.0,65118.52,205768.52,11,False,202909.25
Pair while flat,minimum_monthly,25600.0,500.0,103700.0,1500.0,105200.0,10,False,182699.95
Pair overlap,minimum_monthly,25600.0,500.0,110400.0,0.0,110400.0,8,False,209392.65
RR1 overlap,minimum_monthly,26100.0,1000.0,140650.0,65118.52,205768.52,11,False,202909.25
Pair while flat,minimum_monthly,26100.0,1000.0,103700.0,1500.0,105200.0,10,False,182699.95
Pair overlap,minimum_monthly,26100.0,1000.0,110400.0,0.0,110400.0,8,False,209392.65
RR1 overlap,minimum_monthly,26600.0,1500.0,174650.0,81868.9,256518.9,13,False,255091.7
Pair while flat,minimum_monthly,26600.0,1500.0,138200.0,1500.0,139700.0,13,False,254011.95
Pair overlap,minimum_monthly,26600.0,1500.0,132400.0,0.0,132400.0,11,False,251700.0
RR1 overlap,minimum_monthly,27100.0,2000.0,197200.0,102629.54,299829.54,15,False,298201.8
Pair while flat,minimum_monthly,27100.0,2000.0,140700.0,1500.0,142200.0,16,False,276849.3
Pair overlap,minimum_monthly,27100.0,2000.0,166050.0,0.0,166050.0,13,False,336993.9
RR1 overlap,minimum_monthly,27600.0,2500.0,250700.0,135016.59,385716.59,18,False,385714.9
Pair while flat,minimum_monthly,27600.0,2500.0,169700.0,1500.0,171200.0,20,False,348060.15
Pair overlap,minimum_monthly,27600.0,2500.0,157150.0,0.0,157150.0,13,False,333349.9
RR1 overlap,minimum_monthly,28100.0,3000.0,268200.0,139192.52,407392.52,17,False,408515.0
Pair while flat,minimum_monthly,28100.0,3000.0,163200.0,1500.0,164700.0,21,False,353278.4
Pair overlap,minimum_monthly,28100.0,3000.0,169300.0,0.0,169300.0,15,False,362151.0
RR1 overlap,minimum_monthly,28600.0,3500.0,282200.0,153960.79,436160.79,18,False,438050.25
Pair while flat,minimum_monthly,28600.0,3500.0,209700.0,1500.0,211200.0,24,False,453115.1
Pair overlap,minimum_monthly,28600.0,3500.0,220900.0,0.0,220900.0,19,False,452982.35
RR1 overlap,minimum_monthly,29100.0,4000.0,277200.0,171820.87,449020.87,20,False,450750.2
Pair while flat,minimum_monthly,29100.0,4000.0,219200.0,1500.0,220700.0,26,False,494142.8
Pair overlap,minimum_monthly,29100.0,4000.0,219050.0,0.0,219050.0,21,True,470886.5
RR1 overlap,minimum_monthly,29600.0,4500.0,271700.0,177320.87,449020.87,20,False,450750.2
Pair while flat,minimum_monthly,29600.0,4500.0,230200.0,1500.0,231700.0,27,True,527774.4
Pair overlap,minimum_monthly,29600.0,4500.0,214200.0,0.0,214200.0,21,True,470886.5
RR1 overlap,minimum_monthly,30100.0,5000.0,264700.0,195811.75,460511.75,22,True,462022.2
Pair while flat,minimum_monthly,30100.0,5000.0,223200.0,1500.0,224700.0,27,True,527774.4
Pair overlap,minimum_monthly,30100.0,5000.0,209300.0,0.0,209300.0,21,True,470886.5
RR1 overlap,minimum_monthly,30600.0,5500.0,257200.0,203311.75,460511.75,22,True,462022.2
Pair while flat,minimum_monthly,30600.0,5500.0,216200.0,3000.0,219200.0,27,True,527774.4
Pair overlap,minimum_monthly,30600.0,5500.0,205450.0,0.0,205450.0,21,True,470886.5
RR1 overlap,minimum_monthly,31100.0,6000.0,250700.0,209811.75,460511.75,22,True,462022.2
Pair while flat,minimum_monthly,31100.0,6000.0,206700.0,4500.0,211200.0,27,True,527774.4
Pair overlap,minimum_monthly,31100.0,6000.0,199550.0,1500.0,201050.0,21,True,470886.5
RR1 overlap,minimum_monthly,31600.0,6500.0,241700.0,213278.91,454978.91,22,True,462022.2
Pair while flat,minimum_monthly,31600.0,6500.0,199700.0,4500.0,204200.0,27,True,527774.4
Pair overlap,minimum_monthly,31600.0,6500.0,194650.0,3000.0,197650.0,21,True,470886.5
RR1 overlap,minimum_monthly,32100.0,7000.0,235700.0,218778.91,454478.91,22,True,462022.2
Pair while flat,minimum_monthly,32100.0,7000.0,191700.0,4500.0,196200.0,27,True,527774.4
Pair overlap,minimum_monthly,32100.0,7000.0,190250.0,3000.0,193250.0,21,True,470886.5
RR1 overlap,minimum_monthly,32600.0,7500.0,227700.0,226778.91,454478.91,22,True,462022.2
Pair while flat,minimum_monthly,32600.0,7500.0,183200.0,7500.0,190700.0,27,True,527774.4
Pair overlap,minimum_monthly,32600.0,7500.0,184300.0,3000.0,187300.0,21,True,470886.5
RR1 overlap,minimum_monthly,33100.0,8000.0,223200.0,231278.91,454478.91,22,True,462022.2
Pair while flat,minimum_monthly,33100.0,8000.0,177200.0,7500.0,184700.0,27,True,527774.4
