study,policy,retained_balance_usd,headroom_usd,ongoing_pocket_usd,terminal_received_usd,combined_pocket_usd,alive_before_terminal,trading_neutral,booked_net_trading_usd
Pair while flat,fixed_1000_backlog,32100.0,7000.0,356648.82,125932.25,482581.07,27,True,527774.4
Pair overlap,fixed_1000_backlog,32100.0,7000.0,347990.9,85769.28,433760.18,21,True,470886.5
RR1 overlap,fixed_1000_backlog,32600.0,7500.0,334740.38,105668.41,440408.79,22,True,462022.2
Pair while flat,fixed_1000_backlog,32600.0,7500.0,346008.81,134682.25,480691.06,27,True,527774.4
Pair overlap,fixed_1000_backlog,32600.0,7500.0,339529.92,91278.72,430808.64,21,True,470886.5
RR1 overlap,fixed_1000_backlog,33100.0,8000.0,325034.28,113374.51,438408.79,22,True,462022.2
Pair while flat,fixed_1000_backlog,33100.0,8000.0,334247.76,136020.11,470267.87,27,True,527774.4
Pair overlap,fixed_1000_backlog,33100.0,8000.0,331499.28,97078.72,428578.0,21,True,470886.5
RR1 overlap,fixed_1000_backlog,33600.0,8500.0,315284.28,121124.51,436408.79,22,True,462022.2
Pair while flat,fixed_1000_backlog,33600.0,8500.0,323704.2,144270.11,467974.31,27,True,527774.4
Pair overlap,fixed_1000_backlog,33600.0,8500.0,323689.69,103372.52,427062.21,21,True,470886.5
RR1 overlap,fixed_1000_backlog,34100.0,9000.0,305534.28,128874.51,434408.79,22,True,462022.2
Pair while flat,fixed_1000_backlog,34100.0,9000.0,313719.95,154020.11,467740.06,27,True,527774.4
Pair overlap,fixed_1000_backlog,34100.0,9000.0,315858.34,111172.52,427030.86,21,True,470886.5
RR1 overlap,fixed_1000_backlog,34600.0,9500.0,295777.86,136630.93,432408.79,22,True,462022.2
Pair while flat,fixed_1000_backlog,34600.0,9500.0,304424.47,162315.59,466740.06,27,True,527774.4
Pair overlap,fixed_1000_backlog,34600.0,9500.0,308558.32,117472.52,426030.84,21,True,470886.5
RR1 overlap,fixed_1000_backlog,35100.0,10000.0,285872.72,144528.97,430401.69,22,True,462022.2
Pair while flat,fixed_1000_backlog,35100.0,10000.0,294652.77,170665.59,465318.36,27,True,527774.4
Pair overlap,fixed_1000_backlog,35100.0,10000.0,300785.17,124229.87,425015.04,21,True,470886.5
RR1 overlap,fixed_1500_backlog,,,56614.3,0.0,56614.3,2,False,54884.35
Pair while flat,fixed_1500_backlog,,,52320.4,0.0,52320.4,2,False,53599.0
Pair overlap,fixed_1500_backlog,,,76524.1,0.0,76524.1,2,False,73105.0
RR1 overlap,fixed_1500_backlog,25100.0,0.0,56614.3,0.0,56614.3,2,False,54884.35
Pair while flat,fixed_1500_backlog,25100.0,0.0,52320.4,0.0,52320.4,2,False,53599.0
Pair overlap,fixed_1500_backlog,25100.0,0.0,76524.1,0.0,76524.1,2,False,73105.0
RR1 overlap,fixed_1500_backlog,25600.0,500.0,58167.45,0.0,58167.45,2,False,56508.7
Pair while flat,fixed_1500_backlog,25600.0,500.0,52320.4,0.0,52320.4,2,False,53599.0
Pair overlap,fixed_1500_backlog,25600.0,500.0,76302.85,0.0,76302.85,2,False,72883.4
RR1 overlap,fixed_1500_backlog,26100.0,1000.0,57341.5,0.0,57341.5,2,False,55820.95
Pair while flat,fixed_1500_backlog,26100.0,1000.0,52021.35,0.0,52021.35,2,False,53287.75
