at,wanted,bought,capacity_limited,cash_limited,alive_before
2020-01-01T00:00:00,3,3,False,False,0
2020-04-01T00:00:00,3,3,False,False,0
2020-07-01T00:00:00,3,3,False,False,3
2020-10-01T00:00:00,3,3,False,False,6
2021-01-01T00:00:00,3,3,False,False,3
2021-04-01T00:00:00,3,3,False,False,3
2021-07-01T00:00:00,3,3,False,False,3
2021-10-01T00:00:00,3,3,False,False,6
2022-01-01T00:00:00,3,3,False,False,9
2022-04-01T00:00:00,3,3,False,False,12
2022-07-01T00:00:00,3,3,False,False,12
2022-10-01T00:00:00,3,3,False,False,15
2023-01-01T00:00:00,3,3,False,False,15
2023-04-01T00:00:00,3,2,True,False,18
2023-07-01T00:00:00,3,2,True,False,18
2023-10-01T00:00:00,3,0,True,False,20
2024-01-01T00:00:00,3,2,True,False,18
2024-04-01T00:00:00,3,0,True,False,20
2024-07-01T00:00:00,3,0,True,False,20
2024-10-01T00:00:00,3,0,True,False,20
2025-01-01T00:00:00,3,0,True,False,20
2025-04-01T00:00:00,3,0,True,False,20
2025-07-01T00:00:00,3,0,True,False,20
2025-10-01T00:00:00,3,0,True,False,20
2026-01-01T00:00:00,3,0,True,False,20
2026-04-01T00:00:00,3,0,True,False,20
2026-07-01T00:00:00,3,0,True,False,20
