account_id,cohort_month,activated_at,alive,died_at,death_reason,death_equity_usd,death_trade_key,lifetime_days,trades_taken,wins,losses,gross_pnl_usd,commission_usd,payout_count,requests_blocked,withdrawn_usd,received_usd,months_accrued,entitlement_accrued_usd,entitlement_outstanding_usd,first_withdrawal_at,equity_profit_usd,balance_usd,max_equity_profit_usd,min_equity_profit_usd,peak_profit_usd,floor_profit_usd,headroom_usd
1,2020-01,2020-01-01 00:00:00,False,2020-03-13 03:10:40,intratrade_excursion,-90.75,RR1.00:2-3:21:75,72,376,162,213,494.5,393.75,0,0,0.0,0.0,2,1000.0,1000.0,,100.75,,1784.55,-389.65,1827.8,100.0,
2,2020-02,2020-02-01 00:00:00,False,2020-03-12 21:06:40,intratrade_excursion,-265.15,RR1.00:18-19:15:58,40,214,89,124,223.5,223.65,0,0,0.0,0.0,1,500.0,500.0,,-0.15,,1417.6,-756.6,1460.85,-39.15,
3,2020-03,2020-03-01 00:00:00,False,2020-03-12 21:06:40,intratrade_excursion,-524.0,RR1.00:18-19:15:58,11,61,22,38,-196.0,63.0,0,0,0.0,0.0,0,0.0,0.0,,-259.0,,1158.75,-524.0,1202.0,-298.0,
4,2020-04,2020-04-01 00:00:00,False,2021-02-26 23:30:00,intratrade_excursion,53.2,RR1.00:17-18:78:354,331,1767,744,1022,4014.5,1854.3,3,3,2000.0,2000.0,10,5000.0,3000.0,2020-06-01 00:00:00,160.2,,2752.3,-170.6,2776.85,100.0,
5,2020-05,2020-05-01 00:00:00,False,2021-02-26 23:30:00,intratrade_excursion,21.65,RR1.00:17-18:78:354,301,1608,673,934,2816.0,1687.35,2,4,1000.0,1000.0,9,4500.0,3500.0,2020-09-01 00:00:00,128.65,,2720.75,-125.1,2745.3,100.0,
6,2020-06,2020-06-01 00:00:00,False,2020-10-05 20:56:40,intratrade_excursion,-348.15,RR1.00:19-20:62:241,126,674,281,392,417.0,706.65,0,0,0.0,0.0,4,2000.0,2000.0,,-289.65,,1123.9,-1043.35,1164.9,-335.1,
7,2020-07,2020-07-01 00:00:00,False,2020-10-06 23:30:00,intratrade_excursion,-29.1,RR1.00:22-23:55:219,97,513,217,295,707.5,537.6,0,1,0.0,0.0,3,1500.0,1500.0,,169.9,,1785.4,-381.85,1826.4,100.0,
8,2020-08,2020-08-01 00:00:00,False,2020-10-05 20:56:40,intratrade_excursion,-235.75,RR1.00:19-20:62:241,65,346,148,197,185.0,362.25,0,0,0.0,0.0,2,1000.0,1000.0,,-177.25,,1236.3,-235.75,1277.3,-222.7,
9,2020-09,2020-09-01 00:00:00,False,2020-10-05 20:56:40,intratrade_excursion,-563.85,RR1.00:19-20:62:241,34,178,76,101,-319.5,185.85,0,0,0.0,0.0,1,500.0,500.0,,-505.35,,908.2,-563.85,949.2,-550.8,
10,2020-10,2020-10-01 00:00:00,False,2020-12-14 07:13:40,intratrade_excursion,-168.75,RR1.00:2-3:94:338,74,406,161,244,294.0,425.25,0,0,0.0,0.0,2,1000.0,1000.0,,-131.25,,1336.1,-1224.85,1360.65,-139.35,
11,2020-11,2020-11-01 00:00:00,False,2020-12-14 07:13:40,intratrade_excursion,-322.2,RR1.00:2-3:94:338,43,235,89,145,-39.0,245.7,0,0,0.0,0.0,1,500.0,500.0,,-284.7,,1182.65,-322.2,1207.2,-292.8,
12,2020-12,2020-12-01 00:00:00,False,2021-02-18 12:46:40,intratrade_excursion,-893.8,RR1.00:10-11:106:379,79,437,169,267,-362.5,457.8,0,0,0.0,0.0,2,1000.0,1000.0,,-820.3,,531.25,-893.8,606.8,-893.2,
13,2021-01,2021-01-01 00:00:00,False,2021-02-18 12:46:40,intratrade_excursion,-130.35,RR1.00:10-11:106:379,48,268,113,154,223.5,280.35,0,0,0.0,0.0,1,500.0,500.0,,-56.85,,1294.7,-130.35,1370.25,-129.75,
14,2021-02,2021-02-01 00:00:00,False,2021-02-26 22:59:40,intratrade_excursion,-584.9,RR1.00:21-22:110:381,25,159,63,95,-277.0,165.9,0,0,0.0,0.0,0,0.0,0.0,,-442.9,,864.1,-584.9,998.35,-501.65,
15,2021-03,2021-03-01 00:00:00,False,2021-05-17 23:00:00,intratrade_excursion,88.65,RR1.00:21-22:128:450,77,398,166,231,1038.5,416.85,1,1,500.0,500.0,2,1000.0,500.0,2021-05-01 00:00:00,121.65,,2201.4,-703.05,2254.35,100.0,
16,2021-04,2021-04-01 00:00:00,False,2021-05-17 18:51:40,intratrade_excursion,-865.0,RR1.00:17-18:93:423,46,241,94,146,-451.5,252.0,0,0,0.0,0.0,1,500.0,500.0,,-703.5,,713.7,-865.0,766.65,-733.35,
17,2021-05,2021-05-01 00:00:00,False,2021-05-18 22:53:40,intratrade_excursion,-1160.8,RR1.00:22-23:110:423,17,87,30,56,-929.0,90.3,0,0,0.0,0.0,0,0.0,0.0,,-1019.3,,295.7,-1160.8,340.7,-1159.3,
18,2021-06,2021-06-01 00:00:00,False,2021-07-19 22:35:20,intratrade_excursion,-1269.05,RR1.00:20-21:133:477,48,262,98,163,-908.5,274.05,0,0,0.0,0.0,1,500.0,500.0,,-1182.55,,223.1,-1269.05,234.15,-1265.85,
